scope,scenario,hog_scenario,lean_replaced_t,textured_soy_dry_t,soy_isolate_dry_t,fungal_biomass_dry_t,plant_protein_delivered_t,meat_protein_removed_t,meat_protein_displaced_t_at_0_9,displaced_share_of_2025_meat_protein_pct,saving_vnd_billion,saving_usd_million,source_ids,evidence_label,confidence,demand_evidence_type,notes
"Vissan, 18,547 t processed food (2025)",50% of output in lean-based lines at 0.65 kg lean per kg product; 30% of lean replaced,"median (2019 to 2024 annual, FAOSTAT)",1808,651,362,723,325,344,309,0.031,167.6,6.4,BUY-04; HXE-11; BUY-05; TIC-12; DIE-25; AIB-15,VN-direct,Low,inferred,Our calculation; Chinese textured soy as the extender; the share of output in lean-based lines is illustrative (the same 30 to 50% range as ch26.3); compare Vissan 2025 pre-tax profit VND 105.1 billion (HXE-11)
"Vissan, 18,547 t processed food (2025)",50% of output in lean-based lines at 0.65 kg lean per kg product; 30% of lean replaced,"Q1 2026 (Vissan AGM, midpoint)",1808,651,362,723,325,344,309,0.031,212.9,8.2,BUY-04; HXE-11; BUY-05; TIC-12; DIE-25; AIB-15,VN-direct,Low,inferred,Our calculation; Chinese textured soy as the extender; the share of output in lean-based lines is illustrative (the same 30 to 50% range as ch26.3); compare Vissan 2025 pre-tax profit VND 105.1 billion (HXE-11)
"Vietnam, processed meat (50.64 kt meat protein, 2025, 5% processed-share assumption)",upper bound: all processed meat; 20% of lean replaced,"median (2019 to 2024 annual, FAOSTAT)",53305,19190,10661,21322,9595,10128,9115,0.9,4939.2,190.0,DMO-0010; DMA-059; DIE-25; TIC-12,VN-direct,Low,inferred,"Our calculation; processed meat protein from the Part VI demand model (DMO-0010, processed share 5%, range 3 to 8%); lean-equivalent mass = protein / 0.19; Chinese textured soy as the extender"
"Vietnam, processed meat (50.64 kt meat protein, 2025, 5% processed-share assumption)",upper bound: all processed meat; 30% of lean replaced,"median (2019 to 2024 annual, FAOSTAT)",79958,28785,15992,31983,14392,15192,13673,1.35,7408.9,285.0,DMO-0010; DMA-059; DIE-25; TIC-12,VN-direct,Low,inferred,"Our calculation; processed meat protein from the Part VI demand model (DMO-0010, processed share 5%, range 3 to 8%); lean-equivalent mass = protein / 0.19; Chinese textured soy as the extender"
"Vietnam, processed meat (50.64 kt meat protein, 2025, 5% processed-share assumption)",D-BENCH 2035 adoption share (6%) on the 2025 base; 20% of lean replaced,"median (2019 to 2024 annual, FAOSTAT)",3198,1151,640,1279,576,608,547,0.054,296.4,11.4,DMO-0010; DMA-059; DIE-25; TIC-12,VN-direct,Low,inferred,"Our calculation; processed meat protein from the Part VI demand model (DMO-0010, processed share 5%, range 3 to 8%); lean-equivalent mass = protein / 0.19; Chinese textured soy as the extender"
"Vietnam, processed meat (50.64 kt meat protein, 2025, 5% processed-share assumption)",D-BENCH 2035 adoption share (6%) on the 2025 base; 30% of lean replaced,"median (2019 to 2024 annual, FAOSTAT)",4797,1727,959,1919,864,912,820,0.081,444.5,17.1,DMO-0010; DMA-059; DIE-25; TIC-12,VN-direct,Low,inferred,"Our calculation; processed meat protein from the Part VI demand model (DMO-0010, processed share 5%, range 3 to 8%); lean-equivalent mass = protein / 0.19; Chinese textured soy as the extender"
"Vietnam, processed meat (50.64 kt meat protein, 2025, 5% processed-share assumption)",D-STRETCH 2035 adoption share (15%) on the 2025 base; 20% of lean replaced,"median (2019 to 2024 annual, FAOSTAT)",7996,2878,1599,3198,1439,1519,1367,0.135,740.9,28.5,DMO-0010; DMA-059; DIE-25; TIC-12,VN-direct,Low,inferred,"Our calculation; processed meat protein from the Part VI demand model (DMO-0010, processed share 5%, range 3 to 8%); lean-equivalent mass = protein / 0.19; Chinese textured soy as the extender"
"Vietnam, processed meat (50.64 kt meat protein, 2025, 5% processed-share assumption)",D-STRETCH 2035 adoption share (15%) on the 2025 base; 30% of lean replaced,"median (2019 to 2024 annual, FAOSTAT)",11994,4318,2399,4797,2159,2279,2051,0.203,1111.3,42.7,DMO-0010; DMA-059; DIE-25; TIC-12,VN-direct,Low,inferred,"Our calculation; processed meat protein from the Part VI demand model (DMO-0010, processed share 5%, range 3 to 8%); lean-equivalent mass = protein / 0.19; Chinese textured soy as the extender"
"Vietnam, processed meat (50.64 kt meat protein, 2025, 5% processed-share assumption)",per 1% of processed meat volume; 20% of lean replaced,"median (2019 to 2024 annual, FAOSTAT)",533,192,107,213,96,101,91,0.009,49.4,1.9,DMO-0010; DMA-059; DIE-25; TIC-12,VN-direct,Low,inferred,"Our calculation; processed meat protein from the Part VI demand model (DMO-0010, processed share 5%, range 3 to 8%); lean-equivalent mass = protein / 0.19; Chinese textured soy as the extender"
"Vietnam, processed meat (50.64 kt meat protein, 2025, 5% processed-share assumption)",per 1% of processed meat volume; 30% of lean replaced,"median (2019 to 2024 annual, FAOSTAT)",800,288,160,320,144,152,137,0.014,74.1,2.8,DMO-0010; DMA-059; DIE-25; TIC-12,VN-direct,Low,inferred,"Our calculation; processed meat protein from the Part VI demand model (DMO-0010, processed share 5%, range 3 to 8%); lean-equivalent mass = protein / 0.19; Chinese textured soy as the extender"
