code,english_name,protein_g_per_100g_edible,waste_pct,kcal
4029,"Beans, kidney, in pod, French bean; Navy been",5.0,10.0,73
4030,"Cow-peas, yard long, Chinese long bean",6.0,10.0,59
4031,Green peas; field pea; Peas garden,6.5,10.0,72
4032,"Winged bean goabean, Indies, asparagus pea",1.9,5.0,34
4033,"Papaya, unripe, raw",0.8,25.0,22
4034,"Gac fruit, whole",2.1,80.0,122
4035,Sprout of soybeans,7.7,0.0,79
4036,"Mungobean sprouts, Green gram, Tiensin green bean",5.5,5.0,44
4037,"Onion, Welsh",1.3,24.0,26
4038,"Onion, Welsh",1.3,20.0,22
4039,"Onion, common, garden",1.8,17.0,41
4040,"Lotus seed, raw",9.5,39.0,161
4041,Dried lotus seed,20.0,0.0,334
4042,"Onion, fragrant, Chinese leek",2.2,13.0,18
4043,"Banana, buds and flowers",1.5,29.0,20
4044,"Daylily, lemon flowers, Pergularia, raw",2.9,3.0,23
4045,Carambola; Star fruit,0.6,13.0,16
4046,Lolot,4.3,0.0,39
4047,"Tamarind, leaves",7.5,0.0,46
4048,Wild plant,3.9,0.0,27
4049,Cassava leaves,7.0,0.0,78
4050,"Bamboo shoot, unspecified",1.4,24.0,11
4051,Dried bamboo shoots,13.0,0.0,157
4052,"Asparagus, white",2.2,50.0,14
4053,"Bamboo shoots, spring variety",1.7,50.0,15
4054,"Gourd, sponge gourd",0.9,18.8,17
4055,"Balsam-pear, balsam-apple, bitter melon, bitter gourd",0.9,20.0,16
4056,"Gourd, sponge gourd, Japanese",0.8,10.0,10
4057,"Mugwort, common sagebrush",3.8,31.0,25
4058,"Corn, small variety immature, baby corn",2.2,0.0,40
4059,"Lotus, stem underground",1.0,11.0,61
4060,"Sponge gourd, rag, young flower",4.9,18.0,30
4061,"Chili pepper, peppers red",1.0,18.0,23
4062,"Peppers, yellow",1.3,10.0,29
4063,"Peppers, green",1.3,10.0,25
4064,,0.8,36.0,19
4065,"Tamarind fruit, pulp raw",1.9,15.0,27
4066,Pumpkin leaves,2.7,23.4,18
4067,Dried seaweed,11.2,0.0,198
4068,Seaweed fresh,1.9,4.0,25
4069,Lettuce garden,1.2,10.0,14
4070,Jute potherb,2.8,20.0,25
4071,Wild plant,2.9,0.0,22
4072,"Amaranth, spineless",3.4,0.0,21
4073,"Amaranth, sp. Red",3.3,38.0,41
4074,"Amaranth, sp White",3.2,14.0,42
4075,"Basil sweet leaves, raw",2.2,20.0,20
4076,"Sweet potato, leaves",2.6,5.0,23
4077,Sweet marjoram,2.7,16.0,22
4078,Wild plant,3.1,0.0,25
4079,"Wort, India penny",3.2,0.0,20
4080,"Malabar night shade, Vinespinach, Ceylon spinach",2.0,17.0,14
4081,Coriander,2.6,15.0,16
4082,"Parsley, curley",2.1,20.0,25
4083,"Swamp cabbage, water spinach, water convol",3.2,37.5,25
4084,"Water spinach, dried",34.2,0.0,245
4085,Limnophila aromatic,1.5,29.0,15
4086,"Sauropus, sp. leaves",5.3,23.0,35
4087,"Sauropus, dried",32.2,0.0,239
4088,Polygonum odoratum,4.7,25.0,30
4089,"Neptunia, dismanthus",5.1,55.0,28
4090,"Lettuce, garden asparagus",1.5,10.0,17
4091,"Purslane, common",1.4,0.0,18
4092,Perfume pagoda wild plant,6.5,40.0,48
4093,Gynura crepidioides,2.5,0.0,18
4094,Mint leaves,2.0,25.0,18
4095,"Dracontomelum fruit, unripe, raw",1.8,35.0,19
4096,Kohlrabi,2.8,22.4,37
4097,Dried kohlrabi,20.0,0.0,261
4098,"Chayote, fruit raw",0.8,20.0,19
4099,"Cauliflower, white",2.5,40.0,30
4100,"Cauliflower, green",3.0,39.0,26
4101,Dill,2.6,25.0,28
4102,"Balm-mint, garden- balm",2.9,20.0,25
4103,Garlic bulbs,6.0,20.0,121
4104,"Chinese Leek, Onion fragrant",1.4,20.0,29
4105,Variety of canarium,2.5,50.0,114
4106,Chinese olive,1.2,34.0,37
4107,Edible herbaceous plant,2.2,10.0,15
4108,"Tomato, pickled",0.6,5.0,6
4109,"Eggplant, garden, brinjan; aubergine, pickled",1.3,5.0,13
4110,"Eggplant, garden, brinjan; aubergine, pickled",1.5,5.0,16
4111,"Cabbage Chinese, pickled",1.2,5.0,18
4112,"Mustard green, pickled",1.8,5.0,17
4113,"Rape bird, pickled",1.1,5.0,10
4114,"Cucumber, pickled",0.8,5.0,13
4115,"Mung bean sprouts, pickled",5.0,0.0,39
4116,"Onion, pickled",1.4,30.0,22
4117,"Onion shallot, scallion, pickled",1.3,30.0,24
4118,Mix pickled from young jack fruit,2.5,0.0,16
4119,"Brewer's yeast, fried",52.5,0.0,340
4120,"Baker's yeast, fresh",16.2,0.0,95
4121,"Jew's ear, Juda's ear, dried, Wood-ear, Tender variety",10.6,10.0,304
4122,"Mushroom Chinese, dried",36.0,10.0,274
4123,"Mushroom, Chinese, raw",5.5,25.0,39
4124,Mushroom,4.0,10.0,32
4125,"Mushroom, straw",3.6,10.0,57
4126,"Mushroom, common",4.6,25.0,34
5001,"Pomelo, Pummelo; Shaddock",0.2,35.0,30
5002,Orange,0.9,31.1,38
5003,Lemon,0.9,25.0,24
5004,Rambutan,1.5,50.0,72
5005,"Banana, dried",5.0,0.0,292
5006,Banana,0.9,26.5,56
5007,"Banana, dwarf",1.5,35.0,97
5008,Blackberry,0.6,56.0,27
5009,Strawberry,1.8,15.0,43
5010,"Musk melon, Spanish melon, Cantaloupe",0.5,10.0,18
5011,Watermelon,1.2,48.0,16
5012,Honey dew melon,0.3,16.0,17
5013,,0.4,18.0,18
5014,"Pineapple, wild",0.8,40.0,29
5015,Pineapple,0.5,40.0,38
5016,Peach,0.9,12.0,31
5017,"Papaya, ripe",1.0,12.4,36
5018,Ohia; Malaya roseapple,0.4,19.0,16
5019,"Wampee, Chinese; Wampi",1.4,46.0,34
5020,"Persimmon kaki, soft type, ripe",0.7,8.8,29
5021,"Persimmon kaki, Hard-type, ripe",0.9,17.7,38
5022,"Sapodilla, sapota ponderosa",0.5,10.0,48
5023,Pear,0.7,12.0,45
5024,Pome granate,0.6,85.0,70
5025,"Siamese custard apple, soursop",1.8,21.0,53
5026,Pyrus pashia Ham,0.2,14.0,24
5027,"Japanese, plum",0.6,15.0,20
5028,"Jackfruit, jackfruit mature",0.6,55.0,50
5029,Dried jackfruit,2.9,0.0,280
5030,"Jack fruit, honey",1.5,55.0,62
5031,"Apricot, Apricot nectar",0.9,14.0,48
5032,"Apricot dried, unsulfured",3.0,0.0,273
5033,"Mango, common; Indian mango, unripe",0.6,20.0,67
5034,"Sugarapple, sweetsop",1.6,44.4,66
5035,Longan,0.9,45.0,48
5036,"Longan, dried",4.3,0.0,285
5037,"Grape, European, sweet",0.4,1.9,68
5038,"Grape fruit, sour",0.4,13.0,14
5039,Silver berry,1.2,24.0,13
5040,"Guava, common",0.6,5.0,38
5041,"Avocado, purple",1.8,27.0,74
5042,"Avocado, green",1.9,28.0,101
5043,-,1.8,25.0,58
5044,Dragon's eyes fruit,1.3,,40
5045,-,4.3,25.0,106
5046,"Mandarin, whole fruit",0.9,4.0,26
5047,Tangerine; Orange; Mandarin,0.8,19.8,39
5048,"Durian, Civet",2.5,75.0,132
5049,"Sanpidus, ripe",1.3,24.0,38
5050,"Jujube, common or Chinese; Chinese date",0.8,14.0,38
5051,"Apple, common, domestic",0.5,12.0,48
5052,Litchi; lychee,0.7,48.0,45
5053,"Litchi, dried with shells",3.0,44.0,260
5054,"Starapple, cainito",1.0,22.0,42
5055,"Mango, common; India mango, ripe",0.6,20.0,62
5056,Kiwi fruit,1.1,14.0,56
6001,"Butter, unsalted",0.5,0.0,756
6002,"Vegetable oil, mix",0.0,0.0,897
6003,"Lard, salted",2.0,0.0,827
6004,"Lard, liquid",0.0,0.0,896
6005,"Butter-margarine blend, stick, unsalted",0.5,0.0,729
6006,"Cottonseed oil, salad or cooking",0.0,0.0,900
6007,Rice bran oil,0.0,0.0,900
6008,Palm oil,0.0,0.0,900
6009,Coconut oil,0.0,0.0,900
6010,"Soybean oil, salad or cooking",0.0,0.0,900
6011,"Peanut oil, salad or cooking",0.0,0.0,900
6012,"Sesame oil, salad or cooking",0.0,0.0,900
6013,"Corn oil, salad or cooking",0.0,0.0,900
6014,"Olive oil, salad or cooking",0.0,0.0,900
7001,"Veal meat, lean and fat",19.0,2.0,144
7002,"Veal meat, lean only",20.0,2.0,85
7003,"Beef, grade I",21.0,2.0,118
7004,"Beef, grade II",18.0,2.0,167
7005,"Beef, top loin, seperable lean only, trimmed to 1/8"" fat, prime, raw",23.1,2.0,127
7006,"Beef, top loin, seperable lean only, trimmed to 1/4"" fat, prime, raw",21.5,2.0,182
7007,Pigeon young bird flesh skin and giblets,17.5,60.0,340
7008,Dog meat,16.0,2.0,338
7009,"Dog, shoulder",18.0,2.0,230
7010,"Mutton meat, lean",16.4,2.0,219
7011,"Goat, meat, lean",20.7,2.0,122
7012,Grouse field chicken,24.4,58.0,141
7013,"Chicken meat, average",20.3,52.0,199
7014,Turkey raw flesh and skin giblets,20.1,53.0,218
7015,Deer meat,19.0,2.0,94
7016,"Pork, lean and fat",14.5,2.0,394
7017,"Pork, lean",19.0,2.0,139
7018,"Pork, medium fat",16.5,2.0,260
7019,Goose,14.0,52.0,409
7020,Horse meat,21.5,2.0,176
7021,"Rabbit meat, raw",21.5,45.0,158
7022,Hare rabbit (field or wild),23.5,45.0,103
7023,"Buffalo meat, average",20.4,0.0,97
7024,Buffalo meat (shoulder),21.9,2.0,115
7025,"Buffalo meat, neck",20.9,2.0,112
7026,"Buffalo meat, leg",21.2,2.0,112
7027,"Buffalo meat, lean (loin)",22.8,2.0,121
7028,"Duck meat, average",17.8,55.0,267
7029,"Beef, kidney",12.5,7.0,67
7030,"Pork, kidney",13.0,2.0,81
7031,Pork skin,23.3,10.0,118
7032,"Pork, leg",15.7,38.0,230
7033,"Stomach, beef",14.8,5.0,97
7034,"Stomach, hog",14.6,2.0,85
7035,"Head beef (without tongue, brain, ears).",18.1,68.0,185
7036,"Hog, head",13.4,68.0,335
7037,"Beef, tail",19.7,46.0,137
7038,"Hog, tail",10.8,30.0,467
7039,"Beef, liver",17.4,0.0,109
7040,Chicken liver,18.2,0.0,111
7041,Pork liver,18.8,0.0,116
7042,Duck liver,17.1,0.0,122
7043,,30.2,0.0,124
7044,Beef tongue,13.6,8.0,164
7045,"Hog, tongue",14.2,3.0,178
7046,"Hog, intestine large raw",6.9,2.0,167
7047,Hog intestine small raw without fat,7.2,2.0,44
7048,Chicken gizzard,21.3,4.0,99
7049,Brain beef,9.0,8.0,124
7050,Hog brain,9.0,8.0,123
7051,"Beef, lung",15.2,8.0,103
7052,"Hog lung, raw",14.8,8.0,92
7053,"Pork, ribs",17.9,57.0,187
7054,Hog ears,21.0,4.0,126
7055,"Beef, heart",15.0,8.0,89
7056,Chicken heart,16.0,0.0,114
7057,Hog heart,15.1,6.0,94
7058,"Beef, blood",18.0,0.0,75
7059,"Hog blood, boiled",10.7,0.0,44
7060,"Hog blood, raw",5.7,0.0,25
7061,Beef bone marrow,1.1,0.0,814
7062,"Hog, bone marrow",2.3,0.0,749
7063,Pa tª,10.8,0.0,326
7064,"Pork, mince fat meat grilled",10.8,0.0,517
7065,"Pork, cinnamon mince grilled",16.2,0.0,416
7066,"Ham, pork",23.0,0.0,318
7067,Blood mix-pudding with viscera in large intestine,12.4,0.0,114
7068,Beef dumpling,13.8,0.0,357
7069,"Pork, mince lean meat steamed",21.5,0.0,136
7070,"Pork, head meat, steamed",16.0,0.0,553
7071,Chinese sausage,20.8,0.0,585
7072,,16.6,0.0,153
7073,"Pork mince, fermented",21.7,0.0,137
7074,,46.6,0.0,369
7075,Dried beef,51.0,0.0,239
7076,"Buffalo meat, dried",50.4,0.0,226
7077,Pork sausage,27.2,2.0,535
7078,Toad meat powder,55.4,0.0,342
7079,Locust,24.3,20.0,130
7080,Frog,20.0,0.0,90
7081,Silk worm,13.0,2.0,111
7082,Chicken giblets,17.9,0.0,119
8001,"Goby, gudgeon",15.8,45.0,70
8002,Pond fish,20.1,31.0,113
8003,Carp,16.0,40.0,96
8004,Conger pike,17.6,,115
8005,,18.9,10.0,96
8006,"Mullet, harder",17.7,45.0,87
8007,"Sawfish, wolfherring",18.3,,94
8008,Chinese herring,18.7,,83
8009,"Mullet, gray mullet",19.5,42.0,108
8010,Goby,20.1,,98
8011,Salmon,22.0,40.0,136
8012,"Dried fish, miscellaneous",43.3,15.0,208
8013,,16.7,,71
8014,"Hypophthalmichthys, chub, dory, tench bream",15.4,36.0,144
8015,Sardin,17.5,45.0,124
8016,,16.8,0.0,151
8017,,22.1,,116
8018,Fish low fat,17.5,39.0,80
8019,"Flying fish, tuna",21.0,42.0,87
8020,"Scad, anchovy",20.2,,111
8021,"Goatfish, surmullet, red mullet",15.9,,104
8022,"Fish, snake head",18.2,40.0,97
8023,Anabas,19.1,44.0,126
8024,"Tilapia, African carp",19.7,43.0,100
8025,"Flounder, sole, turbot",17.4,,73
8026,"Mackerel, codfish, kingfish",18.2,35.0,166
8027,,20.0,30.0,156
8028,Loach,20.4,26.0,110
8029,"Carp, amur",17.0,35.0,91
8030,"Catfish, silurus, sheatfish, hito",16.5,40.0,173
8031,Herring,17.7,35.0,166
8032,"Major carp, mud carp; cirrhina molitorella",18.8,27.6,127
8033,"Crab, sea water",17.5,40.0,103
8034,"Crab, fresh water",12.3,69.0,87
8035,Crab,11.9,68.0,54
8036,"Sea slug, sea cucumber",21.5,0.0,90
8037,Clam,4.5,82.0,45
8038,"Eel, silver - pike",18.4,35.0,180
8039,"Dried cuttle fish, squid",60.1,4.0,291
8040,"Cuttle fish, raw (Squid)",16.3,22.0,73
8041,"Snail medium - size, edible",11.1,67.0,84
8042,"Marble snail, edible",11.2,80.0,63
8043,"Snail large, edible",11.9,79.0,84
8044,Helix,12.2,70.0,72
8045,"Small sea - crab bicled, steamed",14.2,50.0,83
8046,Small sea - crab,12.9,50.0,77
8047,Tylorhynchus sinensis,12.4,5.0,89
8048,Oyster,9.5,80.0,78
8049,Tiny shrimp,11.7,8.0,58
8050,"Tiny shrimp, dried",59.8,5.0,269
8051,"Sea shrimp, sea-water shrimp",17.6,54.0,82
8052,Fresh-water shrimp,18.4,10.0,90
8053,"Shrimp, dried",75.6,5.0,347
8054,Manodonta,4.6,60.0,38
8055,Deep fried shrimp paste,1.6,0.0,676
8056,Shrimp paste,3.4,0.0,381
8057,Fish flour with bones,71.2,0.0,323
8058,"Shredded snake-head fish, salted and dried",65.7,0.0,312
8059,"Shredded shrimp, salted and dried",65.5,0.0,305
9001,"Hen egg, raw, whole",14.8,14.0,166
9002,"Hen egg, yolk",13.6,0.0,327
9003,"Hen egg, white",10.3,0.0,46
9004,"Duck egg, whole",13.0,12.0,184
9005,"Duck egg, yolk",13.6,0.0,364
9006,"Duck egg, white",10.7,0.0,47
9007,Quail egg,13.1,11.0,154
9008,Fish roe,20.5,0.0,171
9009,"Fish caviar, black and red, granule",24.6,0.0,274
9010,"Duck egg, embryonated",13.6,12.0,182
9011,Chicken egg powder,44.0,0.0,563
10001,"Milk cow, fresh (fluid)",3.9,0.0,74
10002,"Milk goat's, whole",3.5,0.0,69
10003,"Breast milk (Human milk, whole).",1.5,0.0,61
10004,Yogurt (whole milk),3.3,0.0,61
10005,"Yogurt, chocolate, nonfat milk",3.5,0.0,103
10006,"Milk powder, whole",27.0,0.0,494
10007,Skimmed milk powder,35.0,0.0,357
10008,"Milk condensed, sweetened",8.1,0.0,336
10009,Cheese (whole fat),25.5,0.0,380
11001,"Banana, canned, sweetened",0.5,0.0,58
11002,Cucumber (canned),0.3,0.0,8
11003,"Pineapple, canned, sweetened",0.4,0.0,53
11004,"Peanut, oil fried",25.7,0.0,680
11005,Pyrus pachis in syrup,0.2,0.0,56
11006,"Plum, canned, sweetened",0.4,10.0,64
11007,Dried preserved squash,0.5,0.0,198
11008,"Orange marmalade, jellies",0.4,0.0,218
11009,Banana jam,0.7,0.0,218
11010,Pineapple jam,0.5,0.0,208
11011,Papaya jam,0.4,0.0,178
11012,"Longan, canned, sweetened",0.5,0.0,62
11013,Pineapple juice,0.4,0.0,53
11014,"Litchi, canned, sweetened",0.4,0.0,60
11015,"Mackerel, canned",24.8,0.0,207
11016,"Herring, canned",22.3,0.0,233
11017,"Beef, canned",16.4,0.0,251
11018,"Chicken, canned",17.0,0.0,273
11019,"Pork, canned",17.3,0.0,344
11020,"Pork and beef, minced canned",16.0,0.0,244
11021,"Duck, stewed meat",19.6,0.0,224
12001,Whole wheat rusk,12.3,0.0,346
12002,Biscuits,8.8,0.0,376
12003,Sweet meat pie in lumps,3.4,0.0,395
12004,"Small biscuits, fish figured",7.5,0.0,368
12005,Mungbean cake,15.6,0.0,416
12006,Wafers filled,8.3,0.0,492
12007,"Rice cake, plain",3.2,0.0,376
12008,Cinnamon waffle (roll),8.3,0.0,435
12009,"Chocolate, filled",3.9,0.0,449
12010,"Chocolate, sweet",4.9,0.0,543
12011,Small biscuit,9.6,0.0,369
12012,Cocoa powder,19.6,0.0,414
12013,Refined sugar,0.0,0.0,390
12014,Granulated sugar,0.0,0.0,397
12015,"Toffee, sweets",2.1,0.0,448
12016,Coffee sweets,0.0,0.0,378
12017,"Sweets, caramel with citron, orange aroma",0.0,0.0,377
12018,Sweets with coconut aroma,0.6,0.0,415
12019,Pineapple sweets candy,0.6,0.0,415
12020,Peanut candy,10.3,0.0,449
12021,Menthol pastille,5.2,0.0,356
12022,Sweets with chocolate,1.6,0.0,388
12023,Sweets with milk,2.9,0.0,390
12024,Sesame candy,2.8,0.0,417
12025,Malt,0.2,0.0,331
12026,Honey,0.4,0.0,327
12027,Peanut sugar (Jam),5.4,0.0,431
13001,"Cari powder (Mix, turmeric, red pepper and other spices)",8.2,0.0,283
13002,"Ginger root, dried powder",9.1,0.0,323
13003,"Ginger root, fresh",0.4,10.0,29
13004,"Peppercorn, seeds",7.0,0.0,231
13005,Table salt,0.0,0.0,0
13006,"Turmeric rhizome, dried powder",7.8,0.0,295
13007,"Turmeric, rhizome, fresh",1.1,10.0,25
13008,"Red pepper, dried powder",15.6,0.0,227
13009,"Alpinia root, fresh",0.3,10.0,26
13010,Soybean sauce,10.5,0.0,65
13011,Shrimp sauce concentrate,14.8,0.0,73
13012,"Shrimp sauce, diluted",7.0,0.0,44
13013,"Tiny shrimp, sour sauce",8.7,0.0,68
13014,Fish - sauce (super quality).,15.0,0.0,60
13015,"Fish sauce, grade I",7.1,0.0,28
13016,"Fish sauce, grade II",5.2,0.0,21
13017,"Fish sauce, ready-to-serve",5.1,0.0,35
13018,"Fish sauce, concentrated",32.8,0.0,131
13019,Soybean sauce with rice and maize,3.9,0.0,75
13020,Soybean sauce with glutinous rice,4.3,0.0,86
13021,Red pepper sauce concentrate,0.5,0.0,37
13022,Soybean sauce,6.3,0.0,53
13023,Mayonnaise,0.0,0.0,701
14001,"Beer light (4,5 % Alcohol)",0.5,0.0,11
14002,Cognac,0.0,0.0,0
14003,"Cocktail, vermouth sweet",0.0,0.0,63
14004,Coca Cola,0.0,0.0,42
14005,"Orange juice, fresh",0.7,0.0,23
14006,"Coconut milk, immature",0.4,0.0,21
14007,Tomato juice,0.8,0.0,19
14008,Mineral water,0.0,0.0,0
14009,Mandarins juice (fresh),0.4,0.0,24
14010,"Liqueur, orange flavor",0.0,0.0,0
14011,Rice glutinous (Alcohol fermentation rice 80 g water 24 ml),4.0,0.0,167
14012,Vodka,,0.0,273
14013,Red wine,0.2,0.0,9
14014,White wine,0.1,0.0,1
14015,"White wine, sweet",0.2,0.0,24
14016,Whisky liqueur,0.0,0.0,0
