item,element,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
"Hen eggs in shell, fresh",Producer Price (LCU/tonne),42725000.000000,53808000.000000,52972000.000000,57836000.000000,57106000.000000,58650000.000000,32310000.000000,65056000.000000,32935428.000000,33025940.600000,33315092.100000,36401692.800000,35320720.800000,35601200.400000,35612636.000000
"Horse meat, fresh or chilled",Producer Price (LCU/tonne),30521000.000000,42132000.000000,61229833.300000,67727000.000000,73157000.000000,76044000.000000,137049000.000000,136751000.000000,133168641.000000,133819236.400000,143182772.300000,144986173.200000,160203846.000000,162390517.100000,162511819.600000
"Jute, raw or retted",Producer Price (LCU/tonne),11634000.000000,14342000.000000,,17009000.000000,17747000.000000,18399000.000000,35998000.000000,34162000.000000,34879245.000000,34910352.800000,35189470.000000,27509427.600000,,,
Maize (corn),Producer Price (LCU/tonne),4933000.000000,6176000.000000,6663000.000000,6822000.000000,7262000.000000,7149000.000000,6093000.000000,6014000.000000,6051780.000000,6198258.700000,6451347.900000,9488651.400000,5771808.200000,6408835.600000,6511995.000000
"Mangoes, guavas and mangosteens",Producer Price (LCU/tonne),9306000.000000,10861000.000000,12897333.300000,13760000.000000,14498000.000000,14965000.000000,12418000.000000,13255000.000000,15574161.000000,13221651.200000,14134582.900000,12284140.100000,21839408.700000,23978452.500000,26257248.400000
"Meat of buffalo, fresh or chilled",Producer Price (LCU/tonne),35983000.000000,44219000.000000,56558333.300000,65496000.000000,70336000.000000,73239000.000000,91816000.000000,91041000.000000,90253810.000000,93710522.600000,99927800.800000,93537817.300000,102994557.800000,100003040.200000,99134703.500000
"Meat of cattle with the bone, fresh or chilled",Producer Price (LCU/tonne),46189000.000000,55734000.000000,70039000.000000,79587000.000000,85846000.000000,90290000.000000,102791000.000000,100953000.000000,94090813.000000,98553699.400000,102658620.700000,85434955.700000,91326312.400000,87414206.300000,90363595.200000
"Meat of chickens, fresh or chilled",Producer Price (LCU/tonne),69526000.000000,85861000.000000,88115166.700000,94528000.000000,94445000.000000,95760000.000000,89782000.000000,86188000.000000,96512309.000000,98955652.700000,98642469.000000,92334677.400000,100308940.000000,102507826.100000,105204907.800000
"Meat of ducks, fresh or chilled",Producer Price (LCU/tonne),32982000.000000,44339000.000000,43448416.700000,45428000.000000,45526000.000000,45465000.000000,46233000.000000,44247000.000000,45528232.000000,47206865.100000,46328341.400000,41274849.700000,49838018.000000,50755699.700000,52046058.000000
"Meat of goat, fresh or chilled",Producer Price (LCU/tonne),45017000.000000,59631000.000000,72957916.700000,84922000.000000,96195000.000000,100557000.000000,113492000.000000,109964000.000000,106764881.000000,113242608.000000,125226938.200000,137338133.000000,134602477.000000,130144769.500000,129632227.600000
"Meat of pig with the bone, fresh or chilled",Producer Price (LCU/tonne),29146000.000000,46170000.000000,43442166.700000,41235000.000000,46263000.000000,45187000.000000,46390000.000000,34186000.000000,41924836.000000,46075634.100000,78137825.400000,59175720.100000,57975169.400000,56298782.000000,61050959.500000
Millet,Producer Price (LCU/tonne),23167000.000000,37500000.000000,22327000.000000,18167000.000000,22229000.000000,22645000.000000,49548000.000000,50000000.000000,51170284.000000,42977092.500000,42000000.000000,40490889.400000,59791303.700000,60008468.900000,63383754.800000
Mushrooms and truffles,Producer Price (LCU/tonne),,,,35796000.000000,37787000.000000,37263000.000000,40363000.000000,40838000.000000,41253473.000000,42808937.500000,44435022.300000,29889516.900000,115163501.900000,116709604.100000,124762139.500000
Natural honey,Producer Price (LCU/tonne),85450000.000000,110274000.000000,111244250.000000,124201000.000000,135595000.000000,142704000.000000,178802000.000000,183565000.000000,180703220.000000,179775096.800000,181356391.600000,157572673.300000,170135645.900000,169732737.600000,171915749.700000
Natural rubber in primary forms,Producer Price (LCU/tonne),33998000.000000,68147000.000000,47815333.300000,42847000.000000,34450000.000000,27202000.000000,22733000.000000,28148000.000000,22324965.000000,21394141.700000,21431845.300000,21563182.200000,25307160.900000,22656793.200000,28182277.800000
"Onions and shallots, dry (excluding dehydrated)",Producer Price (LCU/tonne),,,,11191000.000000,10927000.000000,9864000.000000,12097000.000000,13126000.000000,10622570.000000,12255613.500000,12552200.700000,6559788.200000,14892278.500000,34710371.700000,35621103.000000
Oranges,Producer Price (LCU/tonne),13644000.000000,16208000.000000,15496500.000000,16874000.000000,19228000.000000,20587000.000000,20604000.000000,20529000.000000,20590741.000000,18095035.000000,21111827.200000,22477732.800000,19704465.100000,16976257.300000,15951237.700000
Other berries and fruits of the genus vaccinium n.e.c.,Producer Price (LCU/tonne),,,,,,,,,,,,,,,
Other pulses n.e.c.,Producer Price (LCU/tonne),17353000.000000,20972000.000000,21477500.000000,22798000.000000,23610000.000000,25627000.000000,30622000.000000,31613000.000000,31358920.000000,33753755.000000,32061886.600000,31793534.200000,,,
"Pepper (Piper spp.), raw",Producer Price (LCU/tonne),53018000.000000,95909000.000000,127142750.000000,129118000.000000,149826000.000000,183699000.000000,181460000.000000,135619000.000000,92661921.000000,75820580.500000,63833912.200000,70375738.400000,86382011.800000,83504766.400000,105303616.200000
Pineapples,Producer Price (LCU/tonne),4989000.000000,6194000.000000,6191500.000000,6690000.000000,7307000.000000,7506000.000000,8981000.000000,9246000.000000,8853365.000000,9137383.500000,9529412.600000,10553631.500000,10284373.200000,10678367.500000,11287063.200000
Pomelos and grapefruits,Producer Price (LCU/tonne),7294000.000000,8861000.000000,9666000.000000,12065000.000000,14442000.000000,17061000.000000,15146000.000000,16202000.000000,20232244.000000,18128983.800000,18368290.300000,16211804.200000,24991619.200000,24799013.400000,25816147.300000
Potatoes,Producer Price (LCU/tonne),5983000.000000,9190000.000000,10129083.000000,10875000.000000,12047000.000000,10807000.000000,11811000.000000,11640000.000000,11149248.000000,11738336.000000,13108045.800000,12170852.300000,15223299.600000,15544381.900000,15598851.500000
Rice,Producer Price (LCU/tonne),5389000.000000,6477000.000000,6234000.000000,6157000.000000,6446000.000000,6229000.000000,6342000.000000,6366000.000000,6503764.000000,6476419.900000,6781682.300000,7633349.000000,7246927.700000,7772059.300000,8914228.500000
Sesame seed,Producer Price (LCU/tonne),,,,40199000.000000,43746000.000000,44671000.000000,46367000.000000,47463000.000000,44397509.000000,43610431.600000,45403425.500000,57534271.300000,48453112.100000,49846169.600000,52592770.600000
Soya beans,Producer Price (LCU/tonne),,,,17743000.000000,18010000.000000,17907000.000000,18021000.000000,18395000.000000,18579018.000000,19120989.400000,19832068.700000,17700850.700000,20764015.600000,22102073.200000,23235333.700000
Sugar cane,Producer Price (LCU/tonne),712490.000000,836666.000000,1055969.000000,977071.000000,924180.000000,979366.000000,1000031.000000,988257.000000,898994.000000,817388.000000,806982.600000,889016.800000,933499.900000,1069901.800000,1098595.000000
Sweet potatoes,Producer Price (LCU/tonne),4333000.000000,5661000.000000,5969917.000000,6444000.000000,6951000.000000,7017000.000000,8197000.000000,8859000.000000,9252538.000000,9777735.400000,10192875.800000,12382462.400000,10891154.700000,12029426.600000,12020983.700000
Tea leaves,Producer Price (LCU/tonne),4625000.000000,5658000.000000,6472083.300000,6663000.000000,7078000.000000,7452000.000000,7778000.000000,8166000.000000,8525587.000000,9607780.400000,11185383.600000,23600384.700000,9473871.200000,9653662.300000,10168363.500000
Unmanufactured tobacco,Producer Price (LCU/tonne),36371000.000000,40835000.000000,40587083.300000,42612000.000000,44267000.000000,44251000.000000,47461000.000000,49077000.000000,55118980.000000,57179303.500000,58856099.400000,59422982.700000,73623049.400000,76345663.700000,77966415.500000
Watermelons,Producer Price (LCU/tonne),4421000.000000,5395000.000000,5631666.700000,5622000.000000,5942000.000000,5643000.000000,6122000.000000,6425000.000000,6413335.000000,7206371.100000,6372379.200000,5619520.200000,7390001.400000,7940271.000000,8189927.400000
