school_en,province,sheet,meal_or_day,pupils,item,kg_bought,grams_per_pupil,unit_price_vnd_per_kg,vnd_per_pupil,source_ids,evidence_label,confidence,demand_evidence_type,notes
Muong Nhe PTDTBT lower secondary,Dien Bien,Decree 339 lunch 21 to 30 Sep 2026,lunch,14,rice (supplied in kind),4.0,285.7,in kind,,UPL-04,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Leng Su Sin PTDTBT primary,Dien Bien,boarding 20 to 30 Jan 2026,"whole day, Mon",255,"pork (rump, shoulder, belly)",47.7,187.1,149000,27872,UPL-07,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Leng Su Sin PTDTBT primary,Dien Bien,boarding 20 to 30 Jan 2026,"whole day, Mon",255,tofu,18,70.6,28000,1976,UPL-07,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Leng Su Sin PTDTBT primary,Dien Bien,boarding 20 to 30 Jan 2026,"whole day, Tue",255,"pork (rump, shoulder, belly)",35.8,140.4,149000,20918,UPL-07,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Leng Su Sin PTDTBT primary,Dien Bien,boarding 20 to 30 Jan 2026,"whole day, Wed",255,"pork (rump, shoulder, belly)",53.3,209.0,149000,31144,UPL-07,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Leng Su Sin PTDTBT primary,Dien Bien,boarding 20 to 30 Jan 2026,"whole day, Thu",255,"pork (rump, shoulder, belly)",49,192.2,149000,28631,UPL-07,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Leng Su Sin PTDTBT primary,Dien Bien,boarding 20 to 30 Jan 2026,"whole day, Thu",255,tofu,18,70.6,28000,1976,UPL-07,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Leng Su Sin PTDTBT primary,Dien Bien,boarding 20 to 30 Jan 2026,"whole day, Fri",255,"pork (rump, shoulder, belly)",28,109.8,149000,16361,UPL-07,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Leng Su Sin PTDTBT primary,Dien Bien,Nuoi Em lunch 20 to 30 Jan 2026,"lunch, pork day",143,"pork (rump, shoulder, belly)",4.9,34.3,149000,5106,UPL-08,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Leng Su Sin PTDTBT primary,Dien Bien,Nuoi Em lunch 20 to 30 Jan 2026,"lunch, pork day",143,tofu,11.7,81.8,28000,2291,UPL-08,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Leng Su Sin PTDTBT lower secondary,Dien Bien,"week 26, 2 to 7 Mar 2026","whole day, Mon",219,"pork (rump, shoulder, belly)",47,214.6,158000,33909,UPL-09,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Leng Su Sin PTDTBT lower secondary,Dien Bien,"week 26, 2 to 7 Mar 2026","whole day, Mon",219,tofu,20,91.3,28000,2557,UPL-09,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Leng Su Sin PTDTBT lower secondary,Dien Bien,"week 26, 2 to 7 Mar 2026","whole day, Tue and Thu",219,"pork (rump, shoulder, belly)",42,191.8,158000,30301,UPL-09,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Leng Su Sin PTDTBT lower secondary,Dien Bien,"week 26, 2 to 7 Mar 2026","whole day, Tue and Thu",219,tofu,21,95.9,28000,2685,UPL-09,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Leng Su Sin PTDTBT lower secondary,Dien Bien,"week 26, 2 to 7 Mar 2026","whole day, Wed and Fri",219,"pork (rump, shoulder, belly)",46,210.0,158000,33187,UPL-09,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Leng Su Sin PTDTBT lower secondary,Dien Bien,"week 26, 2 to 7 Mar 2026",whole day,219,rice (supplied in kind),120,547.9,in kind,,UPL-09,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Sen Thuong PTDTBT primary and lower secondary,Dien Bien,5 to 9 Jan 2026,"one meal, pork or ribs",67,pork or pork ribs,7,104.5,149000,15567,UPL-10,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Sen Thuong PTDTBT primary and lower secondary,Dien Bien,5 to 9 Jan 2026,"one meal, tofu dish",67,tofu,5,74.6,28000,2090,UPL-10,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Sen Thuong PTDTBT primary and lower secondary,Dien Bien,5 to 9 Jan 2026,one meal,67,rice (supplied in kind),17,253.7,in kind,,UPL-10,VN-direct,High,revealed,our calculation: kg bought divided by pupils stated on the sheet; raw weight as purchased
Leng Su Sin PTDTBT primary,Dien Bien,cost sheet,"boarding, Tue dinner",255,duck eggs (count),,1.96,4300 per egg,8431,UPL-07,VN-direct,High,revealed,grams_per_pupil column holds eggs per pupil for this row
Leng Su Sin PTDTBT primary,Dien Bien,cost sheet,"Nuoi Em lunch, egg day",143,duck eggs (count),,1.69,4300 per egg,7277,UPL-08,VN-direct,High,revealed,grams_per_pupil column holds eggs per pupil for this row
Sen Thuong PTDTBT primary and lower secondary,Dien Bien,cost sheet,Wed and Fri lunch,67,duck eggs (count),,1.04,4700 per egg,4910,UPL-10,VN-direct,High,revealed,grams_per_pupil column holds eggs per pupil for this row
Muong Nhe PTDTBT lower secondary,Dien Bien,boarding,"Mon 21 Sep 2026, three meals",759,food spend,,,,54029,UPL-01,VN-direct,High,revealed,"our calculation: total divided by pupils; breakfast bought ready-made at VND 10,000; rice in kind"
Muong Nhe PTDTBT lower secondary,Dien Bien,boarding,"Tue 22 Sep 2026, three meals",759,food spend,,,,55043,UPL-01,VN-direct,High,revealed,our calculation: total divided by pupils
Muong Nhe PTDTBT lower secondary,Dien Bien,boarding,"Wed 23 Sep 2026, three meals",759,food spend,,,,55373,UPL-01,VN-direct,High,revealed,our calculation: total divided by pupils
Muong Nhe PTDTBT lower secondary,Dien Bien,Decree 339 lunch,pork day (2.2 kg),14,food spend,,,,23900,UPL-04,VN-direct,High,revealed,our calculation: total divided by pupils; rice in kind
Muong Nhe PTDTBT lower secondary,Dien Bien,Decree 339 lunch,pork and tofu day,14,food spend,,,,20071,UPL-04,VN-direct,High,revealed,our calculation: total divided by pupils
Muong Nhe PTDTBT lower secondary,Dien Bien,Decree 339 lunch,pork day (2.5 kg),14,food spend,,,,27071,UPL-04,VN-direct,High,revealed,our calculation: total divided by pupils
Leng Su Sin PTDTBT primary,Dien Bien,boarding,"Mon to Thu, three meals",255,food spend,,,,45490,UPL-07,VN-direct,High,revealed,"our calculation: total divided by pupils; stated VND 45,490 a pupil a day"
Leng Su Sin PTDTBT primary,Dien Bien,boarding,"Fri, two meals",255,food spend,,,,24824,UPL-07,VN-direct,High,revealed,"our calculation: total divided by pupils; stated VND 24,824"
Leng Su Sin PTDTBT primary,Dien Bien,Nuoi Em lunch,one lunch,143,food spend,,,,8000,UPL-08,VN-direct,High,revealed,our calculation: total divided by pupils; charity budget
Leng Su Sin PTDTBT lower secondary,Dien Bien,boarding,"Mon, three meals",219,food spend,,,,46463,UPL-09,VN-direct,High,revealed,"our calculation: total divided by pupils; stated VND 51,747"
Leng Su Sin PTDTBT lower secondary,Dien Bien,boarding,"Tue to Fri, three meals",219,food spend,,,,46521,UPL-09,VN-direct,High,revealed,"our calculation: total divided by pupils; stated VND 51,735"
Hong Thu PTDTBT primary,Lai Chau,boarding,norm,1,food spend,,,,46800,UPL-12,VN-direct,High,revealed,"our calculation: total divided by pupils; VND 936,000 a month over 20 days (stated)"
Na Hy PTDTNT upper secondary,Dien Bien,full boarding,one meal,1,food spend,,,,27500,UPL-17,VN-direct,High,revealed,our calculation: total divided by pupils; stated on menu
