record_id,school_en,date,protein_dishes_vi,protein_codes,tofu_day,energy_kcal,protein_pct_energy,animal_protein_pct_of_protein,software_animal_share_standard_pct,meets_animal_share_standard,protein_g_per_lunch,animal_protein_g,non_animal_protein_g,price_per_meal_vnd,source_ids,evidence_label,confidence,demand_evidence_type,notes
PMR-N11,Nguyen Trai Primary (Hanoi),2026-03-30,Thịt kho tàu + trứng gà kho,pork+egg,no,669.4,21.2,72.0,48 or more,yes,35.5,25.5,9.9,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N12,Nguyen Trai Primary (Hanoi),2026-03-31,Bò hầm củ quả + đậu phụ chiên mắm,beef+tofu,yes,694.3,17.2,34.4,48 or more,no,29.9,10.3,19.6,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N13,Nguyen Trai Primary (Hanoi),2026-04-01,Thịt gà sốt chua ngọt + trứng gà rán,chicken+egg,no,657.7,19.9,71.4,48 or more,yes,32.7,23.4,9.4,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N14,Nguyen Trai Primary (Hanoi),2026-04-02,Thịt lợn rán xá xíu + đậu phụ sốt thịt băm,pork+tofu,yes,738.5,20.0,50.6,48 or more,yes,36.9,18.7,18.2,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N15,Nguyen Trai Primary (Hanoi),2026-04-03,Cá basa file chiên giòn + chả nạc rim,fish+pork_proc,no,768.0,11.1,27.2,48 or more,no,21.3,5.8,15.5,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N16,Nguyen Trai Primary (Hanoi),2026-04-20,Gà file chiên lắc phô mai + đậu phụ rán sốt thịt,chicken+tofu,yes,802.4,18.1,51.0,48 or more,yes,36.3,18.5,17.8,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N17,Nguyen Trai Primary (Hanoi),2026-04-21,Bò nấu cari + trứng gà rán,beef+egg,no,713.1,14.9,60.4,48 or more,yes,26.6,16.0,10.5,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N18,Nguyen Trai Primary (Hanoi),2026-04-22,Thịt lợn băm sốt cà chua + đậu phụ tẩm hành mắm,pork+tofu,yes,713.6,20.5,50.7,48 or more,yes,36.6,18.5,18.0,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N19,Nguyen Trai Primary (Hanoi),2026-04-23,"Cá, thịt lợn viên chiên + chả nạc rim ngũ sắc",fish+pork_proc,no,789.1,12.2,36.2,48 or more,no,24.1,8.7,15.4,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N20,Nguyen Trai Primary (Hanoi),2026-04-24,Thịt kho cốt dừa + trứng gà kho,pork+egg,no,713.3,19.9,72.0,48 or more,yes,35.5,25.6,9.9,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N21,Nguyen Trai Primary (Hanoi),2026-05-11,Thịt lợn rán ngũ vị + trứng rán hành,pork+egg,no,686.0,20.9,74.8,48 or more,yes,35.8,26.8,9.0,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N22,Nguyen Trai Primary (Hanoi),2026-05-12,"Gà file chiên giòn + thịt xay rim ngô, cà rốt",chicken+pork,no,838.6,18.4,73.9,48 or more,yes,38.6,28.5,10.1,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N23,Nguyen Trai Primary (Hanoi),2026-05-13,Thịt lợn sốt cà chua + đậu rán tẩm hành,pork+tofu,yes,722.8,20.5,50.2,48 or more,yes,37.0,18.6,18.4,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N24,Nguyen Trai Primary (Hanoi),2026-05-14,"Cá, thịt viên chiên thì là + trứng gà chưng",fish+egg,no,756.8,13.7,64.9,48 or more,yes,25.9,16.8,9.1,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
PMR-N25,Nguyen Trai Primary (Hanoi),2026-05-15,Bò hầm vang + đậu phụ rán sốt cà chua,beef+tofu,yes,681.5,16.7,31.8,48 or more,no,28.5,9.0,19.4,35000,PMR-26,VN-direct,Medium,revealed,"energy, protein share and animal share as printed by the MOET, Ajinomoto and NIN menu software (standard row: 532.5 to 710 kcal; protein 13 to 20%; animal protein 48% or more of protein); grams are our calculation (kcal x protein share / 4); afternoon snack excluded by the sheet; menu values, not measured intake"
