record_id,province,school_en,school_week_id,week_start,weekday,protein_dishes_vi,protein_codes,n_protein_dishes,plant_protein_in_protein_dishes,plant_role,animal_free_day,minced_or_processed_meat_or_fish_dish,fish_or_seafood,plant_protein_in_soup,textured_soy_or_mock_meat,menu_author,price_per_meal_vnd,source_ids,evidence_label,confidence,demand_evidence_type,notes
PMR-M017,Ho Chi Minh City,Tran Hung Dao Primary (Cau Ong Lanh ward),HCM-THD-W2,2026-09-14,Tue,Sườn non ram mặn,pork,1,none,none,no,no,no,none,none,not stated,,PMR-11,VN-direct,High,revealed,
PMR-M018,Ho Chi Minh City,Tran Hung Dao Primary (Cau Ong Lanh ward),HCM-THD-W2,2026-09-14,Wed,Trứng đúc sốt mayonnaise,egg,1,none,none,no,no,no,none,none,not stated,,PMR-11,VN-direct,High,revealed,
PMR-M019,Ho Chi Minh City,Tran Hung Dao Primary (Cau Ong Lanh ward),HCM-THD-W2,2026-09-14,Thu,Gà nấu nấm,chicken,1,none,none,no,no,no,none,none,not stated,,PMR-11,VN-direct,High,revealed,
PMR-M020,Ho Chi Minh City,Tran Hung Dao Primary (Cau Ong Lanh ward),HCM-THD-W2,2026-09-14,Fri,Nui nấu thịt bằm,pork,1,none,none,no,no,no,none,none,not stated,,PMR-11,VN-direct,High,revealed,
PMR-M021,Ho Chi Minh City,Tran Hung Dao Primary (Cau Ong Lanh ward),HCM-THD-W3,2026-09-21,Mon,Cá ba sa sốt cà,fish,1,none,none,no,no,yes,none,none,not stated,,PMR-11,VN-direct,High,revealed,
PMR-M022,Ho Chi Minh City,Tran Hung Dao Primary (Cau Ong Lanh ward),HCM-THD-W3,2026-09-21,Tue,Tôm rim thịt,seafood+pork,1,none,none,no,no,yes,none,none,not stated,,PMR-11,VN-direct,High,revealed,
PMR-M023,Ho Chi Minh City,Tran Hung Dao Primary (Cau Ong Lanh ward),HCM-THD-W3,2026-09-21,Wed,Thịt kho trứng cút,pork+egg,1,none,none,no,no,no,none,none,not stated,,PMR-11,VN-direct,High,revealed,
PMR-M024,Ho Chi Minh City,Tran Hung Dao Primary (Cau Ong Lanh ward),HCM-THD-W3,2026-09-21,Thu,Sườn non sốt chua ngọt,pork,1,none,none,no,no,no,none,none,not stated,,PMR-11,VN-direct,High,revealed,
PMR-M025,Ho Chi Minh City,Tran Hung Dao Primary (Cau Ong Lanh ward),HCM-THD-W3,2026-09-21,Fri,Mì Ý sốt thịt bằm,pork,1,none,none,no,no,no,none,none,not stated,,PMR-11,VN-direct,High,revealed,
PMR-M026,Ho Chi Minh City,Phu Lam Primary (Phu Lam ward),HCM-PL-W2,2026-09-14,Mon,Sườn kho thơm,pork,1,none,none,no,no,no,none,none,not stated,,PMR-12,VN-direct,High,revealed,
PMR-M027,Ho Chi Minh City,Phu Lam Primary (Phu Lam ward),HCM-PL-W2,2026-09-14,Tue,Cá viên sốt mayonnaise,fish_proc,1,none,none,no,yes,yes,none,none,not stated,,PMR-12,VN-direct,High,revealed,
PMR-M028,Ho Chi Minh City,Phu Lam Primary (Phu Lam ward),HCM-PL-W2,2026-09-14,Wed,Gà kho gừng,chicken,1,none,none,no,no,no,none,none,not stated,,PMR-12,VN-direct,High,revealed,
PMR-M029,Ho Chi Minh City,Phu Lam Primary (Phu Lam ward),HCM-PL-W2,2026-09-14,Thu,Trứng chiên thịt xúc xích,egg+pork_proc,1,none,none,no,yes,no,none,none,not stated,,PMR-12,VN-direct,High,revealed,
PMR-M030,Ho Chi Minh City,Phu Lam Primary (Phu Lam ward),HCM-PL-W2,2026-09-14,Fri,Cơm chiên dương châu,mixed,1,none,none,no,no,no,none,none,not stated,,PMR-12,VN-direct,High,revealed,
PMR-M031,Ho Chi Minh City,Phu Lam Primary (Phu Lam ward),HCM-PL-W3,2026-09-21,Mon,Thịt heo kho tam sắc,pork,1,none,none,no,no,no,none,none,not stated,,PMR-12,VN-direct,High,revealed,
PMR-M032,Ho Chi Minh City,Phu Lam Primary (Phu Lam ward),HCM-PL-W3,2026-09-21,Tue,Cá basa chiên sả,fish,1,none,none,no,no,yes,none,none,not stated,,PMR-12,VN-direct,High,revealed,
PMR-M033,Ho Chi Minh City,Phu Lam Primary (Phu Lam ward),HCM-PL-W3,2026-09-21,Wed,Xíu mại sốt cà chua,pork_proc,1,none,none,no,yes,no,none,none,not stated,,PMR-12,VN-direct,High,revealed,
PMR-M034,Ho Chi Minh City,Phu Lam Primary (Phu Lam ward),HCM-PL-W3,2026-09-21,Thu,Cánh gà chiên mặn,chicken,1,none,none,no,no,no,none,none,not stated,,PMR-12,VN-direct,High,revealed,
PMR-M035,Ho Chi Minh City,Phu Lam Primary (Phu Lam ward),HCM-PL-W3,2026-09-21,Fri,Bánh canh tôm thịt,mixed,1,none,none,no,no,no,none,none,not stated,,PMR-12,VN-direct,High,revealed,
PMR-M036,Ho Chi Minh City,Chu Van An Primary (Binh Thanh ward),HCM-CVA-W2,2026-09-14,Mon,Gà kho cà ri,chicken,1,none,none,no,no,no,none,none,not stated,,PMR-13,VN-direct,High,revealed,
PMR-M037,Ho Chi Minh City,Chu Van An Primary (Binh Thanh ward),HCM-CVA-W2,2026-09-14,Tue,Chả cốm chiên sốt nước mắm,pork_proc,1,none,none,no,yes,no,none,none,not stated,,PMR-13,VN-direct,High,revealed,
PMR-M038,Ho Chi Minh City,Chu Van An Primary (Binh Thanh ward),HCM-CVA-W2,2026-09-14,Wed,Thịt kho trứng,pork+egg,1,none,none,no,no,no,none,none,not stated,,PMR-13,VN-direct,High,revealed,
PMR-M039,Ho Chi Minh City,Chu Van An Primary (Binh Thanh ward),HCM-CVA-W2,2026-09-14,Thu,Tôm rim thịt,seafood+pork,1,none,none,no,no,yes,none,none,not stated,,PMR-13,VN-direct,High,revealed,
PMR-M040,Ho Chi Minh City,Chu Van An Primary (Binh Thanh ward),HCM-CVA-W2,2026-09-14,Fri,Bánh canh chả cá,fish_proc,1,none,none,no,yes,yes,none,none,not stated,,PMR-13,VN-direct,High,revealed,
PMR-M041,Ho Chi Minh City,Chu Van An Primary (Binh Thanh ward),HCM-CVA-W3,2026-09-21,Mon,Chạo tôm chiên sốt dầu hào,seafood_proc,1,none,none,no,yes,yes,none,none,not stated,,PMR-13,VN-direct,High,revealed,
PMR-M042,Ho Chi Minh City,Chu Van An Primary (Binh Thanh ward),HCM-CVA-W3,2026-09-21,Tue,Trứng chiên thịt,egg+pork,1,none,none,no,no,no,none,none,not stated,,PMR-13,VN-direct,High,revealed,
PMR-M043,Ho Chi Minh City,Chu Van An Primary (Binh Thanh ward),HCM-CVA-W3,2026-09-21,Wed,Cá basa fillet chiên sốt chanh dây,fish,1,none,none,no,no,yes,none,none,not stated,,PMR-13,VN-direct,High,revealed,
PMR-M044,Ho Chi Minh City,Chu Van An Primary (Binh Thanh ward),HCM-CVA-W3,2026-09-21,Thu,Thịt kho chả quế,pork+pork_proc,1,none,none,no,yes,no,none,none,not stated,,PMR-13,VN-direct,High,revealed,
PMR-M045,Ho Chi Minh City,Chu Van An Primary (Binh Thanh ward),HCM-CVA-W3,2026-09-21,Fri,Phở bò,beef,1,none,none,no,no,no,none,none,not stated,,PMR-13,VN-direct,High,revealed,
PMR-M046,Ho Chi Minh City,Hoa Binh Primary (Sai Gon ward),HCM-HBSG-W1,2026-09-07,Mon,Thịt rim tôm,pork+seafood,1,none,none,no,no,yes,none,none,not stated,,PMR-14,VN-direct,High,revealed,
PMR-M047,Ho Chi Minh City,Hoa Binh Primary (Sai Gon ward),HCM-HBSG-W1,2026-09-07,Tue,Xíu mại sốt cà,pork_proc,1,none,none,no,yes,no,none,none,not stated,,PMR-14,VN-direct,High,revealed,
PMR-M048,Ho Chi Minh City,Hoa Binh Primary (Sai Gon ward),HCM-HBSG-W1,2026-09-07,Wed,Cá chiên muối sả,fish,1,none,none,no,no,yes,none,none,not stated,,PMR-14,VN-direct,High,revealed,
PMR-M049,Ho Chi Minh City,Hoa Binh Primary (Sai Gon ward),HCM-HBSG-W1,2026-09-07,Thu,Trứng hấp thịt,egg+pork,1,none,none,no,no,no,none,none,not stated,,PMR-14,VN-direct,High,revealed,
PMR-M050,Ho Chi Minh City,Hoa Binh Primary (Sai Gon ward),HCM-HBSG-W1,2026-09-07,Fri,"Nui nấu tôm, thịt, trứng cút",mixed,1,none,none,no,no,no,none,none,not stated,,PMR-14,VN-direct,High,revealed,
PMR-M051,Ho Chi Minh City,Hoa Binh Primary (Sai Gon ward),HCM-HBSG-W2,2026-09-14,Mon,Heo lúc lắc khoai tây,pork,1,none,none,no,no,no,none,none,not stated,,PMR-14,VN-direct,High,revealed,
PMR-M052,Ho Chi Minh City,Hoa Binh Primary (Sai Gon ward),HCM-HBSG-W2,2026-09-14,Tue,Cá diêu hồng chiên giòn sốt chua ngọt,fish,1,none,none,no,no,yes,none,none,not stated,,PMR-14,VN-direct,High,revealed,
PMR-M053,Ho Chi Minh City,Hoa Binh Primary (Sai Gon ward),HCM-HBSG-W2,2026-09-14,Wed,Gà kho sả,chicken,1,none,none,no,no,no,none,none,not stated,,PMR-14,VN-direct,High,revealed,
PMR-M054,Ho Chi Minh City,Hoa Binh Primary (Sai Gon ward),HCM-HBSG-W2,2026-09-14,Thu,Thịt kho trứng cút,pork+egg,1,none,none,no,no,no,mung bean,none,not stated,,PMR-14,VN-direct,High,revealed,
PMR-M055,Ho Chi Minh City,Hoa Binh Primary (Sai Gon ward),HCM-HBSG-W2,2026-09-14,Fri,Mì spaghetty sốt bò bằm,beef,1,none,none,no,no,no,none,none,not stated,,PMR-14,VN-direct,High,revealed,
PMR-M056,Ho Chi Minh City,An Phu Tay Primary (Binh Chanh commune),HCM-APT-W3,2026-09-21,Mon,Thịt gà file chiên giòn xào chua ngọt,chicken,1,none,none,no,no,no,none,none,not stated,,PMR-15,VN-direct,High,revealed,
PMR-M057,Ho Chi Minh City,An Phu Tay Primary (Binh Chanh commune),HCM-APT-W3,2026-09-21,Tue,Cá lóc fille kho thơm,fish,1,none,none,no,no,yes,none,none,not stated,,PMR-15,VN-direct,High,revealed,
PMR-M058,Ho Chi Minh City,An Phu Tay Primary (Binh Chanh commune),HCM-APT-W3,2026-09-21,Wed,Thịt nạc dăm kho trứng cút,pork+egg,1,none,none,no,no,no,none,none,not stated,,PMR-15,VN-direct,High,revealed,
PMR-M059,Ho Chi Minh City,An Phu Tay Primary (Binh Chanh commune),HCM-APT-W3,2026-09-21,Thu,Thịt bò xào bắp mỹ,beef,1,none,none,no,no,no,none,none,not stated,,PMR-15,VN-direct,High,revealed,
PMR-M060,Ho Chi Minh City,An Phu Tay Primary (Binh Chanh commune),HCM-APT-W3,2026-09-21,Fri,"Chả đùm (thịt, trứng, đậu, đậu phộng)",pork_proc+egg+peanut,1,peanut,mixed into meat dish,no,yes,no,none,none,not stated,,PMR-15,VN-direct,High,revealed,
PMR-M061,Ho Chi Minh City,Vo Thi Sau Primary (Tan Thoi Hiep ward),HCM-VTS-W2,2026-09-14,Mon,Trứng chiên thịt,egg+pork,1,none,none,no,no,no,none,none,not stated,35000,PMR-16; PMR-32,VN-direct,High,revealed,
PMR-M062,Ho Chi Minh City,Vo Thi Sau Primary (Tan Thoi Hiep ward),HCM-VTS-W2,2026-09-14,Tue,Gà kho rau củ,chicken,1,none,none,no,no,no,none,none,not stated,35000,PMR-16; PMR-32,VN-direct,High,revealed,
PMR-M063,Ho Chi Minh City,Vo Thi Sau Primary (Tan Thoi Hiep ward),HCM-VTS-W2,2026-09-14,Wed,Chả mực,seafood_proc,1,none,none,no,yes,yes,none,none,not stated,35000,PMR-16; PMR-32,VN-direct,High,revealed,
PMR-M064,Ho Chi Minh City,Vo Thi Sau Primary (Tan Thoi Hiep ward),HCM-VTS-W2,2026-09-14,Thu,Cá kho tộ,fish,1,none,none,no,no,yes,none,none,not stated,35000,PMR-16; PMR-32,VN-direct,High,revealed,
PMR-M065,Ho Chi Minh City,Vo Thi Sau Primary (Tan Thoi Hiep ward),HCM-VTS-W2,2026-09-14,Fri,Đùi gà chiên nước mắm,chicken,1,none,none,no,no,no,none,none,not stated,35000,PMR-16; PMR-32,VN-direct,High,revealed,
PMR-M066,Ho Chi Minh City,Vo Thi Sau Primary (Tan Thoi Hiep ward),HCM-VTS-W3,2026-09-21,Mon,Xíu mại,pork_proc,1,none,none,no,yes,no,none,none,not stated,35000,PMR-16; PMR-32,VN-direct,High,revealed,
PMR-M067,Ho Chi Minh City,Vo Thi Sau Primary (Tan Thoi Hiep ward),HCM-VTS-W3,2026-09-21,Tue,Cá fillet chiên,fish,1,none,none,no,no,yes,none,none,not stated,35000,PMR-16; PMR-32,VN-direct,High,revealed,
PMR-M068,Ho Chi Minh City,Vo Thi Sau Primary (Tan Thoi Hiep ward),HCM-VTS-W3,2026-09-21,Wed,Thịt kho củ cải,pork,1,none,none,no,no,no,none,none,not stated,35000,PMR-16; PMR-32,VN-direct,High,revealed,
PMR-M069,Ho Chi Minh City,Vo Thi Sau Primary (Tan Thoi Hiep ward),HCM-VTS-W3,2026-09-21,Thu,Gà kho rau răm,chicken,1,none,none,no,no,no,none,none,not stated,35000,PMR-16; PMR-32,VN-direct,High,revealed,
PMR-M070,Ho Chi Minh City,Vo Thi Sau Primary (Tan Thoi Hiep ward),HCM-VTS-W3,2026-09-21,Fri,Chả mực,seafood_proc,1,none,none,no,yes,yes,none,none,not stated,35000,PMR-16; PMR-32,VN-direct,High,revealed,
PMR-M071,Ho Chi Minh City,Vo Thi Sau Primary (Tan Thoi Hiep ward),HCM-VTS-W4,2026-09-28,Mon,Thịt kho tiêu,pork,1,none,none,no,no,no,none,none,not stated,35000,PMR-16; PMR-32,VN-direct,High,revealed,
PMR-M072,Ho Chi Minh City,Vo Thi Sau Primary (Tan Thoi Hiep ward),HCM-VTS-W4,2026-09-28,Tue,Trứng chiên thịt,egg+pork,1,none,none,no,no,no,none,none,not stated,35000,PMR-16; PMR-32,VN-direct,High,revealed,
PMR-M073,Ho Chi Minh City,Vo Thi Sau Primary (Tan Thoi Hiep ward),HCM-VTS-W4,2026-09-28,Wed,"Buffet: đùi gà, há cảo, thịt cuộn mía, mì Ý sốt thịt",mixed,1,none,none,no,no,no,none,none,not stated,35000,PMR-16; PMR-32,VN-direct,High,revealed,
PMR-M074,Ho Chi Minh City,Vo Thi Sau Primary (Tan Thoi Hiep ward),HCM-VTS-W4,2026-09-28,Thu,Cốt lết ram sả,pork,1,none,none,no,no,no,none,none,not stated,35000,PMR-16; PMR-32,VN-direct,High,revealed,
PMR-M075,Ho Chi Minh City,Vo Thi Sau Primary (Tan Thoi Hiep ward),HCM-VTS-W4,2026-09-28,Fri,Cá kho tộ,fish,1,none,none,no,no,yes,none,none,not stated,35000,PMR-16; PMR-32,VN-direct,High,revealed,
PMR-M076,Ho Chi Minh City,Luong The Vinh Primary (Cau Ong Lanh ward),HCM-LTV-W2,2026-09-14,Mon,Thịt heo ram chả lụa,pork+pork_proc,1,none,none,no,yes,no,none,none,not stated,,PMR-17,VN-direct,High,revealed,
PMR-M077,Ho Chi Minh City,Luong The Vinh Primary (Cau Ong Lanh ward),HCM-LTV-W2,2026-09-14,Tue,Gà rô ti,chicken,1,none,none,no,no,no,none,none,not stated,,PMR-17,VN-direct,High,revealed,
PMR-M078,Ho Chi Minh City,Luong The Vinh Primary (Cau Ong Lanh ward),HCM-LTV-W2,2026-09-14,Wed,Cá diêu hồng kho hành,fish,1,none,none,no,no,yes,none,none,not stated,,PMR-17,VN-direct,High,revealed,
PMR-M079,Ho Chi Minh City,Luong The Vinh Primary (Cau Ong Lanh ward),HCM-LTV-W2,2026-09-14,Thu,"Xúc xích, thịt sốt cà",pork_proc+pork,1,none,none,no,yes,no,none,none,not stated,,PMR-17,VN-direct,High,revealed,
PMR-M080,Ho Chi Minh City,Luong The Vinh Primary (Cau Ong Lanh ward),HCM-LTV-W2,2026-09-14,Fri,"Bánh canh thịt heo, tôm, trứng cút",mixed,1,none,none,no,no,no,none,none,not stated,,PMR-17,VN-direct,High,revealed,
PMR-M081,Ho Chi Minh City,Luong The Vinh Primary (Cau Ong Lanh ward),HCM-LTV-W3,2026-09-21,Mon,"Trứng hấp thịt, nấm rơm",egg+pork,1,none,none,no,no,no,none,none,not stated,,PMR-17,VN-direct,High,revealed,
PMR-M082,Ho Chi Minh City,Luong The Vinh Primary (Cau Ong Lanh ward),HCM-LTV-W3,2026-09-21,Tue,Xíu mại sốt cà chua,pork_proc,1,none,none,no,yes,no,none,none,not stated,,PMR-17,VN-direct,High,revealed,
PMR-M083,Ho Chi Minh City,Luong The Vinh Primary (Cau Ong Lanh ward),HCM-LTV-W3,2026-09-21,Wed,Cá hú kho thơm,fish,1,none,none,no,no,yes,none,none,not stated,,PMR-17,VN-direct,High,revealed,
PMR-M084,Ho Chi Minh City,Luong The Vinh Primary (Cau Ong Lanh ward),HCM-LTV-W3,2026-09-21,Thu,Gà kho rau củ sốt mayonnaise,chicken,1,none,none,no,no,no,none,none,not stated,,PMR-17,VN-direct,High,revealed,
PMR-M085,Ho Chi Minh City,Luong The Vinh Primary (Cau Ong Lanh ward),HCM-LTV-W3,2026-09-21,Fri,Súp hải sản,seafood,1,none,none,no,no,yes,none,none,not stated,,PMR-17,VN-direct,High,revealed,
PMR-M086,Ho Chi Minh City,Lac Hong Primary (Binh Hung Hoa ward),HCM-LH-W2,2026-09-14,Mon,Tôm rim thịt,seafood+pork,1,none,none,no,no,yes,none,none,Tu Anh industrial catering company,,PMR-18,VN-direct,High,revealed,
PMR-M087,Ho Chi Minh City,Lac Hong Primary (Binh Hung Hoa ward),HCM-LH-W2,2026-09-14,Tue,Cá phi lê sốt chua ngọt,fish,1,none,none,no,no,yes,none,none,Tu Anh industrial catering company,,PMR-18,VN-direct,High,revealed,
PMR-M088,Ho Chi Minh City,Lac Hong Primary (Binh Hung Hoa ward),HCM-LH-W2,2026-09-14,Wed,Đùi gà chiên nước mắm,chicken,1,none,none,no,no,no,none,none,Tu Anh industrial catering company,,PMR-18,VN-direct,High,revealed,
PMR-M089,Ho Chi Minh City,Lac Hong Primary (Binh Hung Hoa ward),HCM-LH-W2,2026-09-14,Thu,Trứng kho thịt nạc,egg+pork,1,none,none,no,no,no,none,none,Tu Anh industrial catering company,,PMR-18,VN-direct,High,revealed,
PMR-M090,Ho Chi Minh City,Lac Hong Primary (Binh Hung Hoa ward),HCM-LH-W2,2026-09-14,Fri,Bún bò Huế,beef,1,none,none,no,no,no,none,none,Tu Anh industrial catering company,,PMR-18,VN-direct,High,revealed,
PMR-M091,Ho Chi Minh City,Lac Hong Primary (Binh Hung Hoa ward),HCM-LH-W3,2026-09-21,Mon,Thịt heo xào ngũ sắc,pork,1,none,none,no,no,no,none,none,Tu Anh industrial catering company,,PMR-18,VN-direct,High,revealed,
PMR-M092,Ho Chi Minh City,Lac Hong Primary (Binh Hung Hoa ward),HCM-LH-W3,2026-09-21,Tue,Trứng chiên thịt bằm sốt mayonnaise,egg+pork,1,none,none,no,no,no,none,none,Tu Anh industrial catering company,,PMR-18,VN-direct,High,revealed,
PMR-M093,Ho Chi Minh City,Lac Hong Primary (Binh Hung Hoa ward),HCM-LH-W3,2026-09-21,Wed,Gà phi lê sốt kem bơ hành tây,chicken,1,none,none,no,no,no,none,none,Tu Anh industrial catering company,,PMR-18,VN-direct,High,revealed,
PMR-M094,Ho Chi Minh City,Lac Hong Primary (Binh Hung Hoa ward),HCM-LH-W3,2026-09-21,Thu,"Thịt rim mè, mật ong",pork,1,none,none,no,no,no,tofu,none,Tu Anh industrial catering company,,PMR-18,VN-direct,High,revealed,
PMR-M095,Ho Chi Minh City,Lac Hong Primary (Binh Hung Hoa ward),HCM-LH-W3,2026-09-21,Fri,Bò băm sốt cà chua,beef,1,none,none,no,yes,no,none,none,Tu Anh industrial catering company,,PMR-18,VN-direct,High,revealed,
PMR-M096,Ho Chi Minh City,Ly Tu Trong Primary (Dong Hung Thuan ward),HCM-LTT-W2,2026-09-14,Mon,Gà lắc phô mai,chicken,1,none,none,no,no,no,none,none,not stated,35000,PMR-19; PMR-33,VN-direct,High,revealed,
PMR-M097,Ho Chi Minh City,Ly Tu Trong Primary (Dong Hung Thuan ward),HCM-LTT-W2,2026-09-14,Tue,Thịt heo rim,pork,1,none,none,no,no,no,none,none,not stated,35000,PMR-19; PMR-33,VN-direct,High,revealed,
PMR-M098,Ho Chi Minh City,Ly Tu Trong Primary (Dong Hung Thuan ward),HCM-LTT-W2,2026-09-14,Wed,Gà kho sả,chicken,1,none,none,no,no,no,none,none,not stated,35000,PMR-19; PMR-33,VN-direct,High,revealed,
PMR-M099,Ho Chi Minh City,Ly Tu Trong Primary (Dong Hung Thuan ward),HCM-LTT-W2,2026-09-14,Thu,Cá diêu hồng chiên muối sả,fish,1,none,none,no,no,yes,none,none,not stated,35000,PMR-19; PMR-33,VN-direct,High,revealed,
PMR-M100,Ho Chi Minh City,Ly Tu Trong Primary (Dong Hung Thuan ward),HCM-LTT-W2,2026-09-14,Fri,Chả tôm,seafood_proc,1,none,none,no,yes,yes,none,none,not stated,35000,PMR-19; PMR-33,VN-direct,High,revealed,
PMR-M101,Ho Chi Minh City,Ly Tu Trong Primary (Dong Hung Thuan ward),HCM-LTT-W3,2026-09-21,Mon,Thịt heo chiên giòn,pork,1,none,none,no,no,no,none,none,not stated,35000,PMR-19; PMR-33,VN-direct,High,revealed,
PMR-M102,Ho Chi Minh City,Ly Tu Trong Primary (Dong Hung Thuan ward),HCM-LTT-W3,2026-09-21,Tue,Gà xào nấm,chicken,1,none,none,no,no,no,none,none,not stated,35000,PMR-19; PMR-33,VN-direct,High,revealed,
PMR-M103,Ho Chi Minh City,Ly Tu Trong Primary (Dong Hung Thuan ward),HCM-LTT-W3,2026-09-21,Wed,Cá diêu hồng kho cà,fish,1,none,none,no,no,yes,none,none,not stated,35000,PMR-19; PMR-33,VN-direct,High,revealed,
PMR-M104,Ho Chi Minh City,Ly Tu Trong Primary (Dong Hung Thuan ward),HCM-LTT-W3,2026-09-21,Thu,Thịt kho củ cải,pork,1,none,none,no,no,no,none,none,not stated,35000,PMR-19; PMR-33,VN-direct,High,revealed,
PMR-M105,Ho Chi Minh City,Ly Tu Trong Primary (Dong Hung Thuan ward),HCM-LTT-W3,2026-09-21,Fri,Gà rim mật ong,chicken,1,none,none,no,no,no,none,none,not stated,35000,PMR-19; PMR-33,VN-direct,High,revealed,
PMR-M106,Ho Chi Minh City,Nguyen Khuyen Primary (Dong Hung Thuan ward),HCM-NK-W2,2026-09-14,Mon,Gà kho sả ớt,chicken,1,none,none,no,no,no,none,none,"school (menu staff, health officer, principal sign)",,PMR-20,VN-direct,High,revealed,
PMR-M107,Ho Chi Minh City,Nguyen Khuyen Primary (Dong Hung Thuan ward),HCM-NK-W2,2026-09-14,Tue,Trứng hấp thịt,egg+pork,1,none,none,no,no,no,none,none,"school (menu staff, health officer, principal sign)",,PMR-20,VN-direct,High,revealed,
PMR-M108,Ho Chi Minh City,Nguyen Khuyen Primary (Dong Hung Thuan ward),HCM-NK-W2,2026-09-14,Wed,Cốt lết rim,pork,1,none,none,no,no,no,none,none,"school (menu staff, health officer, principal sign)",,PMR-20,VN-direct,High,revealed,
