commodity,hs_code,year,volume_t,value_usd,top_origins,source_ids,evidence_label,confidence,notes
DDGS,230330,2025,1500000,,United States 72%; Brazil 15%; India 13%,MAC-01,VN-direct,Medium,"USDA VM2026-0012, +14% y/y."
DDGS,230330,2026 H1,645000,,United States 81%,MAC-03,VN-direct,Medium,-24% y/y.
Rapeseed meal,2306.41/2306.49,2025,281000,,India largest,MAC-04,VN-direct,Medium,"USDA VM2026-0006, +22% y/y."
Copra meal,2306.50,2025,53000,,n/a,MAC-04,VN-direct,Medium,USDA MY2024/25 (Jan to Dec 2025).
Fishmeal,2301.20,2025,,,,,VN-direct,Low,GAP: no sourced 2024/2025 import or domestic production volume found in this wave. Close via Vietnam Customs HS 2301.20 (ITC Trade Map) and Vietnam Animal Feed Association.
"Customs group ""animal feed and ingredients"" (thuc an gia suc va nguyen lieu)","Mainly HS Ch. 23 (SBM, DDGS, meals, premix)",2024,,4890000000,Argentina largest,MAC-07,VN-direct,Medium,"Derived by us from 2025 value and reported -6.4% change. Group excludes corn, soybeans and wheat, which customs reports separately."
"Customs group ""animal feed and ingredients""",Mainly HS Ch. 23,2025,,4580000000,Argentina USD 1.68 bn (36.6%); United States USD 859 M (18.8%); Brazil USD 443 M (9.7%),MAC-07,VN-direct,High,Customs preliminary 10 Jan 2026; -6.4% vs 2024.
Total gross grain and feed-ingredient imports (corn + soybeans + wheat + customs feed group),mixed,2025,,10200000000,"Argentina, Brazil, United States dominate",MAC-07; MAC-08; MAC-09; MAC-10,VN-direct,Medium,Our sum of four customs lines. Gross: includes milling wheat and food-use soybeans. Physical volume of corn+soy+wheat+SBM+DDGS+rapeseed meal about 27.4 Mt.
Total gross grain and feed-ingredient imports (same basis),mixed,2024,,10640000000,"Argentina, Brazil, United States dominate",MAC-11; MAC-07; MAC-09; MAC-10,VN-direct,Medium,Our sum; three of four values derived from 2025 values and reported growth rates.
Feed raw material imports (Livestock Department definition),mixed,2024,22400000,7700000000,Corn 10 Mt; oil meals 5.5 Mt; wheat and barley 2.36 Mt,MAC-28,VN-direct,Medium,"Cuc Chan nuoi figure reported by VietDVM. Narrower than customs totals (corn 10 Mt vs 12.52 Mt customs), probably feed-industry imports only. Definition not stated."
