family,claim,value,unit,organism_or_product,scale,year,doi,fulltext_read,retraction_check,source_ids,evidence_label,confidence,notes
cultivated_seafood,Striped catfish gill cell line exists (lead called it 'PHG'),gill line published; name 'PHG' not confirmed in record read,text,Pangasianodon hypophthalmus gill cells,lab,2022,10.1007/s10695-022-01053-9,N (closed; title/metadata only),none found,SCI-11;SCI-46;SCI-47,VN-adjacent,Medium,"Sathiyanarayanan A, Goswami M, Nagpure NS et al. Fish Physiol Biochem 48(2):367-380 (ICAR authors). Also a caudal fin line: Soni P et al. 2018 Acta Tropica 182:215-222 (10.1016/j.actatropica.2018.03.015), and a skin epithelial line from Taiwan (Wu & Wang 2025/2026, 10.1016/j.fsi.2025.110836). All disease-research lines."
cultivated_seafood,Shrimp-insect hybrid cell line 'PmLyO-Sf9' exists,PmLyO-Sf9: P. monodon lymphoid cells fused with insect Sf9 line,text,Penaeus monodon x Spodoptera frugiperda Sf9 hybrid,lab,2021,10.1016/j.fsi.2021.03.023,N (closed; title + citing snippets),none found,SCI-12;SCI-13,general,High,"Anoop BS, Puthumana J et al. Fish Shellfish Immunol 113:196-207. From Cochin University of Science and Technology group (I.S. Bright Singh), NOT ICAR-NBFGR (prior lead implied NBFGR). Contains insect genome: not a shrimp food cell line. Used for WSSV and IHHNV virology (SCI-13). Black tiger shrimp, not whiteleg shrimp. No true continuous shrimp cell line exists in the literature found."
cultivated_seafood,Humbird: practical max cell density in suspension,258 (absolute max); 110 fed-batch; 140 single ATF perfusion; 195 O2-limited perfusion,g/L wet cells,"generic animal cells (3,000 pg, 17.7 um)",model (TEA),2021,10.1002/bit.27848,Y (excerpts),none found,SCI-14,general,High,Humbird D. Biotechnol Bioeng 118(8):3239-3250. With inefficient metabolism ammonia inhibition caps density at 7-20 g/L. Conclusion: economics 'would likely preclude the affordability' of cultured meat as food.
cultivated_seafood,Humbird: growth factor cost contribution at 100 kt/yr scale,3-4,USD/kg wet cell mass,"insulin, transferrin, FGF, TGF-beta","model (TEA, 100 kTA)",2021,10.1002/bit.27848,Y (excerpts),none found,SCI-14,general,High,Assumes large-scale recombinant production prices. Contrast with current-price estimates that growth factors are up to 95% of serum-free medium cost (SCI-15). Both are true under different price assumptions; do not average.
cultivated_seafood,Share of serum-free medium cost from growth factors at current prices,up to 95,% of medium cost,serum-free media (bovine cells),estimate (literature review statement),2026,10.64898/2026.04.09.717582,Y (excerpts),none found (preprint),SCI-15,general,Medium,"Dolgin J et al. 2026 preprint (openRxiv), citing Stout et al. and Negulescu et al. 2023 (10.1002/bit.28324: media ~98% of raw material cost at scale). Preprint; secondary statement."
cultivated_seafood,"Achieved density in animal-free medium (chicken cells, continuous culture)",28,million cells/mL,chicken fibroblast-like cells (Believer/Pasitka),"pilot, 20-day multiple harvests",2024,10.1038/s43016-024-01022-w,N (via citing review SCI-17),none found,SCI-16;SCI-17,general,Medium,Pasitka L et al. Nature Food 2024. Albumin replaced by methylcellulose and cyclodextrin; medium cost -38%. Companion paper (10.1038/s43016-023-00692-2) modelled USD 13.67/kg for 50:50 hybrid chicken with medium at USD 0.63/L. 28e6 cells/mL is roughly 30-80 g/L wet depending on cell size: below Humbird's 140-195 g/L. No comparable data for fish or shrimp cells.
fungal_biomass,Karimi 2019: A. oryzae 'biomass yield' on 5% vinasse,118.5 (reported); broth-basis value implied by COD mass balance about 5.9,g DM/L,A. oryzae CBS 819.72 on molasses vinasse,"250 mL shake flask, 100 mL, 72 h, 35 C",2019,10.3390/fermentation5040099,Y (methods and results sections),none found (1 contrasting citation),SCI-18,general,High,"Karimi S et al. Fermentation 5(4):99. Methods: 100 mL of 5% (v/v) vinasse, biomass sieved (1 mm2), washed, oven-dried at 70 C. Medium COD stated as about 21 g/L. 11.85 g dry biomass from 100 mL holding about 2.1 g COD is impossible, so 118.5 cannot be a broth concentration. The paper reports COD on an as-received vinasse basis (835 g/L) and cites a related study in 'g per litre of vinasse'. Most plausible reading: per litre of undiluted vinasse, i.e. about 5.9 g/L in the flask (118.5 x 0.05; my arithmetic). Paper does not state the basis explicitly and is internally inconsistent (835 x 5% = 42, not 21 g/L COD). Do NOT use 118.5 g/L as a titer or productivity input. Protein (N x 6.25): A. oryzae 44.7%, N. intermedia 57.6%, R. oryzae 50.9%."
fungal_biomass,A. oryzae mycotoxin potential,cannot make aflatoxin (disabling mutations in cluster); CAN make cyclopiazonic acid (CPA) and 3-nitropropionic acid; kojic acid is not classed as a mycotoxin,text,Aspergillus oryzae,review,2018,10.1007/s00253-018-9354-1,Y (excerpts),none found,SCI-19,general,High,Frisvad JC et al. Appl Microbiol Biotechnol 102:9481-9515. Modern industrial strains carry a large deletion removing the aflatoxin cluster and CPA genes; CPA cluster can be deleted (Kato 2011). Reports of aflatoxigenic 'A. oryzae' are misidentified A. flavus. Implication: a koji/biomass play must use a characterised strain with CPA/3-NPA testing; wild tuong starter cultures are not automatically safe.
fungal_biomass,Mycoprotein RNA content before and after heat treatment,about 10 -> about 2,% of dry weight,Fusarium venenatum (Quorn),industrial,2020,10.3390/nu12041115,Y (excerpts),none found,SCI-20,general,High,"Coelho MOC et al. Nutrients 12(4):1115. Heat treatment 68 C for 20 min lets endogenous enzymes degrade RNA; described as 'industrially expensive'. Meets FAO/WHO/UNICEF PAG guidance. Protein of F. venenatum mycoprotein is 30-45% DW in a 2025 review (SCI-21, secondary)."
fungal_biomass,Protein content range of SCP by organism group,bacteria up to 65; F. venenatum 30-45,% dry weight,SCP general,review,2025,10.3390/fermentation11010024,Y (excerpts),none found,SCI-21,general,Medium,"D'Almeida AP, de Albuquerque TL. Fermentation 11(1):24. Also: thermal RNA reduction to <1% 'to be considered safe' (wording varies between sources; SCI-20 says ~2%)."
fungal_biomass,Candida utilis crude protein on cassava peel hydrolysate,47.5 (glucose); 49.1 (acid hydrolysate); 56.7 (enzymatic hydrolysate),"% crude protein (N x 6.25), dry biomass",Candida utilis NRRL Y-1084,shake flask / submerged aerobic,2012,10.17265/2159-5828/2012.08.004,N (abstract),none found,SCI-22,VN-adjacent,Medium,"Ezekiel OO, Aworh OC, du Preez JC. J Food Sci Eng 2(8). Prior claim '49-57%' is correct. Yield 0.44-0.52 g/g sugar. Cardinal temperatures 14/33/41 C (max 41 C). N x 6.25 includes nucleic-acid N (yeast RNA 6-12%), so true protein is lower. Publisher (David Publishing) is low-tier; treat as indicative. Nigerian cassava peel, transferable to VN cassava residues with caution."
aquafeed_scp,CAP (Clostridium autoethanogenum protein) can replace fishmeal in whiteleg shrimp without growth loss,30,% of fishmeal replaced,"CAP (steel-mill CO gas fermentation), L. vannamei",feeding trial (lab),2021,10.1016/j.aqrep.2021.100938,N (cited by SCI-23),not checked (not retrieved directly),SCI-23,general,Medium,"Stated in Li X et al. 2022 (SCI-23) citing Aquaculture Reports 2021 study. CAP >80% crude protein, lysine-rich. High inclusion may reduce digestibility."
aquafeed_scp,Halving fishmeal (25% -> 12.5% of diet) with CAP reduced shrimp growth unless a bile acid (CDCA 0.06%) was added,growth reduced at 50% FM replacement without CDCA,text,"CAP 84.2% CP (Hebei Shoulang), L. vannamei",56-day trial,2023,10.3390/ani13132109,Y (abstract+excerpts),none found,SCI-24,general,High,Shi M et al. Animals 13(13):2109. Shows a ceiling near 30-50% FM replacement for CAP in shrimp without additives.
aquafeed_scp,Digestibility/growth screen at 30% test-ingredient inclusion in shrimp: methanotroph bacterial meal (BPM) and BSF/mealworm reduced growth; CAP and Chlorella did not,BPM protein ADC lower than control; CAP protein ADC higher than control,text,"Methylococcus capsulatus Bath meal (71% CP), CAP, BSF larvae meal, Chlorella, L. vannamei",digestibility trial (70:30 diet),2022,10.1155/2022/8225273,Y (abstract+excerpts),none found,SCI-23,general,High,"Li X et al. Aquaculture Nutrition 2022:8225273. Note 30% of whole diet is a high inclusion, not a fishmeal-replacement trial. Also reports prior findings: BSF can replace 20% FM without harm; Chlorella 75% FM (secondary)."
aquafeed_scp,Microbial community SCP from soybean-processing wastewater replaced fishmeal in whiteleg shrimp,up to 90 (growth maintained); survival high to 100,% of fishmeal replaced (up to 220 g SCP/kg feed),"mixed-culture SCP, L. vannamei","4 trials, 42-84 days, lab and pilot SCP",2025,10.64898/2025.12.11.693825,N (abstract),"none found (preprint, not peer-reviewed)",SCI-25,VN-adjacent,Medium,"Santillan E et al. 2025 preprint (openRxiv), Singapore-based authors. Directly relevant to VN tofu/soy-milk wastewater. Not yet peer reviewed."
aquafeed_scp,Brewer's yeast replaced fishmeal in hybrid 'Thai Panga' catfish with improved growth and immunity,45,% of fishmeal replaced,"brewer's yeast, Pangasianodon hypophthalmus x Pangasius bocourti",feeding trial,2024,10.3390/ani14192851,Y (excerpt; review statement),none found,SCI-26,VN-adjacent,Medium,"Sultana S et al. Animals 14(19):2851 review, citing primary study. Pangasius diets use little fishmeal (prior lead 2-5%), so in pangasius SCP competes mainly with soybean meal, not fishmeal. S. cerevisiae reported without detriment in Nile tilapia."
insects_benchmark,Black soldier fly larvae meal replacing fishmeal in whiteleg shrimp,20% FM replacement no growth loss; 30% FM replacement reduced growth,% of fishmeal protein replaced (control diet 25% FM),"BSF larvae meal, L. vannamei",7-week trial,2021,10.1017/s0007114521004670,N (abstract),none found,SCI-27,general,High,"Chen Y et al. Br J Nutr 128(9):1674-1688. With 25% FM in control, 20% replacement equals about 5% of diet. Benchmark: BSF displaces little fishmeal in shrimp; SCI-23 also found reduced growth and lower protein digestibility for BSF meal."
duckweed_algae,EFSA opinion on Wolffia globosa powder (Mankai-type NF): safety could not be established,safety cannot be established (manganese intake concern); NOAEL 6.5 g/kg bw/day; possible allergenicity,text,"Wolffia globosa powder, controlled cultivation, hot-water washed, dried",regulatory opinion,2021,10.2903/j.efsa.2021.6938,N (abstract),none found,SCI-28,general,High,"EFSA NDA Panel, EFSA Journal 19(12):6938. Trace elements and contaminants depend strongly on cultivation water and fertiliser. A 2026 review (SCI-31) states the NF was later authorised by Commission Implementing Regulation (EU) 2022/2223; NOT verified (EUR-Lex fetch blocked). Treat EU authorisation status as open."
duckweed_algae,"EFSA opinion on water lentil powder (Lemna 70-100%, Wolffia 0-30%)",safety cannot be established (manganese),text,mixed Lemnaceae powder,regulatory opinion,2021,10.2903/j.efsa.2021.6845,N (abstract),none found,SCI-29,general,High,"EFSA NDA Panel, EFSA Journal 19(11):6845. Same Mn issue."
duckweed_algae,EFSA opinion on water lentil protein CONCENTRATE (L. gibba + L. minor),safe under proposed uses; low allergy risk,text,"Lemna protein concentrate (fibre removed, pasteurised, spray-dried)",regulatory opinion,2023,10.2903/j.efsa.2023.7903,N (abstract),none found,SCI-30,general,High,"EFSA NDA Panel, EFSA Journal 21(4):7903. Lesson: extracting protein removes the Mn problem that blocked whole-plant powders."
duckweed_algae,Fresh Wolffia plants deemed 'not novel' in the EU,NOT VERIFIED,text,fresh Wolffia arrhiza / W. globosa,regulatory,n/a,n/a,N,n/a,SCI-32,general,Low,EC 'consultation process on novel food status' page fetched; no Wolffia entry seen in the (possibly truncated) listing. Mes et al. 2022 (SCI-33) state 'all genera of duckweed are classified as Novel Food' by EFSA. Position: do not claim fresh Wolffia is non-novel in the EU until the EC catalogue entry is read.
duckweed_algae,"Wolffia protein content (11 species, axenic lab culture)",20-30,% of freeze-dry weight,Wolffia spp.,lab,2018,10.3389/fchem.2018.00483,Y (abstract+excerpts),none found,SCI-34,general,High,"Appenroth KJ et al. Front Chem 6:483. Fibre ~25%, starch 10-20%, fat 1-5%. EAA ratios vs WHO preschool pattern at or above ~1 (amino acid score, NOT digestibility-corrected). Mn 78-431 mg/kg FDW in 16 samples."
duckweed_algae,Crude protein and in vitro digestibility of Thai duckweeds,"Wolffia 44.3; Lemna 22.2; Spirodela 18.0 (% DM CP); in vitro SIDCP Lemna 72%, Wolffia 69%, Spirodela 39%",% DM / %,"Wolffia, Lemna, Spirodela (Thailand)",in vitro (pig-simulating),2024,10.48048/tis.2024.8324,N (abstract),none found,SCI-35,VN-adjacent,Medium,Thongthung H et al. Trends in Sciences 21(11):8324. Protein varies 2x with species and water nutrients; in vitro digestibility only.
duckweed_algae,Duckweed productivity,"about 30 (average, cited); 33 t DM/ha over 8 months in domestic wastewater; 'up to 100' t DM/ha/yr is an extrapolated upper bound",t DM/ha/yr,Lemnaceae,field / review,2026,10.1186/s40104-026-01415-w,Y (excerpts),none found,SCI-36;SCI-37,general,Low,"Salian A et al. J Anim Sci Biotechnol 17 (2026) review; the same review prints '102.5 t/ha/d', an evident error, so treat its numbers with care. 'Up to 100 t DM/ha/yr' appears in Pagliuso et al. 2022 preprint citing Ziegler 2015. No VN field data. Use 10-30 t DM/ha/yr as a planning range pending VN trials (my judgement)."
duckweed_algae,'PDCAAS 0.89' for duckweed/Wolffia,NOT FOUND in peer-reviewed literature searched,score,duckweed,n/a,n/a,n/a,N,n/a,SCI-34;SCI-38,general,Low,"No duckweed PDCAAS or DIAAS study found via Scite. Appenroth 2018 reports amino acid scores only. Human data: L. minor protein absorbed less than pea protein (Mes et al., cited in SCI-33). Drop the 0.89 figure unless a primary source is produced."
duckweed_algae,Microalgae DIAAS data availability,no DIAAS for microalgal biomass available (as of 2021 review),text,microalgae incl. spirulina,review,2021,10.3390/foods10123002,Y (excerpt),none found,SCI-39,general,Medium,"Wang Y, Tibbetts SM, McGinn PJ. Foods 10(12):3002. Spirulina protein content and digestibility figures were not verified in this wave."
plant_protein_quality,DIAAS of protein ingredients (growing pigs; older child/adult pattern),soy isolate 97; pea concentrate 70; brown rice concentrate 42 (0.5-3 y: soy 83; pea 60),DIAAS %,"soy protein isolate, pea protein concentrate, brown rice protein concentrate",pig ileal digestibility,2023,10.1002/jsfa.12809,Y (excerpts),none found,SCI-40,general,High,"Bailey HM, Fanelli NS, Stein HH. J Sci Food Agric 103(14):7251-7259. Limiting AA: lysine (rice), sulfur AA (soy, pea). Rice and pea concentrates DIAAS <75."
plant_protein_quality,DIAAS of cooked mung bean (growing pigs),68 (0.5-3 y); 86 (older child/adult),DIAAS %,cooked mung bean (China),pig ileal digestibility,2020,10.3390/nu12123831,Y (abstract+excerpts),none found (2 contrasting citations),SCI-41,general,High,"Han F, Moughan PJ et al. Nutrients 12(12):3831. Peas 57/68. Lysine limiting for young child pattern; leucine for older."
plant_protein_quality,True ileal IAA digestibility measured in children (dual isotope),mung bean 65.2%; rice 78.5%; egg 87.4%,% true ileal IAA digestibility,"mung bean (in khichdi), rice, egg",human (Indian children <2 y),2019,10.1093/ajcn/nqy265,Y (abstract+excerpts),none found,SCI-42,VN-adjacent,High,Shivakumar N et al. Am J Clin Nutr 109(5):1319-1327. Mung bean digestibility in children about 20% lower than pig values. Typical cereal-legume complementary diets DIAAS about 80; adding egg or milk raised it to 100 (calculated).
plant_protein_quality,Measured rice+legume blend DIAAS >= 100,NONE FOUND,text,rice + legume blends,n/a,2026,10.1139/apnm-2021-0806,Y (excerpts),none found,SCI-43;SCI-42,general,Medium,"Only CALCULATED values found: pea+rice blends with 40-90% pea can reach PDCAAS 1.00 on the adult pattern (Hertzler 2020, cited in Nichele et al. 2022); potato+fava+corn and pea+wheat meals reach DIAAS 100 (Herreman 2020, calculated). No measured (in vivo) rice+legume blend DIAAS >= 100 was found."
tropical_fermentation,Thermotolerant K. marxianus grows at 35-45 C; high-density biomass on raw cassava starch,39.3 g/L (3.28 g/L/h) single batch; 36-46 g/L repeated batch,g/L cell dry weight,K. marxianus SS106 (isolated from Thai cassava pulp and starch-factory soil),"5 L stirred tank, 40 C",2020,10.3390/pr8080898,Y (abstract+excerpts),none found,SCI-44,VN-adjacent,High,Malairuang K et al. Processes 8(8):898. Chose 40 C over 42 C for energy saving. Directly transferable to VN cassava starch factories.
tropical_fermentation,Cooling-cost saving from high-temperature fermentation,qualitative only ('expected to reduce cooling cost'); no quantified tropical cooling-cost analysis found,text,K. marxianus DMKU 3-1042 and others,review statements,2015,10.1186/s13068-015-0227-x,Y (excerpts),none found,SCI-45;SCI-44,general,Medium,"Lertwattanasakul N et al. Biotechnol Biofuels 8:47. Wave 1 cost agent estimated USD 70-180/t biomass for chilled water in southern VN (own estimate, not peer reviewed). K. marxianus is also a precision-fermentation host (SCI-04, SCI-05: leghemoglobin 7-10 g/L) and C. utilis tolerates up to 41 C (SCI-22)."
duckweed_algae,Drum-dried Wolffia globosa protein and in vitro digestibility,protein 32-34% DW; IVPD 81% fresh -> 85% dried,% DW / %,"Wolffia globosa (Thailand), drum-dried 120-150 C",lab,2025,10.1002/jsfa.70332,N (abstract),none found,SCI-48,VN-adjacent,Medium,Pattarayingsakul W et al. J Sci Food Agric 106(4):2242-2250. In vitro only. Review statement in the same paper: Wolffia 20-45% protein DW.
