record_id,instrument,number,date,issuer,domain,target_text_vi,target_text_en,metric,value,unit,horizon_year,relevance_to_protein_supply,status,foresight_type,source_ids,evidence_label,confidence,notes
NT-014,"Resolution on breakthroughs in science, technology, innovation and national digital transformation",57-NQ/TW,2024-12-22,Politburo,science and technology,Quy mô kinh tế số đạt tối thiểu 30% GDP,Digital economy at least 30% of GDP,Digital economy share of GDP,at least 30,% of GDP,2030,1,in force,projection,NTS-03,VN-direct,High,
NT-015,"Resolution on breakthroughs in science, technology, innovation and national digital transformation",57-NQ/TW,2024-12-22,Politburo,science and technology,Việt Nam có quy mô kinh tế số đạt tối thiểu 50% GDP,Digital economy at least 50% of GDP,Digital economy share of GDP,at least 50,% of GDP,2045,1,in force,projection,NTS-03,VN-direct,High,Vision.
NT-016,"Resolution on breakthroughs in science, technology, innovation and national digital transformation",57-NQ/TW,2024-12-22,Politburo,science and technology,"Thuộc nhóm 30 nước dẫn đầu thế giới về đổi mới sáng tạo, chuyển đổi số",Among the top 30 countries in the world for innovation and digital transformation,Global innovation ranking,top 30,rank,2045,1,in force,projection,NTS-03,VN-direct,High,Vietnam ranked 44th in the Global Innovation Index 2024 (agent knowledge; not verified this round).
NT-017,"Resolution on breakthroughs in science, technology, innovation and national digital transformation",57-NQ/TW,2024-12-22,Politburo,science and technology; regulation,Có cơ chế thí điểm để doanh nghiệp thử nghiệm công nghệ mới có sự giám sát của Nhà nước,Pilot mechanisms for firms to test new technologies under state supervision,Direction (sandbox),n/a,n/a,2030,3,in force,projection,NTS-03; REG-50,VN-direct,High,Legal basis now in Law 93/2025/QH15 Arts 21 to 23 (edition 1.0).
NT-018,"Resolution on agriculture, farmers and rural areas to 2030, vision 2045",19-NQ/TW,2022-06-16,"Party Central Committee (5th plenum, 13th term)",agriculture,"Tốc độ tăng trưởng GDP ngành Nông nghiệp phấn đấu đạt bình quân khoảng 3%/năm; tăng năng suất lao động nông nghiệp bình quân từ 5,5 - 6%/năm",Agricultural GDP growth about 3% a year; agricultural labour productivity growth 5.5 to 6% a year,Agricultural GDP growth; labour productivity growth,about 3; 5.5 to 6,% per year,2030,2,"in force (continued by Conclusion 219-KL/TW, 2025)",projection,NTS-04,VN-direct,High,
NT-019,"Resolution on agriculture, farmers and rural areas to 2030, vision 2045",19-NQ/TW,2022-06-16,Party Central Committee,agriculture; labour,Tỉ trọng lao động nông nghiệp trong tổng lao động xã hội dưới 20%,Agricultural share of total employment below 20%,Agricultural labour share,below 20,% of employment,2030,2,in force,projection,NTS-04,VN-direct,High,Signals a shrinking farm workforce; relevant to just transition for livestock and aquaculture workers.
NT-020,"Resolution on agriculture, farmers and rural areas to 2030, vision 2045",19-NQ/TW,2022-06-16,Party Central Committee,agriculture; income,"Thu nhập bình quân của người dân nông thôn năm 2030 phấn đấu tăng gấp 2,5 - 3 lần so với năm 2020",Average rural income in 2030 2.5 to 3 times the 2020 level,Rural income multiple,2.5 to 3,times 2020 level,2030,1,in force,projection,NTS-04,VN-direct,High,Macro input for diet change (income-driven demand).
NT-021,"Resolution on agriculture, farmers and rural areas to 2030, vision 2045",19-NQ/TW,2022-06-16,Party Central Committee,land; forest,Tỉ lệ che phủ rừng ổn định ở mức 42%,Forest cover stable at 42%,Forest cover,42,% of land area,2030,2,in force,projection,NTS-04,VN-direct,High,Caps land available for new feed crops.
NT-022,"Resolution on agriculture, farmers and rural areas to 2030, vision 2045",19-NQ/TW,2022-06-16,Party Central Committee,food security; land,"bảo vệ nghiêm ngặt quỹ đất chuyên lúa, hằng năm sản xuất ít nhất 35 triệu tấn lúa để bảo đảm an ninh lương thực quốc gia",Strictly protect specialised rice land; produce at least 35 Mt of paddy a year to ensure national food security,Annual paddy output floor,at least 35,Mt paddy per year,2030,3,in force,projection,NTS-04,VN-direct,Medium,"Quote confirmed twice by page extraction; not seen in a second copy. Paddy output was about 43 Mt in 2024 (agent knowledge), so the floor leaves room to convert poor rice land."
NT-023,"Resolution on agriculture, farmers and rural areas to 2030, vision 2045",19-NQ/TW,2022-06-16,Party Central Committee,feed,nâng cao năng lực tự chủ trong sản xuất thức ăn chăn nuôi,Raise self-reliance in feed production,Direction (no metric),n/a,n/a,2030,3,in force,projection,NTS-04,VN-direct,Medium,The only feed sentence we found. No self-sufficiency ratio is set.
NT-024,"Resolution on agriculture, farmers and rural areas to 2030, vision 2045",19-NQ/TW,2022-06-16,Party Central Committee,agriculture,"Nông nghiệp sinh thái, sản xuất hàng hoá quy mô lớn, có giá trị gia tăng cao, công nghiệp chế biến và bảo quản nông sản hiện đại, xuất khẩu nhiều loại nông sản đứng hàng đầu thế giới","Ecological agriculture, large-scale commodity production with high value added, modern processing and storage, many farm exports among the world leaders",Qualitative vision,n/a,n/a,2045,2,in force,projection,NTS-04,VN-direct,High,Vision. No protein-specific language.
NT-025,Conclusion on continuing Resolution 19-NQ/TW; Government action programme,219-KL/TW; 85/NQ-CP,2025-11-26; 2026-04-04,Politburo; Government,agriculture; water; circular economy,Chiến lược tài nguyên nước quốc gia đến năm 2030 tầm nhìn đến năm 2050,"New national water resources strategy to 2030, vision 2050 (MAE, 2026); circular-economy models scheme (MAE, 2026); Mekong subsidence, erosion and salinity scheme (2026 to 2027)",Tasks and deadlines,2026 to 2027,deadline,2050,2,in force,signal,NTS-05,VN-direct,Medium,Resolution 85/NQ-CP has no new numeric targets per our read; 25 tasks to 2030. Water strategy and Mekong scheme not yet found as issued.
NT-026,"Sustainable agriculture and rural development strategy 2021 to 2030, vision 2050",150/QD-TTg,2022-01-28,Prime Minister,agriculture,"Tốc độ tăng trưởng GDP nông lâm thủy sản: 2,5 - 3%/năm","Agriculture, forestry and fisheries GDP growth 2.5 to 3% a year",Sector GDP growth,2.5 to 3,% per year,2030,2,in force,projection,NTS-06,VN-direct,Medium,Also: labour productivity growth 5.5 to 6% a year; export value growth 5 to 6% a year; trained labour over 70%.
NT-027,"Sustainable agriculture and rural development strategy 2021 to 2030, vision 2050",150/QD-TTg,2022-01-28,Prime Minister,climate; agriculture,Phấn đấu giảm phát thải khí nhà kính 10% so với năm 2020,Reduce agricultural greenhouse gas emissions by 10% against 2020,GHG reduction vs 2020,10,% vs 2020,2030,2,in force,projection,NTS-06,VN-direct,Medium,"Softer than the Decision 896 agriculture cap (64 MtCO2e in 2030, about 39% below 2020 by CLM calculation). The two texts use different bases (2020 actual vs BAU); see disagreements log."
NT-028,"Sustainable agriculture and rural development strategy 2021 to 2030, vision 2050",150/QD-TTg,2022-01-28,Prime Minister,feed; aquaculture,"Chủ động trong việc cung ứng các đầu vào thiết yếu (giống, thức ăn, thuốc)","Be self-reliant in supplying essential inputs (seed stock, feed, veterinary drugs)",Direction (no metric),n/a,n/a,2030,3,in force,projection,NTS-06,VN-direct,Medium,Fisheries section. No feed self-sufficiency ratio.
NT-029,"Sustainable agriculture and rural development strategy 2021 to 2030, vision 2050",150/QD-TTg,2022-01-28,Prime Minister,processing; food loss,"Phát triển công nghệ chế biến sâu, công nghệ bảo quản, giảm tổn thất, lãng phí trong hệ thống lương thực, thực phẩm",Develop deep processing and storage technology; reduce food loss and waste,Direction (no metric),n/a,n/a,2030,2,in force,projection,NTS-06,VN-direct,Medium,"Also 'đẩy mạnh chế biến sâu, tận dụng phụ phẩm' (deep processing, use of by-products)."
NT-030,"Sustainable agriculture and rural development strategy 2021 to 2030, vision 2050",150/QD-TTg,2022-01-28,Prime Minister,agriculture,Phấn đấu Việt Nam trở thành một trong những nước có nền nông nghiệp hàng đầu thế giới với ngành công nghiệp chế biến nông sản hiện đại,"Vietnam among the world's leading agricultural nations with a modern, efficient, environmentally friendly processing industry",Qualitative vision,n/a,n/a,2050,2,in force,projection,NTS-06,VN-direct,Medium,The only 2050 statement in the text. No numeric 2050 targets.
NT-031,"Livestock development strategy 2021 to 2030, vision 2045",1520/QD-TTg,2020-10-06,Prime Minister,livestock,chăn nuôi Việt Nam là ngành kinh tế kỹ thuật hiện đại,"Vietnamese livestock is a modern economic-technical sector, industrialised in most stages",Qualitative vision,n/a,n/a,2045,2,in force,projection,NTS-07; REG-54,VN-direct,Medium,2030 targets (meat 6.0 to 6.5 Mt; feed output 30 to 32 Mt; design capacity 40 to 45 Mt; 58 to 62 kg meat per person) are in edition 1.0 milestones MS-024 and not repeated here.
NT-032,"Livestock development strategy 2021 to 2030, vision 2045",1520/QD-TTg,2020-10-06,Prime Minister,livestock,thuộc nhóm đầu của các nước khu vực Đông Nam Á,Livestock production level and capacity among the leading group in Southeast Asia,Regional ranking,leading group in Southeast Asia,rank,2045,1,in force,projection,NTS-07,VN-direct,Medium,
NT-033,"Livestock development strategy 2021 to 2030, vision 2045",1520/QD-TTg,2020-10-06,Prime Minister,livestock; processing,"trên 70% khối lượng sản phẩm chăn nuôi chính được qua sơ chế, chế biến công nghiệp, trong đó khoảng 30% được chế biến sâu",Over 70% of main livestock products pass through industrial preliminary processing or processing; about 30% deeply processed,Share of livestock output processed,over 70; about 30,% of volume,2045,2,in force,projection,NTS-07,VN-direct,Medium,Industrial processing capacity is also the manufacturing base for hybrid meat and plant-based products.
NT-034,"Livestock development strategy 2021 to 2030, vision 2045",1520/QD-TTg,2020-10-06,Prime Minister,livestock,"100% sản phẩm thịt gia súc, gia cầm hàng hóa được cung cấp từ các cơ sở giết mổ tập trung, công nghiệp","100% of marketed livestock and poultry meat from concentrated, industrial slaughterhouses",Share of meat from industrial slaughter,100,% of marketed meat,2045,1,in force,projection,NTS-07,VN-direct,Medium,
NT-035,"Livestock development strategy 2021 to 2030, vision 2045",1520/QD-TTg,2020-10-06,Prime Minister,feed; by-products,"bã, men bia, bã dứa, bã sắn, tiết và phụ phẩm lò mổ, vỏ đầu tôm, đầu xương và mỡ cá tra","Use by-products as feed: spent grain, brewer's yeast, pineapple pulp, cassava pulp, blood and slaughter by-products, shrimp heads and shells, pangasius bones and fat",Direction (no metric),n/a,n/a,2030,3,in force,projection,NTS-07; REG-54,VN-direct,Medium,The most concrete official mandate for side-stream feed protein. No quantity target. No 2045 feed or meat volume target is set.
NT-036,"Fisheries development strategy to 2030, vision 2045",339/QD-TTg,2021-03-11,Prime Minister,aquaculture; fisheries,"Tổng sản lượng thủy sản sản xuất trong nước đạt 9,8 triệu tấn",Total domestic fisheries output 9.8 Mt,Total fisheries output,9.8,Mt,2030,3,in force,projection,NTS-08,VN-direct,Medium,Page extraction; figures consistent across two readings.
NT-037,"Fisheries development strategy to 2030, vision 2045",339/QD-TTg,2021-03-11,Prime Minister,aquaculture,"sản lượng nuôi trồng thủy sản 7,0 triệu tấn",Aquaculture output 7.0 Mt,Aquaculture output,7.0,Mt,2030,3,in force,projection,NTS-08,VN-direct,Medium,Main driver of aquafeed and fishmeal demand. At a feed conversion ratio of about 1.3 to 1.5 on fed species this is a large aquafeed requirement; the balance model (QNT) should use it.
NT-038,"Fisheries development strategy to 2030, vision 2045",339/QD-TTg,2021-03-11,Prime Minister,fisheries,"sản lượng khai thác thủy sản 2,8 triệu tấn","Capture output 2.8 Mt, with gradual reduction of fishing effort",Capture fisheries output,2.8,Mt,2030,3,in force,projection,NTS-08,VN-direct,Medium,Also 'Giảm dần cường lực khai thác' (gradually reduce fishing effort). Caps domestic trash fish and fishmeal raw material.
NT-039,"Fisheries development strategy to 2030, vision 2045",339/QD-TTg,2021-03-11,Prime Minister,fisheries; trade,Giá trị kim ngạch xuất khẩu thủy sản đạt 14 - 16 tỷ USD,Seafood exports USD 14 to 16 billion,Export value,14 to 16,USD billion,2030,2,in force,projection,NTS-08,VN-direct,Medium,Growth rate of production value 3.0 to 4.0% a year; over 3.5 million jobs; post-harvest losses below 10%.
NT-040,"Fisheries development strategy to 2030, vision 2045",339/QD-TTg,2021-03-11,Prime Minister,aquafeed,Chủ động sản xuất thức ăn công nghiệp thay thế việc sử dụng cá tạp,Produce industrial feed to replace the use of trash fish,Direction (no metric),n/a,n/a,2030,3,in force,projection,NTS-08,VN-direct,Medium,No fishmeal or alternative-protein target. Replacing trash fish raises demand for formulated protein.
NT-041,"Fisheries development strategy to 2030, vision 2045",339/QD-TTg,2021-03-11,Prime Minister,aquaculture; trade,thuộc nhóm ba nước sản xuất và xuất khẩu thủy sản dẫn đầu thế giới,Among the world's top three seafood producers and exporters; a centre of deep seafood processing,Global ranking,top 3,rank,2045,3,in force,projection,NTS-08,VN-direct,Medium,Vision. No 2045 volume target.
NT-042,"National green growth strategy 2021 to 2030, vision 2050",1658/QD-TTg,2021-10-01,Prime Minister,climate; green growth,Cường độ phát thải khí nhà kính trên GDP giảm ít nhất 15% so với năm 2014,GHG emission intensity of GDP at least 15% below 2014,GHG intensity of GDP vs 2014,at least -15,% vs 2014,2030,1,in force,projection,NTS-09,VN-direct,Medium,The brief named Decision 882/QD-TTg; that is the 2022 National Action Plan on Green Growth implementing this strategy. The strategy itself is Decision 1658/QD-TTg.
NT-043,"National green growth strategy 2021 to 2030, vision 2050",1658/QD-TTg,2021-10-01,Prime Minister,climate; green growth,Cường độ phát thải khí nhà kính trên GDP giảm ít nhất 30% so với năm 2014,GHG emission intensity of GDP at least 30% below 2014,GHG intensity of GDP vs 2014,at least -30,% vs 2014,2050,1,in force (superseded in ambition by the 2050 net-zero pledge),projection,NTS-09,VN-direct,Medium,Intensity target far weaker than net zero 2050 in Decision 896 (CLM-01). Treat 896 as the binding climate reference.
NT-044,"National green growth strategy 2021 to 2030, vision 2050",1658/QD-TTg,2021-10-01,Prime Minister,energy,Tỷ trọng năng lượng tái tạo đạt 15 - 20% tổng cung cấp năng lượng sơ cấp,Renewables 15 to 20% of total primary energy supply (2030); 25 to 30% (2050),Renewable share of primary energy supply,15 to 20; 25 to 30,% of TPES,2030; 2050,1,in force (overtaken by PDP8 revised for power),projection,NTS-09,VN-direct,Medium,"Primary energy, not electricity; not comparable with the PDP8 non-hydro renewable power share (74 to 75% of generation in 2050, FTG-15)."
NT-045,"National green growth strategy 2021 to 2030, vision 2050",1658/QD-TTg,2021-10-01,Prime Minister,water; agriculture,"ít nhất 60% tổng diện tích cây trồng cạn có tưới được áp dụng phương pháp tưới tiên tiến, tiết kiệm nước",At least 30% (2030) and 60% (2050) of irrigated upland crop area uses advanced water-saving irrigation,Share of irrigated upland crop area with water-saving irrigation,at least 30; at least 60,% of area,2030; 2050,2,in force,projection,NTS-09,VN-direct,Medium,"Relevant to maize, soybean and cassava feedstock water use."
NT-046,"National green growth strategy 2021 to 2030, vision 2050",1658/QD-TTg,2021-10-01,Prime Minister,land; forest,Tỷ lệ che phủ rừng ổn định ở mức 42 - 43%,Forest cover stable at 42% (2030) and 42 to 43% (2050),Forest cover,42; 42 to 43,% of land area,2030; 2050,2,in force,projection,NTS-09,VN-direct,Medium,Consistent with Resolution 19. Limits land conversion for feed crops to 2050.
NT-047,National action plan on food systems transformation to 2030,300/QD-TTg,2023-03-28,Prime Minister,food systems; climate,Phát thải khí nhà kính từ hệ thống lương thực thực phẩm giảm 10% so với năm 2020,Food-system GHG emissions 10% below 2020,Food-system GHG vs 2020,-10,% vs 2020,2030,2,in force,projection,NTS-10; REG-55,VN-direct,Medium,Carried in edition 1.0 (ET-17 in CLM); re-read here.
NT-048,National action plan on food systems transformation to 2030,300/QD-TTg,2023-03-28,Prime Minister,food systems; processing,Tỷ lệ giá trị nông sản chế biến trong tổng giá trị sản xuất ở mức trên 50%,Processed farm products over 50% of total agricultural production value,Processed share of farm output value,over 50,% of production value,2030,2,in force,projection,NTS-10,VN-direct,Medium,
NT-049,National action plan on food systems transformation to 2030,300/QD-TTg,2023-03-28,Prime Minister,food loss,"Tổn thất sau thu hoạch các nông lâm thủy sản chủ lực giảm 0,5% đến 1,0%/năm","Post-harvest losses of main farm, forest and fishery products fall 0.5 to 1.0% a year",Post-harvest loss reduction,0.5 to 1.0,% per year,2030,2,in force,projection,NTS-10; REG-55,VN-direct,Medium,Loss reduction frees side streams but no target converts them to protein.
NT-050,National action plan on food systems transformation to 2030,300/QD-TTg,2023-03-28,Prime Minister,nutrition,Tỷ lệ suy dinh dưỡng thấp còi ở trẻ em dưới 5 tuổi ở mức dưới 15%,"Stunting under 5 below 15%; wasting below 3%; overweight under 5 below 10%, age 5 to 18 below 19%, adults 19 to 64 below 20%",Nutrition outcomes,below 15; below 3; below 10; below 19; below 20,% of age group,2030,1,in force,projection,NTS-10,VN-direct,Medium,Demand-side macro context only. No protein-intake target in this plan; no mention of plant-based or new foods.
NT-051,National action plan on food systems transformation to 2030,300/QD-TTg,2023-03-28,Prime Minister,food security; trade,Duy trì kim ngạch xuất khẩu lương thực thực phẩm trên 30 tỷ đô la Mỹ/năm,Keep agrifood exports above USD 30 billion a year; households with moderate or severe food insecurity below 5%,Agrifood export value; food insecurity,over 30; below 5,USD billion per year; % of households,2030,1,in force,projection,NTS-10,VN-direct,Medium,Organic land at least 2.5%; organic fertiliser over 30% of supply; over 30% of value under good practices.
NT-052,National action plan on circular economy to 2035,222/QD-TTg,2025-01-23,Prime Minister,circular economy; by-products,"Vật liệu, sản phẩm, phụ phẩm, chất thải và dịch vụ có tiềm năng","Agriculture (crops, livestock, forestry, fisheries) listed as a priority sector for circular models: by-products, livestock by-products and manure, aquaculture by-products and waste",Direction (no agricultural metric),n/a,n/a,2035,3,"in force (implements Decision 687/QD-TTg 2022, which stays in force)",projection,NTS-11,VN-direct,Medium,"No numeric target for side-stream reuse in agriculture. Cross-cutting 2030 targets: GHG intensity at least 15% below 2014; biomass power 2,270 MW; urban solid waste 95% collected and treated. A '47% renewables in primary energy' figure returned by extraction conflicts with Decision 1658 (15 to 20%); not used."
NT-053,"Mekong Delta regional plan 2021 to 2030, vision 2050",287/QD-TTg,2022-02-28,Prime Minister,Mekong; agriculture structure,"Phát triển các sản phẩm chiến lược theo ba trọng tâm: Thủy sản, trái cây và lúa gạo","Strategic products in the order: aquatic products, fruit, rice (shift away from rice towards aquaculture and fruit)",Direction (no metric),n/a,n/a,2030,3,in force (regional plan; not yet re-issued for the merged provinces as far as we found),projection,NTS-12; CLM-21,VN-direct,Medium,"Agriculture, forestry and fisheries about 20% of regional GRDP in 2030; GRDP growth about 6.5% a year; adaptation by three ecological sub-zones (fresh, brackish, saline). Aquaculture growth implies more aquafeed demand in the delta."
NT-054,"Mekong Delta regional plan 2021 to 2030, vision 2050",287/QD-TTg,2022-02-28,Prime Minister,Mekong; forest,"tăng tỷ lệ che phủ rừng đến năm 2030 đạt 7,5%",Regional forest cover 7.5%,Regional forest cover,7.5,% of regional land,2030,1,in force,projection,NTS-12,VN-direct,Low,Single extraction; not cross-checked.
NT-055,"National master plan 2021 to 2030, vision 2050 (as amended)",81/2023/QH15 amended by 252/2025/QH15,2023-01-09; 2025-12-10,National Assembly,macro,GDP bình quân đầu người theo giá hiện hành đạt khoảng 8.500 USD,"GDP growth 10% a year or more in 2026 to 2030; GDP per capita about USD 8,500 (current prices) in 2030",GDP growth; GDP per capita,"10 or more; about 8,500",% per year; USD current,2030,1,"amended (252/2025 raised targets from 7.0% growth and USD 7,500)",projection,NTS-13; NTS-14,VN-direct,Medium,"Macro input for demand. Original 2023 text: about 7.0% a year 2021 to 2030 and about USD 7,500."
NT-056,"National master plan 2021 to 2030, vision 2050 (as amended)",81/2023/QH15 amended by 252/2025/QH15,2023-01-09; 2025-12-10,National Assembly,macro; climate,"đến năm 2050, GDP bình quân đầu người theo giá hiện hành đạt khoảng 38.000 USD","Developed, high-income country by 2045; GDP per capita about USD 38,000 (current prices) in 2050; net zero by 2050",GDP per capita,"about 38,000",USD current prices,2050,2,"amended (252/2025 raised the 2050 figure from USD 27,000 to 32,000)",projection,NTS-13; NTS-14,VN-direct,Medium,"Income path is the main official macro driver of protein demand; the balance model should use it as the high-income case, not a forecast."
NT-057,"National master plan 2021 to 2030, vision 2050 (as amended)",252/2025/QH15,2025-12-10,National Assembly,regions,Tổ chức không gian phát triển đất nước thành 06 vùng kinh tế - xã hội,Six socio-economic regions after the 2025 provincial merger (Mekong Delta as sustainable agricultural economic centre),Spatial structure,6,regions,2030,1,in force,projection,NTS-13; NTS-14,VN-direct,Medium,Res 81 original: Mekong Delta to become a centre of sustainable agricultural economy.
NT-058,"National master plan 2021 to 2030, vision 2050",81/2023/QH15,2023-01-09,National Assembly,labour; urbanisation,Tỷ lệ lao động nông nghiệp trong tổng lao động xã hội giảm xuống dưới 20%,Farm labour below 20% of employment; urbanisation above 50%,Agricultural labour share; urbanisation rate,below 20; above 50,% of employment; % of population,2030,1,in force,projection,NTS-13,VN-direct,Medium,Urbanisation drives processed and away-from-home food demand.
NT-059,"National land use plan 2021 to 2030, vision 2050 (adjusted)",1177/QD-TTg (adjusts Resolution 39/2021/QH15),2026-06-30,Prime Minister,land; rice,Chuyển đổi linh hoạt diện tích đất trồng lúa kém hiệu quả nhưng phải quản lý chặt chẽ,"Rice land 3,252.63 thousand ha in 2030 (down from 3,568.48 in Resolution 39/2021 and 3,907.07 actual in 2024)",Rice land area,"3,252.63",thousand ha,2030,3,in force (adjustment),projection,NTS-15,VN-direct,Medium,"Read twice by page extraction. The 2030 rice land allocation falls by 315.85 thousand ha against the 2021 plan and about 654 thousand ha against 2024 (our calculation). Converted land could host maize, soybean, fodder or aquaculture. No 2050 rice land figure."
NT-060,"National land use plan 2021 to 2030, vision 2050 (adjusted)",1177/QD-TTg,2026-06-30,Prime Minister,land,Nhóm đất nông nghiệp,"Agricultural land group 26,611.42 thousand ha in 2030 (27,732.04 in Resolution 39/2021; 28,147.28 actual 2024)",Agricultural land area (incl. forest land),"26,611.42",thousand ha,2030,2,in force (adjustment),projection,NTS-15,VN-direct,Medium,About 1.54 Mha less agricultural land in 2030 than in 2024 (our calculation); includes forest land. No separate aquaculture land row found in the extracted table.
