name,funder,type,eligibility_for_VN_applicants,amount_range,deadline_or_status_2026,focus,url,source_ids,evidence_label,confidence,notes
HCM VIF,Ho Chi Minh City People's Committee + private founders,equity,Yes (HCMC focus),Fund VND 500bn (~USD 19.7M); ticket not disclosed,First 1 to 2 disbursements planned Q4 2026,"AI, semiconductors, biotechnology, renewable energy, new materials, automation",,CAP-32;CAP-33,VN-direct,Medium,Local funds under Decree 264 may invest domestically only.
Hanoi Venture Capital Fund (HVCF),Hanoi People's Committee + private investors,equity,Yes (Hanoi incubator/innovation-centre startups prioritised),"Max 5% of fund per investment (~VND 11.5bn, ~USD 0.45M)",Established 22 Apr 2026; investing status not confirmed,12 groups incl. biotechnology and high-tech agriculture,,CAP-34;CAP-35,VN-direct,Medium,
High-tech and innovation credit programme 2025 to 2030,State Bank of Vietnam-directed; 21 commercial banks,loan (preferential rate),Yes (VN projects),VND 500 trillion total; VND 100 trillion in 2025 to 2026,Active,"Strategic infrastructure, high technology, innovation",,CAP-40,VN-direct,Medium,No agriculture-specific window found; rates not specified.
Agri-rural credit policy (Decree 156/2025 amending Decree 55/2015),Government / SBV via commercial banks,loan (unsecured lending limits),Yes,"Unsecured limits raised, e.g. cooperatives up to VND 5bn; high-tech agriculture treatment extended to organic and circular agriculture",In force from 1 Jul 2025,"Agriculture, value-chain linkages, high-tech, organic and circular agriculture",,CAP-39,VN-direct,Medium,"Possible route for side-stream protein plants framed as circular agriculture (interpretation, not tested)."
Investment Support Fund (Decree 182/2024/ND-CP),Government of Vietnam,cash support for large high-tech investors,"Yes, but high capital/revenue thresholds",see regulation workstream,In force,"High-tech manufacturing, R&D centres",,none (link only; not verified by CAPITAL),VN-direct,Low,Included as a link only per brief. Prior drafts overstated thresholds; see regulation workstream.
ACIAR Vietnam programme,Australian Centre for International Agricultural Research,commissioned research (not open grants); fellowships,Via partnership with Australian research institutions,AUD 5.4M total VN investment FY2025-26 across 23 projects,Active; no open call,"Aquaculture, livestock, cassava, rice, value chains, food loss, low-emission and circular systems",https://www.aciar.gov.au/country/vietnam,CAP-67,VN-direct,High,John Allwright Fellowship for VN scientists.
Bezos Earth Fund: Future of Food / AI for Climate and Nature Grand Challenge,Bezos Earth Fund,grant,Not stated,USD 1B commitment by 2030; 23 grants totalling USD 194.8M listed,No open call identified,"Alt proteins (AI for fungal, cultivated, plant protein), livestock methane",https://www.bezosearthfund.org/our-programs/future-of-food,CAP-61,general,Medium,Bezos Centre for Sustainable Protein details (incl. any Singapore centre) not verified this wave.
IFC upstream / project development support,IFC,equity / advisory,Yes,Entobel precedent: USD 2.5M,Case by case,Early-stage projects that prove new business models,https://www.ifc.org,CAP-04;CAP-05,VN-direct,Medium,
Tiny Beam Fund,Tiny Beam Fund,grant,Not stated,not stated,No 2026 call identified,Research on industrial animal farming in low- and middle-income countries,https://tinybeamfund.org,CAP-60,general,Low,Page content appears dated.
Global Methane Hub agriculture programme,Global Methane Hub,grant,Not stated,not stated,No programme details found on homepage,Agricultural methane,https://www.globalmethanehub.org,CAP-73,general,Low,Needs a direct enquiry.
