name,type,hq,vietnam_presence,relevant_thesis,example_relevant_deals,typical_ticket,url,source_ids,evidence_label,confidence,notes
Cub Capital,VC,not found,Invests in VN,Not stated,Cricket One Series A (2023),not found,,CAP-13,VN-direct,Low,
Vinh Hoan Corporation,CVC / strategic (listed pangasius exporter),"Dong Thap, Vietnam",Yes,Diversify into future seafood (cultivated); buyer of insect meal for pangasius feed,"Shiok Meats (2021); Avant Meats (2021); Entobel supply agreement (2024, commercial not equity)",not disclosed,https://www.vinhhoan.com,CAP-16;CAP-17,VN-direct,Low,The most active Vietnamese strategic in alt protein found. Location per company HQ; province merger mapping not checked.
CJ CheilJedang,strategic / CVC,"Seoul, South Korea","Yes (food, feed and bio operations in VN)",Global food and biotech; co-investor in cultivated seafood,"Shiok Meats (2021, co-investor); Cau Tre acquisition (2016, unverified)",not disclosed,https://www.cj.co.kr,CAP-17,VN-adjacent,Low,Likely acquirer of VN plant-based/processed food assets; Cau Tre deal unverified this wave.
IFC (World Bank Group),DFI,"Washington DC, USA (Hanoi office)",Yes,"Agribusiness value chains, climate finance, blue finance; 'upstream' early project support",Entobel USD 2.5M (2023); TTC AgriS USD 40M facility (2023); SeABank blue bond USD 25M (2024); Mavin USD 90.6M proposed (2021),USD 2.5M (upstream) to USD 90M (corporate); USD 1.6B+ total VN commitments FY2024,https://www.ifc.org,CAP-03;CAP-04;CAP-06;CAP-41;CAP-42;CAP-43;CAP-44,VN-direct,High,Only DFI with a direct VN alt-protein ticket found. IFC staff quoted on private-sector caution about insect meal cost vs fishmeal/soy (CAP-06).
ADB Ventures,DFI (venture arm),"Manila, Philippines","VN eligible; VN portfolio is non-food (PATH+, Selex Motors, Poko)",Climate and gender lens early-stage VC; 'Sustainable Agriculture and Food' is a focus area; portfolio includes insect protein (INSEACT) and microbial oils (Terra Oleo) elsewhere in Asia,No VN agrifood deal found,"USD 0.1M to 4M, equity and quasi-equity (Fund 1, USD 60M, final close Sep 2020); SEED Capital+ for very early stage",https://ventures.adb.org,CAP-45;CAP-46,VN-adjacent,High,Direct precedent for DFI VC into alt-protein feed and microbial fats in the region.
Proparco,DFI,"Paris, France","Yes (10 VN projects listed, mostly finance, energy, garments)",Invests in VN mainly via banks and funds,"LP in Mekong Enterprise Fund IV, USD 15M (2020); LP in SEACEF II, USD 10M (2024)",USD 10M to 15M as fund LP,https://www.proparco.fr/en/vietnam,CAP-47;CAP-48;CAP-49,VN-direct,High,No direct VN agrifood investment found on its VN page.
Clime Capital (SEACEF II),VC/PE climate fund,Singapore,"Yes (VN, Indonesia, Philippines)","Energy transition, efficiency, e-mobility; blended finance",SEACEF II USD 175M,not found,https://www.climecapital.com,CAP-48,VN-adjacent,Medium,Agriculture/alt protein outside stated scope. Website unreachable at access.
Big Idea Ventures,accelerator / VC,New York; Paris; Singapore,Stated in 2021 that Vietnam was a target market; no VN portfolio company found,"Proteins, fats, ingredients; university IP","SEA portfolio: Pullulo, Fisheroo, WTH Foods, Meatless Kingdom, Another Food",USD 200K accelerator (125K cash + 75K in-kind); follow-on up to USD 2.5M to 3.5M,https://bigideaventures.com,CAP-17;CAP-62,VN-adjacent,Low,Website content may be stale; 2026 programme status unclear.
Better Bite Ventures,VC,Singapore,No VN deal found,Pre-seed/seed alt protein and food climate tech in APAC,"~10 APAC startups in 2023; portfolio incl. Green Rebel (ID), TiNDLE (SG), Meatiply (SG), AgriG8","USD 100K to 200K+, SAFEs",https://www.betterbite.vc,CAP-52;CAP-63,VN-adjacent,Medium,Most accessible regional seed investor for a VN founder.
Synthesis Capital,VC,"London, UK",No VN deal found,"Series A/B fermentation, cultivated, plant-based, food platforms","Perfect Day, Upside Foods, Hyfe, New Culture",not disclosed; AUM USD 300M+,https://www.synthesis.capital,CAP-64,general,Medium,Relevant only at Series A/B scale.
Lever VC,VC,"New York, USA",No Asia focus visible,Future of food and agriculture,"NuCicer, Boston Bioprocess",not disclosed,https://www.levervc.com,CAP-65,general,Low,
Brinc,accelerator / VC,Hong Kong,Vietnam office listed as 'coming soon',Multi-sector incl. cellular agriculture,not found,not disclosed,https://www.brinc.io,CAP-66,VN-adjacent,Low,
Jungle Ventures,VC,Singapore,Invests in VN (generalist),"Published 2022 thesis on SEA plant-based protein (localisation, price parity)",No alt-protein deal found,not found,https://www.jungle.vc,CAP-68,VN-adjacent,Low,Thesis document only.
National Venture Capital Fund (Quy dau tu mao hiem quoc gia),gov fund,Hanoi (MOST as state capital representative),"Being established (proposal stage, June 2026)","High, digital, strategic technology; green and circular economy",none yet,"not set; min VND 500bn initial state capital; VND 2,000bn target in 5 years; fund-of-funds preferred",https://thuvienphapluat.vn/van-ban/Dau-tu/Nghi-dinh-264-2025-ND-CP-Quy-dau-tu-mao-hiem-quoc-gia-quy-dau-tu-mao-hiem-dia-phuong-677210.aspx,CAP-29;CAP-30;CAP-31,VN-direct,High,Decree 264/2025/ND-CP: 50% portfolio loss threshold per investment cycle; 10 to 15 year cycles; manager liability exemption for objective risk.
HCM VIF (Ho Chi Minh City Venture Investment Fund JSC),gov fund (public-private),Ho Chi Minh City,Yes,"AI, semiconductors, biotechnology, renewable energy, new materials, automation",none yet; ~50 proposals received; 1 to 2 disbursements planned Q4 2026,"not disclosed; fund VND 500bn (VND 200bn state, VND 300bn private), target VND 5 trillion by 2035",,CAP-32;CAP-33,VN-direct,Medium,"Founding private investors: Sovico, Vingroup, VinaCapital, Becamex IDC, VNG, CT Group, Hoa Sen, Lotte Ventures Vietnam, FPT."
Hanoi Venture Capital Fund (HVCF),gov fund (public-private),Hanoi,Yes,12 priority tech groups incl. biotechnology and high-tech agriculture,none yet,cap of 5% of fund per investment = ~VND 11.5bn (~USD 0.45M) on VND 230bn charter capital,,CAP-34;CAP-35,VN-direct,Medium,"Established 22 April 2026 (Decisions 2145, 2146, 2147/QD-UBND); state share 47.8%, capped at 49%; 10-year life."
NATIF (National Technology Innovation Fund),gov fund,Hanoi (under MOST),Yes,"Grants, interest subsidies and support for technology innovation and startups",2026 Round 1 interest subsidy (VND 50bn budget),"interest subsidy up to 50% of loan interest, max 6%/yr, up to 5 years",https://natif.vn,CAP-37;CAP-38,VN-direct,Medium,Reorganised under Decree 77/2026/ND-CP (17 Mar 2026).
ProVeg Incubator,accelerator,"Berlin, Germany",No VN company found,"Plant-based, fermentation, cultivated startups globally",not found for Asia,up to USD 300K incl. USD 75K in-kind,https://provegincubator.com,CAP-59,general,Medium,Geographic eligibility not stated; cohort dates not stated.
New Energy Nexus Vietnam,accelerator / ecosystem builder,Ho Chi Minh City,Yes,Climate tech startups,Co-author of CT-FE 2025 climate-tech investment report,not applicable,,CAP-25,VN-direct,Low,Programme details not fetched.
Temasek,sovereign investor,Singapore,Invests in VN (not in food per major-investments page),Historically active in alt protein globally (not verified this wave),none VN-specific found,not applicable,https://www.temasek.com.sg,CAP-74,VN-adjacent,Low,Major-investments list (31 Mar 2026) shows no agrifood names; alt-protein holdings not verified this wave.
