name,type,owner,owner_country,location_province_current,location_province_former,capacity,capacity_unit,year,relevant_capability,open_to_third_parties,source_ids,evidence_label,confidence,notes
AB Mauri Vietnam La Nga yeast plant,fermentation,AB Mauri Vietnam (Associated British Foods); founded as JV with Sugar Corporation II,United Kingdom,Dong Nai,"Dong Nai (Dinh Quan district, La Nga commune)",6000,t/yr yeast (basis fresh or dry not stated),2019,Aerobic fed-batch baker's yeast on molasses: the closest existing analogue to yeast/fungal single-cell protein,unknown,IND-15; IND-16,VN-direct,Medium,"Raised from 5,000 to 6,000 t/yr; operations suspended June 2019 after a pollution incident and fined VND 85 m. JV set up 1995; operating since 1998. Exports to Malaysia, Thailand, Myanmar, India."
Saf-Viet (Lesaffre) yeast plant,fermentation,Saf-Viet Venture Joint Company (Lesaffre Group with Cat Tuong),France,Tay Ninh,"Long An (Long Dinh Industrial Complex, Can Duoc)",not published,,1999,Baker's yeast and baking ingredients; Baking Center,unknown,IND-17,VN-direct,Medium,Capacity not found. Lesaffre's Phileo animal-nutrition yeast products are sold in VN; local production of those not confirmed.
ANABIO R&D probiotic plant,fermentation,ANABIO Research & Development JSC,Vietnam,not stated,not stated,not published,,2011,"GMP Bacillus spore probiotics (B. subtilis, B. indicus, B. clausii, B. coagulans); tech transfer from VNU University of Science enzyme and protein key lab",unknown,IND-38,VN-direct,Low,Example of spore-probiotic fermentation; 2011 press. Aquaculture/livestock probiotic makers not mapped this wave.
Dung Quat bio-ethanol plant,fermentation,"BSR-BF (Binh Son Refining and Petrochemical, Petrovietnam group)",Vietnam,Quang Ngai,Quang Ngai (Dung Quat EZ),100000,m3/yr fuel ethanol (design),2025-2026,"Large anaerobic cassava-chip fermentation, distillation, dehydration; restart for E10",N,IND-19; IND-20; IND-18,VN-direct,Medium,"Restart targeted Nov 2025; CafeF (Jul 2026) says restarting Jan 2026; investment VND 2,219 bn; wastewater treatment incomplete. One source placed it in Binh Dinh: likely error."
Tung Lam ethanol plant,fermentation,"Tung Lam Co., Ltd.",Vietnam,Dong Nai,Dong Nai,72,million L/yr (design),2024-2026,"Anaerobic fermentation of cassava chips, corn, rice bran",unknown,IND-21; IND-18; IND-20,VN-direct,Medium,"Running intermittently in 2024; operating 2026 at ~250 m3/day (7,000 m3/month), can reach 130% of design per Mar 2026 press."
Dai Tan ethanol plant,fermentation,Quang Nam Ethanol Production JSC,Vietnam,Da Nang,Quang Nam,125,million L/yr (design),2024-2026,Anaerobic fermentation on imported corn flour (400-450 t/day in 2024),unknown,IND-21; IND-20,VN-direct,Medium,Operating 2026 with ageing equipment (CafeF).
Binh Phuoc bio-ethanol plant,fermentation,not verified in this wave,not verified,Dong Nai,Binh Phuoc,100,million L/yr (design),2026,Idle anaerobic fermentation plant (about USD 84 m invested); large stranded fermentation asset,unknown,IND-20; IND-18,VN-direct,Medium,Idle more than 10 years; described as a litigation asset (Jul 2026). Owner not confirmed here.
Dak To ethanol plant,fermentation,Quang Ngai Agricultural Products and Foods JSC,Vietnam,Quang Ngai,Kon Tum,7000-10000,t/yr ethanol,2024,"Cassava fermentation, switched to food-grade ethanol",unknown,IND-21,VN-direct,Medium,Operating normally in 2024.
Dai Viet ethanol plant,fermentation,"Dai Viet Co., Ltd. (assets sold to Duc Giang Chemicals, Apr 2024)",Vietnam,Lam Dong,Dak Nong,not published,,2024,"Cassava ethanol plant, ceased operation",unknown,IND-21,VN-direct,Medium,Future use under Duc Giang not known.
QNS An Khe ethanol project,fermentation,Quang Ngai Sugar JSC (QNS),Vietnam,Gia Lai,Gia Lai (An Khe),25000,"t/yr ethanol (planned); ~1,000 t molasses/day",2026,"Molasses fermentation; 30% food-grade, 70% fuel ethanol",unknown,IND-22; IND-20,VN-direct,Low,"Investment over VND 1,740 bn; in partner selection (Jul 2026). CafeF expected An Khe online Sept 2026: status not confirmed."
Fuel ethanol sector (national aggregate),fermentation,various,Vietnam,multiple,,450000-490000,m3/yr design (6-7 plants),2025-2026,"Anaerobic, non-aseptic fermentation; 3 plants operating mid-2026 at ~22,000-25,000 m3/month vs E10 demand 92,000-100,000 m3/month",N,IND-18; IND-19; IND-20,VN-direct,Medium,"Prior lead of ~600,000 m3/yr not supported by 2025-2026 sources. July 2026: 22,200 m3 domestic vs 81,500 m3 imported."
Sabeco breweries (26 plants),brewery,Saigon Beer-Alcohol-Beverage Corp. (Sabeco),"Vietnam (listed; foreign-controlled, verify)","multiple (4 North/North-Central, 9 Central/Highlands, 13 South)",,2.4,billion L/yr design,2024,Large anaerobic fermentation and maturation tank farms; brewer's spent grain and yeast side streams,unknown,IND-23; IND-24,VN-direct,Medium,Utilisation about 60% (FPTS 2024). Plan to control Saigon Binh Tay brewery group would take capacity to 3.01 bn L/yr.
Heineken Vietnam Vung Tau brewery,brewery,Heineken Vietnam Brewery,Netherlands,Ho Chi Minh City,Ba Ria-Vung Tau,1.1 (approved 1.6),billion L/yr,2024,"Largest brewery in SE Asia per press; spent grain supplier to Entobel (prior lead, unverified here)",unknown,IND-25; IND-26,VN-direct,Medium,"Expansion approved July 2024 from 1,100 to 1,600 million L/yr; total project USD ~540 m."
Heineken Vietnam HCMC brewery,brewery,Heineken Vietnam Brewery,Netherlands,Ho Chi Minh City,Ho Chi Minh City,not published,,1991,Brewing,unknown,IND-25; IND-26,VN-direct,Medium,12.7 ha.
Heineken Vietnam Hanoi brewery,brewery,Heineken Vietnam Brewery,Netherlands,Hanoi,Hanoi,not published,,1996,Brewing,unknown,IND-25; IND-26,VN-direct,Medium,33 ha.
Heineken Vietnam Da Nang brewery,brewery,Heineken Vietnam Brewery,Netherlands,Da Nang,Da Nang,not published,,2007,Brewing,unknown,IND-25,VN-direct,Medium,
Heineken Vietnam Tien Giang brewery,brewery,Heineken Vietnam Brewery,Netherlands,Dong Thap,Tien Giang,not published,,2007,Brewing,unknown,IND-25,VN-direct,Medium,Smallest operating site (6.6 ha).
Heineken Vietnam Quang Nam brewery (suspended),brewery,Heineken Vietnam Brewery,Netherlands,Da Nang,Quang Nam,about one-tenth of Vung Tau (press),,2024,Idle brewery: possible site for reuse,unknown,IND-25,VN-direct,Low,Suspended June 2024; province sought restart in 2025. Current status not verified.
Carlsberg Vietnam Phu Bai brewery,brewery,Carlsberg Vietnam,Denmark,Hue,Thua Thien Hue (Phu Bai IZ),600,million L/yr,2025,Brewing; Carlsberg's largest brewery in Asia after expansion,unknown,IND-27; IND-28,VN-direct,Medium,"Up from 360 m L/yr; inaugurated 26 Aug 2025; investment reported as VND 3,406 bn (~USD 169 m) in Feb 2025 and ~USD 90 m in Aug 2025 (different scopes or error)."
Habeco breweries (Me Linh and network),brewery,Hanoi Beer-Alcohol-Beverage Corp. (Habeco),Vietnam,Hanoi (Me Linh) and northern/central provinces,,"~400 (group, 2010); Me Linh 200",million L/yr,2010,Brewing; 24 member companies incl. alcohol and packaging units,unknown,IND-29,VN-direct,Low,Capacity figure is from company history (2010); current capacity not published on page.
Masan Brewery Hau Giang,brewery,Masan Group,Vietnam,Can Tho,Hau Giang,100 (expandable to 150),million L/yr,2015,Brewing,unknown,IND-30,VN-direct,Low,2015 data; current status and ownership not verified.
Masan Consumer sauce and noodle plants,other,Masan Consumer (Masan Group),Vietnam,"multiple (HCMC, Dong Nai, Hai Phong, Nghe An, Lam Dong, An Giang, Quang Ninh)","Binh Duong, Tan Binh, Phu Quoc (Kien Giang), Hai Duong, Bien Hoa, Long Thanh, Binh Thuan, Nghe An, Quang Ninh",120 m L fish sauce; 600 m packs noodles,per yr,2015,"Soy sauce (Chin-su, Tam Thai Tu), fish sauce fermentation, instant noodles; large food-grade packing",unknown,IND-30,VN-direct,Low,2015 figures from 2016 press; certainly changed. Plant list mapped to current provinces by this agent.
Acecook Vietnam,other,Acecook Vietnam JSC,Japan,multiple (not mapped),,not published,,2025,"Instant noodles incl. several vegan (thuan chay) SKUs; frying, drying, seasoning",unknown,IND-56,VN-direct,Low,Plant count and capacity not found this wave.
"Vinasoy soy milk plants (Quang Ngai, Bac Ninh, Binh Duong)",soy,"Vinasoy (Quang Ngai Sugar JSC, QNS)",Vietnam,Quang Ngai; Bac Ninh; Ho Chi Minh City,Quang Ngai; Bac Ninh; Binh Duong,390,million L/yr soy milk (3 plants),2022,"Soybean receiving, dehulling, grinding, UHT and aseptic packing; soy okara side stream",unknown,IND-49; IND-50; IND-48,VN-direct,Medium,"Binh Duong plant: 180 m L/yr design, phase 1 90 m L (2017). Soy milk revenue > VND 4,100 bn (2024). Market share claims 80% to >90% depending on segment."
ToFu House,soy,ToFu House (Tran Viet Bach),Vietnam,Hung Yen,Hung Yen (Van Giang),150-500,t/month tofu products,2021,"Industrial tofu, silken tofu, tofu skin; non-GMO soy; ISO 22000; exports",unknown,IND-51,VN-direct,Low,Company-reported via state news agency feature.
Vinamilk dairy plants,dairy,Vietnam Dairy Products JSC (Vinamilk),Vietnam,"multiple (9+ plants incl. HCMC, Dong Nai, Gia Lai, Da Nang, Nghe An, Can Tho, Bac Ninh, Thanh Hoa)",,400 (Mega factory phase 1),million L/yr,2013,"UHT, powder (spray drying), yoghurt; plant-based milk, yoghurt and creamer lines on shelf (2026)",unknown,IND-52; IND-53,VN-direct,Low,Plant list from Wikipedia; capacity 2013. 17 Vinamilk plant-based SKUs logged in Sept 2026 field audit.
Vissan,meat,Vissan JSC,Vietnam,Ho Chi Minh City,Ho Chi Minh City,not published,,2026,"Meat processing; chay (vegetarian) spring rolls, canned chay beef-and-tofu",unknown,IND-55; IND-53,VN-direct,Medium,Chay lines observed in field audit; website lists only meat. Candidate co-packer.
CJ Cau Tre (CJ Foods Vietnam),meat,CJ Foods Vietnam (CJ CheilJedang),South Korea,Ho Chi Minh City; Tay Ninh (Kizuna plant per label lead),Ho Chi Minh City; Long An,not published,,2026,Frozen foods incl. chay spring rolls and bibigo lines,unknown,IND-53,VN-direct,Low,Plant locations not verified this wave (CJ story page gave no plant data).
Cholimex Foods,meat,Cholimex Food JSC,Vietnam,Ho Chi Minh City,Ho Chi Minh City,not published,,2026,Frozen dim sum incl. chay; sauces,unknown,IND-53,VN-direct,Low,Chay SKU observed in field audit.
SG Food (Sai Gon Food),plant-based,Sai Gon Food JSC,Vietnam,Ho Chi Minh City,Ho Chi Minh City,not published,,2026,Frozen ready meals incl. chay; supplies 7-Eleven fresh food,unknown,IND-53,VN-direct,Low,"About 2,000 staff (field log OSINT)."
An Nhien (do chay brand),plant-based,An Nhien,Vietnam,not verified,,not published,,2026,"Soy-based chay meats (e.g., vegan soy chops)",unknown,IND-53,VN-direct,Low,12 SKUs logged in HCMC field audit.
Anlac / Au Lac Vegan Food,plant-based,Au Lac,Vietnam,not verified,,not published,,2026,Chay sausages and meat analogues,unknown,IND-53,VN-direct,Low,
Thoai An,plant-based,Thoai An,Vietnam,not verified,,not published,,2026,Vegetarian seafood analogues,unknown,IND-53,VN-direct,Low,Little public footprint.
Top.V (Agrex Saigon),plant-based,Agrex Saigon,Vietnam,not verified,,not published,,2026,Chay wontons and analogues,unknown,IND-53,VN-direct,Low,
Song Huong Foods,plant-based,Song Huong Foods,Vietnam,Ho Chi Minh City,Ho Chi Minh City (Binh Chanh),not published,,2026,"Hue-style foods, chay line; ISO, HACCP, FDA registration claimed",unknown,IND-54; IND-53,VN-direct,Low,
GN Foods (Coop Select chay maker),plant-based,GN Foods,Vietnam,Tay Ninh,Tay Ninh,not published,,2026,Private-label chay for Saigon Co.op: an existing OEM model,Y (private label for retailer),IND-53,VN-direct,Low,Manufacturer attribution from prior field lead; not re-verified.
Industrial feed mills (national aggregate),feed mill,"various (90 FDI, 179 domestic)",mixed,national,,43.2,million t/yr design capacity (269 mills),2023,"Pelleting, grinding, mixing; output 20.8 Mt in 2022 (about 48% utilisation)",unknown,IND-39; IND-40,VN-direct,Medium,"FDI mills: 33.5% of count, 51.3% of capacity, 62.5% of output (2022)."
Aquafeed mills (national aggregate),aquafeed,various,mixed,"national (mainly Mekong Delta, Dong Nai, Tay Ninh)",,up to 5.5,million t/yr installed,2025,Extrusion (floating fish feed) and shrimp pellet lines; 60-70% utilisation,unknown,IND-41,VN-direct,Medium,2025 output: shrimp feed up to 920 kt; fish feed 3.0-3.9 Mt (pangasius 2.0-2.5 Mt).
C.P. Vietnam Ca Mau aquafeed plant,aquafeed,C.P. Vietnam (Charoen Pokphand Foods),Thailand,Ca Mau,Ca Mau (Khanh An IZ),124800,t/yr shrimp feed,2026,"Shrimp feed; C.P.'s 4th VN aquafeed plant; C.P. aquafeed total > 650,000 t/yr",unknown,IND-42,VN-direct,Medium,"Inaugurated 7 Aug 2026; investment VND 1,725 bn."
C.P. Vietnam (all feed plants),feed mill,C.P. Vietnam,Thailand,multiple,,21 plants (2026) / 9 plants (2023),plants,2026,"Integrated feed-farm-food; revenue ~VND 85,000 bn (2025)",unknown,IND-43; IND-47,VN-direct,Low,Plant counts conflict; 21 may include food/processing plants.
De Heus Vinh Long 4 marine and coldwater fish feed plant,aquafeed,De Heus Vietnam (Royal De Heus),Netherlands,Vinh Long,Vinh Long,84000,t/yr,2026,First De Heus VN plant for high-protein (40-50%) marine and coldwater fish feed,unknown,IND-45,VN-direct,Medium,Commissioned July 2026. Premium protein demand node.
De Heus Can Tho aquafeed plant,aquafeed,De Heus Vietnam,Netherlands,Can Tho,Can Tho,240000,t/yr catfish feed,2023,Fish feed extrusion,unknown,IND-47,VN-direct,Medium,USD 20.5 m.
De Heus Vietnam (group),feed mill,De Heus Vietnam,Netherlands,"multiple incl. Vinh Long, Ca Mau (Bac Lieu), Can Tho",,23 facilities (2023); ~4 Mt/yr all feeds (claim),,2023-2026,Livestock and aquafeed; R&D centre Vinh Long (6 ha); acquired Masan MNS Feed (2021); reportedly acquired CJ Feed and Care plants (early 2026),unknown,IND-43; IND-46; IND-47,VN-direct,Low,"CJ acquisition reported by trade press only; verify. Revenue ~VND 39,000 bn (2025)."
Haid Group / Thang Long (Sheng Long) Vinh Long complex,aquafeed,Guangdong Haid Group,China,Vinh Long,Vinh Long (Hoa Phu IZ),650000,"t/yr (2023; 15 shrimp lines, 7 fish-feed extruders)",2023,Shrimp and fish feed; largest shrimp feed maker (Sheng Long),unknown,IND-46; IND-43; IND-41,VN-direct,Medium,Group VN capacity > 1.3 Mt/yr and Thang Long output 830 kt (2025) per trade press.
Haid Hai Duong feed plant,aquafeed,Guangdong Haid Group,China,Hai Phong,Hai Duong,700000,t/yr (claimed),2026,Fish and livestock feed in the North,unknown,IND-43; IND-46,VN-direct,Low,Planned in 2023; capacity from 2026 trade press.
Sunjin Vina Hau Giang feed plant,feed mill,Sunjin Vina,South Korea,Can Tho,Hau Giang (Tan Phu Thanh IZ),126000,t/yr,2023,Feed mill (registered 2023),unknown,IND-46,VN-direct,Low,USD 23.6 m; operating status not verified.
Cargill Provimi premix plant,feed mill,Cargill Vietnam,USA,Dong Nai,Dong Nai,40000,t/yr premix,2023,Premix and additive blending: route for micro-inclusion novel ingredients,unknown,IND-47,VN-direct,Medium,USD 28 m.
Cargill Vietnam (group),feed mill,Cargill Vietnam,USA,multiple,,11 plants (2023),plants,2023-2025,Livestock feed; exited aquafeed May 2025 (closed Dong Thap and Long An aquafeed plants),unknown,IND-47; IND-43,VN-direct,Low,Exit reported by Tepbac; verify with Cargill.
Japfa Comfeed Vietnam,feed mill,Japfa Ltd,Indonesia/Singapore,multiple; aquafeed in Tay Ninh,Long An (aquafeed),7 feed mills + 1 aquafeed plant,plants,2026,"Livestock and aquafeed, 1,500+ satellite farms",unknown,IND-43,VN-direct,Low,"Revenue ~VND 22,630 bn (2025)."
Grobest Vietnam,aquafeed,Grobest,Taiwan,Dong Nai,Dong Nai,2 plants,plants,2026,Shrimp feed,unknown,IND-43; IND-41,VN-direct,Low,Among top six shrimp feed producers.
Uni-President Vietnam (aquafeed),aquafeed,Uni-President,Taiwan,not stated,,not published,,2026,Shrimp feed incl. probiotic and functional feeds,unknown,IND-43; IND-41,VN-direct,Low,"Revenue ~VND 14,200 bn (2025, all businesses)."
Tongwei Vietnam,aquafeed,Tongwei,China,not stated,,not published,,2026,Aquafeed; top-six shrimp feed maker,unknown,IND-43; IND-41,VN-direct,Low,
Skretting Vietnam,aquafeed,Skretting (Nutreco),Netherlands,not stated,,~100000,t/yr supplied,2026,Shrimp and fish feed; partnership with Entobel on insect meal,unknown,IND-43,VN-direct,Low,
VNVC Vaccine and Biologics plant,biologics,VNVC (Vietnam Vaccine JSC),Vietnam,Tay Ninh,"Long An (Phu An Thanh IZ, Ben Luc)",100,million doses/yr,2027 (planned),"EU/WHO GMP vaccine plant, filling lines, 1,500 m2 R&D incl. mRNA; Sanofi tech transfer; designed by Rieckermann",N,IND-31; IND-32; IND-65,VN-direct,Medium,"Groundbreaking 27 May 2025; operation end-2027; production 2028. Investment reported as VND 2,000 bn (2025) and VND 2,500 bn (2026)."
IVAC Suoi Dau facility,biologics,"Institute of Vaccines and Medical Biologicals (IVAC), Ministry of Health",Vietnam,Khanh Hoa,Khanh Hoa (Cam Lam),7000-8000,L/yr tetanus antitoxin raw serum (plus flu vaccine),2008-2026,WHO-GMP egg-based seasonal flu vaccine; equine sera; animal house,N,IND-36,VN-direct,Medium,No bioreactor volumes published.
Vabiotech,biologics,"Vaccine and Biological Production Company No.1 (Vabiotech), MOH",Vietnam,Hanoi,Hanoi,not published,,2026,"WHO-GMP lines: recombinant hepatitis B (yeast-expressed), hepatitis A, JE, oral cholera; vial filling",N,IND-37,VN-direct,Medium,Only VN maker found with recombinant yeast expression at GMP scale; volumes not published.
Dabaco Dacovet veterinary vaccine plant,biologics,Dabaco Group,Vietnam,Bac Ninh (plant location not confirmed),Bac Ninh,200,million doses/yr,2024,"GMP-WHO (certified 3 Aug 2024); ASF, FMD and other vaccines; German and Italian equipment",N,IND-33,VN-direct,Medium,Investment ~VND 300 bn.
AVAC Vietnam,biologics,AVAC Vietnam JSC,Vietnam,Hung Yen,Hung Yen (Nhu Quynh),3.7,million ASF doses produced (cumulative to Dec 2024),2024,GMP veterinary vaccines; ASF vaccine exported to 5 countries,N,IND-34,VN-direct,Medium,
Navetco,biologics,National Veterinary JSC (Navetco),Vietnam,Ho Chi Minh City (HQ; plant location not verified),,2.2,million ASF doses produced (cumulative to Dec 2024),2024,Veterinary vaccines,N,IND-34,VN-direct,Low,
Hanvet GMP-WHO plant,biologics,Hanvet (Hanoi Veterinary Pharmaceutical JSC),Vietnam,Hung Yen,"Hung Yen (Pho Noi A IZ, My Hao)",not published,,2008,"GMP-WHO lines incl. inactivated bacterial vaccines; injectables; 40,000 m2 site",N,IND-35,VN-direct,Medium,
Veterinary vaccine sector (aggregate),biologics,12 manufacturers,Vietnam,national,,12 GMP-WHO plants; 218 vaccine types,,2024,Cell culture and bacterial fermentation at small GMP scale; USD 30-40 m per plant,N,IND-34,VN-direct,Medium,
Saigon Hi-Tech Park (SHTP),park,HCMC People's Committee (SHTP Management Board),Vietnam,Ho Chi Minh City,Ho Chi Minh City (former Thu Duc/District 9),913,ha (165 projects; USD 14.08 bn),2026,"Incubator SHTP-IC, SHTP Labs R&D centre, Biotech Center; CIT and land incentives for high-tech","Y (tenancy, incubation)",IND-57; IND-58,VN-direct,Medium,Food fermentation tenants not identified.
HCMC Biotechnology Center,pilot,HCMC (reported under SHTP management),Vietnam,Ho Chi Minh City,Ho Chi Minh City (District 12 area; Trung My Tay ward),not published,,2026,Nine departments incl. microbial and food biotechnology; sells microbial preparations; lab design consulting,unknown,IND-59; IND-57,VN-direct,Low,Pilot fermenter sizes and service terms not published online.
Food Industries Research Institute (FIRI),pilot,Ministry of Industry and Trade,Vietnam,Hanoi,Hanoi (HCMC branch),not published,,2026,"ISO/IEC 17025 lab, microbial culture collection, industrial microbiology centre, experimental production and technology transfer centre; works with CP, CJ, Habeco, Vissan","Y (contract research, testing, tech transfer)",IND-60,VN-direct,Medium,Pilot equipment scale not published.
National Institute for Food Control (NIFC),lab,Ministry of Health,Vietnam,Hanoi,Hanoi (HCMC branch at Tan Cang-Cat Lai),,,2026,"ISO/IEC 17025:2017; top MOH food testing lab; also feed, proficiency testing, reference materials, certification",Y,IND-61,VN-direct,High,
Eurofins Sac Ky Hai Dang,lab,Eurofins Scientific,France,Ho Chi Minh City,Ho Chi Minh City,,,2026,"Food and feed testing: nutrition, contaminants, allergens, microbiology",Y,IND-62,VN-direct,Medium,Accreditation details not shown on homepage.
QUATEST 3,lab,"Directorate for Standards, Metrology and Quality (state)",Vietnam,Ho Chi Minh City,Ho Chi Minh City,,,2026,"Testing, certification, calibration incl. agricultural products and food",Y,IND-63,VN-direct,Medium,
Vedan Vietnam in-house lab and application lab,lab,Vedan Vietnam,Taiwan,Dong Nai,Dong Nai,,,2026,"ISO/IEC 17025 lab; starch-derivatives R&D (since 2017); Kjeldahl, homogeniser, texture analyser, application kitchen",unknown,IND-02; IND-03,VN-direct,Medium,Potential partner lab for starch/protein texture work.
HTG Engineering and Trading JSC,other,HTG,Vietnam,Ho Chi Minh City,Ho Chi Minh City,USD 3.881 m (Ajinomoto contract),,not stated,"M&E contractor: cold storage (-25 C), class 10,000 cleanrooms for Ajinomoto (3 plants), also Coca-Cola, PepsiCo",Y (contractor),IND-64,VN-direct,Low,Fermenter fabrication capability not stated.
TECOVA,other,TECOVA,Vietnam,not stated,,,,2025,"GMP/ISO plant design, validation and compliance consulting (pharma, food)",Y (consultant),IND-65,VN-direct,Low,Role in VNVC plant not stated.
Rieckermann,other,Rieckermann,Germany,not stated,,,,2025,Process engineering and design; designed VNVC vaccine plant,Y (contractor),IND-31,VN-direct,Medium,
