country_iso3,year,fao_series,protein_supply_g_per_person_day,animal_protein_g_per_person_day,animal_share_pct,plant_share_pct,meat_supply_kg_per_person_year,fish_supply_kg_per_person_year,gdp_per_capita_ppp_const2021_usd,source_ids,evidence_label,confidence,demand_evidence_type,notes
CHN,2000,historic,83.7,27.2,32.5,67.5,44.0,24.4,4066,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
CHN,2005,historic,86.9,31.3,36.0,64.0,48.4,27.2,6298,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
CHN,2010,2010 onward,108.8,43.0,39.5,60.5,58.2,32.4,10476,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
CHN,2013,2010 onward,111.0,44.2,39.9,60.1,59.0,35.3,13081,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
CHN,2015,2010 onward,115.6,45.7,39.5,60.5,60.8,38.4,14857,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
CHN,2018,2010 onward,120.0,46.8,39.0,61.0,62.1,39.4,17807,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
CHN,2020,2010 onward,122.4,47.2,38.6,61.4,58.7,41.1,19215,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
CHN,2023,2010 onward,131.6,54.0,41.1,58.9,73.5,41.7,22687,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
KOR,1961,historic,56.8,5.8,10.2,89.8,4.1,13.2,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
KOR,1970,historic,71.9,7.8,10.9,89.1,5.4,18.5,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
KOR,1980,historic,82.8,17.7,21.4,78.6,13.2,41.7,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
KOR,1990,historic,83.0,26.9,32.4,67.6,25.3,47.6,14378,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
KOR,2000,historic,87.2,36.1,41.4,58.6,47.6,48.0,26404,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
KOR,2005,historic,87.6,38.5,44.0,56.0,49.8,55.2,32886,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
KOR,2010,2010 onward,101.7,49.1,48.3,51.7,59.5,57.6,39574,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
KOR,2013,2010 onward,103.9,51.1,49.2,50.8,64.4,52.5,42710,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
KOR,2015,2010 onward,103.5,56.6,54.7,45.3,71.5,57.0,44849,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
KOR,2018,2010 onward,107.9,60.8,56.3,43.7,79.0,56.9,48834,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
KOR,2020,2010 onward,106.4,60.3,56.7,43.3,80.2,54.5,49374,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
KOR,2023,2010 onward,110.7,63.3,57.2,42.8,84.0,52.8,54029,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
JPN,1961,historic,74.2,24.6,33.1,66.9,7.6,50.9,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Japan is not in the 2010 onward FAO series; historic series used. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
JPN,1970,historic,82.0,36.2,44.2,55.8,17.6,61.3,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Japan is not in the 2010 onward FAO series; historic series used. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
JPN,1980,historic,88.8,46.6,52.5,47.5,30.2,66.2,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Japan is not in the 2010 onward FAO series; historic series used. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
JPN,1990,historic,96.9,55.2,57.0,43.0,38.3,71.9,36138,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Japan is not in the 2010 onward FAO series; historic series used. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
JPN,2000,historic,96.4,55.5,57.5,42.5,45.3,67.8,39732,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Japan is not in the 2010 onward FAO series; historic series used. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
JPN,2005,historic,92.4,52.1,56.4,43.6,46.7,61.1,41740,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Japan is not in the 2010 onward FAO series; historic series used. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
JPN,2010,historic,87.6,48.7,55.6,44.4,47.6,53.1,41647,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Japan is not in the 2010 onward FAO series; historic series used. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
JPN,2013,historic,87.7,48.5,55.2,44.8,49.5,48.9,43304,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Japan is not in the 2010 onward FAO series; historic series used. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
TWN,1961,historic,61.7,15.9,25.8,74.2,21.6,27.9,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Taiwan GDP not in World Bank WDI. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
TWN,1970,historic,69.5,21.2,30.5,69.5,32.7,32.4,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Taiwan GDP not in World Bank WDI. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
TWN,1980,historic,77.0,29.6,38.5,61.5,47.5,36.0,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Taiwan GDP not in World Bank WDI. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
TWN,1990,historic,85.2,39.6,46.5,53.5,66.5,41.7,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Taiwan GDP not in World Bank WDI. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
TWN,2000,historic,94.5,45.3,47.9,52.1,82.6,32.2,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Taiwan GDP not in World Bank WDI. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
TWN,2005,historic,87.7,41.7,47.6,52.4,79.2,29.9,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Taiwan GDP not in World Bank WDI. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
TWN,2010,2010 onward,92.3,48.9,53.0,47.0,78.0,30.4,,DIE-07,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Taiwan GDP not in World Bank WDI. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
TWN,2013,2010 onward,93.0,49.1,52.8,47.2,74.9,33.3,,DIE-07,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Taiwan GDP not in World Bank WDI. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
TWN,2015,2010 onward,95.3,52.1,54.7,45.3,80.2,31.6,,DIE-07,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Taiwan GDP not in World Bank WDI. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
TWN,2018,2010 onward,97.2,52.6,54.2,45.8,83.6,29.1,,DIE-07,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Taiwan GDP not in World Bank WDI. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
TWN,2020,2010 onward,99.9,58.5,58.5,41.5,93.7,29.9,,DIE-07,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Taiwan GDP not in World Bank WDI. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
TWN,2023,2010 onward,98.8,56.7,57.4,42.6,91.5,30.4,,DIE-07,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Taiwan GDP not in World Bank WDI. Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
THA,1961,historic,42.3,11.4,27.0,73.0,14.8,8.8,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
THA,1970,historic,51.4,16.9,32.9,67.1,18.0,24.0,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
THA,1980,historic,48.4,14.9,30.9,69.1,18.4,17.1,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
THA,1990,historic,49.2,19.0,38.6,61.4,23.6,20.0,8703,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
THA,2000,historic,59.4,23.5,39.6,60.4,26.6,31.3,11624,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
THA,2005,historic,60.5,24.0,39.6,60.4,27.8,33.9,14460,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
THA,2010,2010 onward,64.3,25.6,39.8,60.2,27.2,24.2,16732,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
THA,2013,2010 onward,65.7,27.9,42.4,57.6,28.9,26.5,18244,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
THA,2015,2010 onward,67.3,27.4,40.8,59.2,28.7,23.4,18814,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
THA,2018,2010 onward,67.3,28.4,42.2,57.8,26.5,29.7,20882,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
THA,2020,2010 onward,68.3,27.6,40.5,59.5,25.5,28.6,19950,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
THA,2023,2010 onward,68.6,27.2,39.6,60.4,24.5,28.6,21245,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
MYS,1961,historic,46.9,13.9,29.7,70.3,13.2,20.5,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
MYS,1970,historic,50.9,16.6,32.7,67.3,15.7,23.5,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
MYS,1980,historic,58.8,25.9,44.0,56.0,23.2,43.0,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
MYS,1990,historic,62.8,34.4,54.8,45.2,37.2,47.5,12014,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
MYS,2000,historic,76.4,42.5,55.6,44.4,44.7,62.8,18533,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
MYS,2005,historic,78.8,42.3,53.8,46.2,50.3,54.0,20768,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
MYS,2010,2010 onward,90.3,51.2,56.7,43.3,61.0,60.0,23308,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
MYS,2013,2010 onward,91.6,53.6,58.5,41.5,65.4,58.3,25736,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
MYS,2015,2010 onward,92.2,56.0,60.7,39.3,70.7,56.5,27700,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
MYS,2018,2010 onward,90.8,53.6,59.1,40.9,67.8,53.9,30460,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
MYS,2020,2010 onward,89.3,51.7,58.0,42.0,66.9,49.9,29200,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
MYS,2023,2010 onward,93.3,54.6,58.6,41.4,69.1,51.0,32858,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
PHL,1961,historic,41.4,15.3,37.0,63.0,12.7,23.1,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
PHL,1970,historic,44.4,19.8,44.6,55.4,15.7,33.6,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
PHL,1980,historic,49.4,18.8,38.0,62.0,16.8,32.4,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
PHL,1990,historic,50.6,19.8,39.1,60.9,18.3,35.6,4504,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
PHL,2000,historic,54.0,22.2,41.1,58.9,28.8,28.8,4740,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
PHL,2005,historic,57.0,23.1,40.5,59.5,29.7,32.8,5387,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
PHL,2010,2010 onward,67.1,29.2,43.5,56.5,34.1,32.7,6273,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
PHL,2013,2010 onward,65.8,27.3,41.4,58.6,33.6,27.8,7017,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
PHL,2015,2010 onward,68.4,28.7,41.9,58.1,35.5,29.0,7692,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
PHL,2018,2010 onward,72.8,30.3,41.6,58.4,38.8,25.6,9016,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
PHL,2020,2010 onward,76.0,28.8,37.9,62.1,34.0,25.5,8455,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
PHL,2023,2010 onward,77.5,28.6,36.9,63.1,33.6,26.3,9899,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
IDN,1961,historic,35.2,5.1,14.4,85.6,3.7,10.3,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
IDN,1970,historic,38.3,5.7,14.8,85.2,3.8,10.4,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
IDN,1980,historic,44.5,7.3,16.4,83.6,4.6,12.1,,DIE-08,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
IDN,1990,historic,48.8,9.5,19.5,80.5,8.1,14.9,4873,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
IDN,2000,historic,52.6,12.2,23.2,76.8,8.4,20.6,6056,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
IDN,2005,historic,53.6,13.6,25.4,74.6,10.1,22.1,7141,DIE-08; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
IDN,2010,2010 onward,68.1,16.8,24.6,75.4,10.4,27.4,8848,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
IDN,2013,2010 onward,71.5,19.4,27.1,72.9,11.4,34.8,10122,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
IDN,2015,2010 onward,75.5,20.7,27.4,72.6,11.9,38.3,10894,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
IDN,2018,2010 onward,80.3,25.2,31.4,68.6,11.8,42.5,12262,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
IDN,2020,2010 onward,76.8,27.3,35.5,64.5,17.4,39.3,12389,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
IDN,2023,2010 onward,77.8,30.0,38.5,61.5,19.9,40.4,13890,DIE-07; DIE-09,VN-adjacent,High,revealed,"FAO supply basis (carcass weight for meat). Transfer assumption: neighbour trajectories indicate where diets can plateau, not where Vietnam must go."
