record_id,indicator,year,geography,group,value,unit,source_ids,evidence_label,confidence,demand_evidence_type,notes
DFS-086,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,"Vietnam, urban",Rice,6.7,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-087,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,"Vietnam, rural",Rice,11.2,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-088,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,Vietnam,Eating out (meals away from home),21.6,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-089,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,"Vietnam, urban",Eating out (meals away from home),28.5,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-090,"Share of household food spending (VHLSS food structure, incl. eating out)",2010,"Vietnam, rural",Eating out (meals away from home),16.5,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-091,"Share of household food spending (VHLSS food structure, incl. eating out)",2012,Vietnam,Eating out (meals away from home),24.0,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-092,"Share of household food spending (VHLSS food structure, incl. eating out)",2012,"Vietnam, urban",Eating out (meals away from home),31.3,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-093,"Share of household food spending (VHLSS food structure, incl. eating out)",2012,"Vietnam, rural",Eating out (meals away from home),18.9,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-094,"Share of household food spending (VHLSS food structure, incl. eating out)",2014,Vietnam,Eating out (meals away from home),23.5,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-095,"Share of household food spending (VHLSS food structure, incl. eating out)",2014,"Vietnam, urban",Eating out (meals away from home),30.1,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-096,"Share of household food spending (VHLSS food structure, incl. eating out)",2014,"Vietnam, rural",Eating out (meals away from home),18.6,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-097,"Share of household food spending (VHLSS food structure, incl. eating out)",2016,Vietnam,Eating out (meals away from home),25.1,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-098,"Share of household food spending (VHLSS food structure, incl. eating out)",2016,"Vietnam, urban",Eating out (meals away from home),32.4,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-099,"Share of household food spending (VHLSS food structure, incl. eating out)",2016,"Vietnam, rural",Eating out (meals away from home),19.5,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-100,"Share of household food spending (VHLSS food structure, incl. eating out)",2018,Vietnam,Eating out (meals away from home),26.7,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-101,"Share of household food spending (VHLSS food structure, incl. eating out)",2018,"Vietnam, urban",Eating out (meals away from home),32.9,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-102,"Share of household food spending (VHLSS food structure, incl. eating out)",2018,"Vietnam, rural",Eating out (meals away from home),21.7,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-103,"Share of household food spending (VHLSS food structure, incl. eating out)",2020,Vietnam,Eating out (meals away from home),26.0,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-104,"Share of household food spending (VHLSS food structure, incl. eating out)",2020,"Vietnam, urban",Eating out (meals away from home),33.0,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-105,"Share of household food spending (VHLSS food structure, incl. eating out)",2020,"Vietnam, rural",Eating out (meals away from home),19.9,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-106,"Share of household food spending (VHLSS food structure, incl. eating out)",2022,Vietnam,Eating out (meals away from home),19.8,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-107,"Share of household food spending (VHLSS food structure, incl. eating out)",2022,"Vietnam, urban",Eating out (meals away from home),24.5,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-108,"Share of household food spending (VHLSS food structure, incl. eating out)",2022,"Vietnam, rural",Eating out (meals away from home),15.9,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-109,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,Vietnam,Eating out (meals away from home),22.5,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17. Eating out fell in 2022 after COVID-19 and had not regained its 2018 level by 2024.
DFS-110,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,"Vietnam, urban",Eating out (meals away from home),29.6,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-111,"Share of household food spending (VHLSS food structure, incl. eating out)",2024,"Vietnam, rural",Eating out (meals away from home),16.1,%,DIE-05,VN-direct,High,revealed,VHLSS table 6.17
DFS-112,Household food spending per person per month,2024,Vietnam,"All food, drink and eating out",1310.0,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-113,Household food spending per person per month,2024,"Vietnam, urban","All food, drink and eating out",1632.7,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-114,Household food spending per person per month,2024,"Vietnam, rural","All food, drink and eating out",1110.7,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-115,Household food spending per person per month,2024,Vietnam,Rice,118.5,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-116,Household food spending per person per month,2024,"Vietnam, urban",Rice,108.5,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-117,Household food spending per person per month,2024,"Vietnam, rural",Rice,124.6,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-118,Household food spending per person per month,2024,Vietnam,Meat,349.8,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-119,Household food spending per person per month,2024,"Vietnam, urban",Meat,381.5,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-120,Household food spending per person per month,2024,"Vietnam, rural",Meat,330.3,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-121,Household food spending per person per month,2024,Vietnam,Fish and shrimp,110.4,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-122,Household food spending per person per month,2024,"Vietnam, urban",Fish and shrimp,139.5,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-123,Household food spending per person per month,2024,"Vietnam, rural",Fish and shrimp,92.4,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-124,Household food spending per person per month,2024,Vietnam,Eggs,17.2,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-125,Household food spending per person per month,2024,"Vietnam, urban",Eggs,17.1,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-126,Household food spending per person per month,2024,"Vietnam, rural",Eggs,17.3,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-127,Household food spending per person per month,2024,Vietnam,Tofu,9.2,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-128,Household food spending per person per month,2024,"Vietnam, urban",Tofu,9.0,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-129,Household food spending per person per month,2024,"Vietnam, rural",Tofu,9.4,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-130,Household food spending per person per month,2024,Vietnam,Beans and peas,2.4,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-131,Household food spending per person per month,2024,"Vietnam, urban",Beans and peas,2.8,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-132,Household food spending per person per month,2024,"Vietnam, rural",Beans and peas,2.1,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-133,Household food spending per person per month,2024,Vietnam,Peanuts and sesame,2.9,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-134,Household food spending per person per month,2024,"Vietnam, urban",Peanuts and sesame,3.0,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-135,Household food spending per person per month,2024,"Vietnam, rural",Peanuts and sesame,2.8,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.16, current prices"
DFS-136,Eating-out spending per person per month,2018,Vietnam,all,283.0,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-137,Eating-out spending per person per month,2018,Vietnam,quintile 1,78.4,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-138,Eating-out spending per person per month,2018,Vietnam,quintile 2,208.5,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-139,Eating-out spending per person per month,2018,Vietnam,quintile 3,231.0,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-140,Eating-out spending per person per month,2018,Vietnam,quintile 4,358.6,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-141,Eating-out spending per person per month,2018,Vietnam,quintile 5,539.0,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-142,Eating-out spending per person per month,2020,Vietnam,all,334.6,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-143,Eating-out spending per person per month,2020,Vietnam,quintile 1,107.5,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-144,Eating-out spending per person per month,2020,Vietnam,quintile 2,201.4,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-145,Eating-out spending per person per month,2020,Vietnam,quintile 3,301.9,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-146,Eating-out spending per person per month,2020,Vietnam,quintile 4,411.1,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-147,Eating-out spending per person per month,2020,Vietnam,quintile 5,651.4,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-148,Eating-out spending per person per month,2022,Vietnam,all,238.0,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-149,Eating-out spending per person per month,2022,Vietnam,quintile 1,57.4,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-150,Eating-out spending per person per month,2022,Vietnam,quintile 2,122.5,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-151,Eating-out spending per person per month,2022,Vietnam,quintile 3,177.2,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-152,Eating-out spending per person per month,2022,Vietnam,quintile 4,371.9,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-153,Eating-out spending per person per month,2022,Vietnam,quintile 5,408.0,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-154,Eating-out spending per person per month,2024,Vietnam,all,295.0,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-155,Eating-out spending per person per month,2024,Vietnam,quintile 1,79.4,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-156,Eating-out spending per person per month,2024,Vietnam,quintile 2,181.4,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-157,Eating-out spending per person per month,2024,Vietnam,quintile 3,285.1,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-158,Eating-out spending per person per month,2024,Vietnam,quintile 4,363.4,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-159,Eating-out spending per person per month,2024,Vietnam,quintile 5,558.5,thousand VND per person per month,DIE-05,VN-direct,High,revealed,"VHLSS table 6.18, current prices"
DFS-160,Eating-out spending per person per month,2024,"Vietnam, Red River Delta (pre-2025 statistical region)",all households,289.8,thousand VND per person per month,DIE-05,VN-direct,High,revealed,VHLSS table 6.19
DFS-161,Eating-out spending per person per month,2024,"Vietnam, Northern midlands and mountains (pre-2025 statistical region)",all households,104.4,thousand VND per person per month,DIE-05,VN-direct,High,revealed,VHLSS table 6.19
DFS-162,Eating-out spending per person per month,2024,"Vietnam, North Central and Central coast (pre-2025 statistical region)",all households,274.0,thousand VND per person per month,DIE-05,VN-direct,High,revealed,VHLSS table 6.19
DFS-163,Eating-out spending per person per month,2024,"Vietnam, Central Highlands (pre-2025 statistical region)",all households,174.9,thousand VND per person per month,DIE-05,VN-direct,High,revealed,VHLSS table 6.19
DFS-164,Eating-out spending per person per month,2024,"Vietnam, South East (pre-2025 statistical region)",all households,538.6,thousand VND per person per month,DIE-05,VN-direct,High,revealed,VHLSS table 6.19
DFS-165,Eating-out spending per person per month,2024,"Vietnam, Mekong River Delta (pre-2025 statistical region)",all households,247.7,thousand VND per person per month,DIE-05,VN-direct,High,revealed,VHLSS table 6.19
