reporter,partner,flow,hs_code,hs_label,year,month,value_usd,net_weight_t,unit_value_usd_per_kg,weight_estimated,lunar_calendar_note,source_ids,evidence_label,confidence,demand_evidence_type,notes
China,World,export,110900,wheat gluten (1109),2021,1,12654838,9449.1,1.34,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2021,2,7051729,5185.2,1.36,no,Tet month (lunar 1/1 on 2021-02-12),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2021,3,17074708,12856.1,1.33,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2021,4,18453089,13629.3,1.35,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2021,5,13434742,10081.9,1.33,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2021,6,20560367,15632.1,1.32,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2021,7,22352962,16839.4,1.33,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2021,8,22173910,16779.9,1.32,no,Vu Lan month (lunar 7/15 on 2021-08-22),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2021,9,23978945,17762.4,1.35,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2021,10,20286646,14656.2,1.38,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2021,11,24356393,17255.7,1.41,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2021,12,23957630,15687.8,1.53,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2022,1,22528057,14091.0,1.6,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2022,2,27144063,16370.3,1.66,no,Tet month (lunar 1/1 on 2022-02-01),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2022,3,16428038,9719.0,1.69,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2022,4,31197978,18003.1,1.73,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2022,5,29799528,16780.4,1.78,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2022,6,39321089,20730.1,1.9,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2022,7,41389327,21588.5,1.92,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2022,8,42357926,21816.5,1.94,no,Vu Lan month (lunar 7/15 on 2022-08-12),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2022,9,38906166,19740.1,1.97,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2022,10,44538724,22816.8,1.95,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2022,11,38271876,19462.5,1.97,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2022,12,36936039,18756.6,1.97,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2023,1,31695569,15789.4,2.01,no,Tet month (lunar 1/1 on 2023-01-22),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2023,2,17970511,8901.8,2.02,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2023,3,36381025,17925.0,2.03,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2023,4,49329346,24400.2,2.02,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2023,5,30973816,15215.4,2.04,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2023,6,37051302,19506.1,1.9,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2023,7,22135249,12601.8,1.76,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2023,8,23340476,14365.7,1.62,no,Vu Lan month (lunar 7/15 on 2023-08-30),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2023,9,22466207,15121.3,1.49,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2023,10,21748322,14792.0,1.47,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2023,11,25000223,16736.1,1.49,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2023,12,11291227,7603.6,1.48,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2024,1,29038047,21555.6,1.35,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2024,2,18415247,14500.0,1.27,no,Tet month (lunar 1/1 on 2024-02-10),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2024,3,21375453,16432.2,1.3,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2024,4,34084422,27576.8,1.24,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2024,5,14962982,11642.0,1.29,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2024,6,38142124,31841.4,1.2,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2024,7,35569704,30140.1,1.18,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2024,8,14955880,12280.4,1.22,no,Vu Lan month (lunar 7/15 on 2024-08-18),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2024,9,24422693,20800.8,1.17,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2024,10,27929722,24276.6,1.15,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2024,11,17619564,14881.2,1.18,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,110900,wheat gluten (1109),2024,12,44583818,39671.2,1.12,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2019,1,25212600,11774.9,2.14,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2019,2,19078305,8861.3,2.15,no,Tet month (lunar 1/1 on 2019-02-05),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2019,3,21700720,10067.8,2.16,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2019,4,22393722,10575.2,2.12,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2019,5,27178963,14253.4,1.91,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2019,6,30240605,14646.8,2.06,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2019,7,24061264,12683.2,1.9,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2019,8,26479103,11642.8,2.27,no,Vu Lan month (lunar 7/15 on 2019-08-15),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2019,9,22450527,11237.9,2.0,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2019,10,17611006,8133.6,2.17,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2019,11,24900760,10803.0,2.3,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2019,12,25677538,12259.8,2.09,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2020,1,26323882,13203.5,1.99,no,Tet month (lunar 1/1 on 2020-01-25),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2020,2,22492588,9120.6,2.47,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2020,3,36333387,16663.1,2.18,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2020,4,40944072,20545.5,1.99,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2020,5,32884935,16896.7,1.95,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2020,6,30040865,14918.9,2.01,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2020,7,31281209,16743.5,1.87,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2020,8,26321098,12971.2,2.03,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2020,9,27556964,13362.8,2.06,no,Vu Lan month (lunar 7/15 on 2020-09-02),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2020,10,26020450,13400.7,1.94,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2020,11,33291883,16548.4,2.01,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2020,12,29692363,12331.7,2.41,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2021,1,30302017,14465.7,2.09,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2021,2,29293285,11885.9,2.46,no,Tet month (lunar 1/1 on 2021-02-12),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2021,3,36513932,17748.6,2.06,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2021,4,30603157,12905.5,2.37,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2021,5,35508323,14033.8,2.53,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2021,6,38924042,18529.4,2.1,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2021,7,34522630,14522.4,2.38,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2021,8,32643294,14997.5,2.18,no,Vu Lan month (lunar 7/15 on 2021-08-22),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2021,9,41888702,16587.2,2.53,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2021,10,34322483,13176.2,2.6,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2021,11,42339882,19078.1,2.22,yes,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2021,12,38813881,15261.2,2.54,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2022,1,43633024,15503.6,2.81,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2022,2,34657993,12029.8,2.88,yes,Tet month (lunar 1/1 on 2022-02-01),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2022,3,37897782,13280.8,2.85,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2022,4,36547833,12958.5,2.82,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2022,5,42669649,14848.2,2.87,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2022,6,33776094,12667.8,2.67,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2022,7,30534545,11282.8,2.71,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2022,8,35241048,13589.9,2.59,no,Vu Lan month (lunar 7/15 on 2022-08-12),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2022,9,23509009,9098.2,2.58,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2022,10,28283387,10981.1,2.58,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2022,11,26154044,10886.9,2.4,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2022,12,33740367,14565.2,2.32,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2023,1,32246575,12022.8,2.68,no,Tet month (lunar 1/1 on 2023-01-22),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2023,2,31984480,11847.4,2.7,yes,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2023,3,34101249,13856.1,2.46,yes,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2023,4,31791983,13039.2,2.44,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2023,5,32696873,13848.2,2.36,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2023,6,30786699,12995.4,2.37,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2023,7,35513152,14258.1,2.49,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2023,8,43851696,17560.9,2.5,no,Vu Lan month (lunar 7/15 on 2023-08-30),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2023,9,31462524,13144.4,2.39,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2023,10,41278352,18114.0,2.28,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2023,11,40423963,17448.9,2.32,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2023,12,26858914,12513.4,2.15,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2024,1,38381000,16969.9,2.26,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2024,2,21140036,8922.9,2.37,no,Tet month (lunar 1/1 on 2024-02-10),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2024,3,29148099,13090.4,2.23,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2024,4,31617030,14784.8,2.14,yes,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2024,5,37256988,18496.3,2.01,yes,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2024,6,35733499,16062.4,2.22,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2024,7,30730804,15773.9,1.95,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2024,8,30583793,13595.6,2.25,no,Vu Lan month (lunar 7/15 on 2024-08-18),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2024,9,30267059,15914.2,1.9,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2024,10,29447908,14565.7,2.02,yes,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2024,11,28319239,13123.4,2.16,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,210610,protein concentrates and textured protein (2106.10),2024,12,37489763,17288.4,2.17,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2019,1,101709382,116544.5,0.87,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2019,2,68550575,83509.9,0.82,no,Tet month (lunar 1/1 on 2019-02-05),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2019,3,118361726,141956.8,0.83,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2019,4,97155869,116798.1,0.83,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2019,5,92650073,111984.1,0.83,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2019,6,94218401,109436.7,0.86,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2019,7,90845530,102384.4,0.89,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2019,8,81416071,89633.4,0.91,no,Vu Lan month (lunar 7/15 on 2019-08-15),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2019,9,85095656,99536.7,0.85,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2019,10,76797877,91850.1,0.84,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2019,11,88988820,105376.5,0.84,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2019,12,101511824,111807.8,0.91,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2020,1,87755800,112522.9,0.78,no,Tet month (lunar 1/1 on 2020-01-25),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2020,2,56553977,70334.1,0.8,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2020,3,134935973,161204.8,0.84,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2020,4,121646774,143592.0,0.85,yes,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2020,5,99628197,112822.6,0.88,yes,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2020,6,82677908,88289.2,0.94,yes,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2020,7,71374220,74493.7,0.96,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2020,8,60571598,60999.7,0.99,yes,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2020,9,82637457,88698.8,0.93,no,Vu Lan month (lunar 7/15 on 2020-09-02),BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2020,10,81852500,87196.9,0.94,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2020,11,96146164,100992.3,0.95,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
China,World,export,230990,"animal feed preparations (2309.90), feed control",2020,12,97496456,96880.6,1.01,no,,BRD-05,VN-adjacent,High,revealed,China-reported FOB exports by month of export
