item,element,unit,year,value,source_ids,evidence_label,confidence,demand_evidence_type,notes
Pulses,Food,thousand t,2015,275,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Food,thousand t,2019,304,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Food,thousand t,2020,309,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Food,thousand t,2021,357,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Food,thousand t,2022,404,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Food,thousand t,2023,420,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Food supply quantity (kg/capita/yr),kg per person a year,2010,2.64,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Food supply quantity (kg/capita/yr),kg per person a year,2015,2.96,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Food supply quantity (kg/capita/yr),kg per person a year,2019,3.13,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Food supply quantity (kg/capita/yr),kg per person a year,2020,3.15,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Food supply quantity (kg/capita/yr),kg per person a year,2021,3.61,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Food supply quantity (kg/capita/yr),kg per person a year,2022,4.06,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Food supply quantity (kg/capita/yr),kg per person a year,2023,4.19,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Protein supply quantity (g/capita/day),g protein per person a day,2010,1.67,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Protein supply quantity (g/capita/day),g protein per person a day,2015,1.88,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Protein supply quantity (g/capita/day),g protein per person a day,2019,1.97,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Protein supply quantity (g/capita/day),g protein per person a day,2020,1.98,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Protein supply quantity (g/capita/day),g protein per person a day,2021,2.27,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Protein supply quantity (g/capita/day),g protein per person a day,2022,2.55,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Pulses,Protein supply quantity (g/capita/day),g protein per person a day,2023,2.63,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Food,thousand t,2010,129,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Food,thousand t,2015,151,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Food,thousand t,2019,184,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Food,thousand t,2020,190,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Food,thousand t,2021,216,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Food,thousand t,2022,244,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Food,thousand t,2023,257,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Food supply quantity (kg/capita/yr),kg per person a year,2010,1.48,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Food supply quantity (kg/capita/yr),kg per person a year,2015,1.62,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Food supply quantity (kg/capita/yr),kg per person a year,2019,1.89,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Food supply quantity (kg/capita/yr),kg per person a year,2020,1.94,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Food supply quantity (kg/capita/yr),kg per person a year,2021,2.19,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Food supply quantity (kg/capita/yr),kg per person a year,2022,2.44,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Food supply quantity (kg/capita/yr),kg per person a year,2023,2.56,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Protein supply quantity (g/capita/day),g protein per person a day,2010,0.87,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Protein supply quantity (g/capita/day),g protein per person a day,2015,0.96,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Protein supply quantity (g/capita/day),g protein per person a day,2019,1.12,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Protein supply quantity (g/capita/day),g protein per person a day,2020,1.15,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Protein supply quantity (g/capita/day),g protein per person a day,2021,1.29,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Protein supply quantity (g/capita/day),g protein per person a day,2022,1.45,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Beans,Protein supply quantity (g/capita/day),g protein per person a day,2023,1.52,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Food,thousand t,2010,102,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Food,thousand t,2015,124,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Food,thousand t,2019,120,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Food,thousand t,2020,118,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Food,thousand t,2021,140,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Food,thousand t,2022,160,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Food,thousand t,2023,160,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Food supply quantity (kg/capita/yr),kg per person a year,2010,1.16,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Food supply quantity (kg/capita/yr),kg per person a year,2015,1.33,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Food supply quantity (kg/capita/yr),kg per person a year,2019,1.23,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Food supply quantity (kg/capita/yr),kg per person a year,2020,1.21,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Food supply quantity (kg/capita/yr),kg per person a year,2021,1.42,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Food supply quantity (kg/capita/yr),kg per person a year,2022,1.6,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Food supply quantity (kg/capita/yr),kg per person a year,2023,1.6,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Protein supply quantity (g/capita/day),g protein per person a day,2010,0.8,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Protein supply quantity (g/capita/day),g protein per person a day,2015,0.92,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Protein supply quantity (g/capita/day),g protein per person a day,2019,0.85,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Protein supply quantity (g/capita/day),g protein per person a day,2020,0.83,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Protein supply quantity (g/capita/day),g protein per person a day,2021,0.98,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Protein supply quantity (g/capita/day),g protein per person a day,2022,1.1,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
"Pulses, Other and products",Protein supply quantity (g/capita/day),g protein per person a day,2023,1.1,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Food,thousand t,2010,248,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Food,thousand t,2015,243,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Food,thousand t,2019,295,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Food,thousand t,2020,260,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Food,thousand t,2021,154,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Food,thousand t,2022,330,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Food,thousand t,2023,381,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Food supply quantity (kg/capita/yr),kg per person a year,2010,2.84,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Food supply quantity (kg/capita/yr),kg per person a year,2015,2.62,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Food supply quantity (kg/capita/yr),kg per person a year,2019,3.04,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Food supply quantity (kg/capita/yr),kg per person a year,2020,2.65,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Food supply quantity (kg/capita/yr),kg per person a year,2021,1.56,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Food supply quantity (kg/capita/yr),kg per person a year,2022,3.31,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Food supply quantity (kg/capita/yr),kg per person a year,2023,3.8,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Protein supply quantity (g/capita/day),g protein per person a day,2010,1.44,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Protein supply quantity (g/capita/day),g protein per person a day,2015,1.33,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Protein supply quantity (g/capita/day),g protein per person a day,2019,1.54,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Protein supply quantity (g/capita/day),g protein per person a day,2020,1.35,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Protein supply quantity (g/capita/day),g protein per person a day,2021,0.79,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Protein supply quantity (g/capita/day),g protein per person a day,2022,1.68,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Groundnuts,Protein supply quantity (g/capita/day),g protein per person a day,2023,1.93,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Meat,Food,thousand t,2010,3583,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Meat,Food,thousand t,2015,3698,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Meat,Food,thousand t,2019,4168,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Meat,Food,thousand t,2020,4657,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Meat,Food,thousand t,2021,5272,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Meat,Food,thousand t,2022,5808,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Meat,Food,thousand t,2023,6070,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Meat,Food supply quantity (kg/capita/yr),kg per person a year,2010,40.97,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Meat,Food supply quantity (kg/capita/yr),kg per person a year,2015,39.84,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Meat,Food supply quantity (kg/capita/yr),kg per person a year,2019,42.89,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Meat,Food supply quantity (kg/capita/yr),kg per person a year,2020,47.48,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Meat,Food supply quantity (kg/capita/yr),kg per person a year,2021,53.29,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Meat,Food supply quantity (kg/capita/yr),kg per person a year,2022,58.26,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Meat,Food supply quantity (kg/capita/yr),kg per person a year,2023,60.48,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Meat,Protein supply quantity (g/capita/day),g protein per person a day,2010,16.89,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Meat,Protein supply quantity (g/capita/day),g protein per person a day,2015,16.15,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Meat,Protein supply quantity (g/capita/day),g protein per person a day,2019,17.61,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
Meat,Protein supply quantity (g/capita/day),g protein per person a day,2020,19.51,DIE-07,VN-direct,High,revealed,"FAOSTAT Food Balance Sheets, supply not intake. Soyabeans food use includes tofu and soy milk in bean equivalent. Pulses excludes soybeans."
