record_id,retailer,programme_or_sku,record_type,category,pack_size_g,price_vnd,vnd_per_kg,protein_g_per_100g,protein_basis,vnd_per_100g_protein,main_protein_ingredient,manufacturer_named,availability_2026_09_25,source_ids,evidence_label,confidence,demand_evidence_type,notes
PL-11,Saigon Co.op,Dau hu trang Co.op Select 300 g,SKU,tofu,300,13800,46000,3.8,"label (FORM-01, same SKU)",121053,soybean 18%,Thai Corp Inter.VN,out of stock,CPC-15; FORM-01,VN-direct,Medium,revealed,Soybean share (18%) explains the low label protein.
PL-12,Saigon Co.op,Dau hu non Co.op Select 300 g,SKU,soft tofu,300,9000,30000,4.98,"label (FORM-01; audit price 9,900)",60241,soybean 18%,Thai Corp Inter.VN,in stock,CPC-15; FORM-01,VN-direct,Medium,revealed,
PL-13,Saigon Co.op,Dau hu chien Co.op Select Ichi 500 g,SKU,fried tofu,500,26700,53400,,not shown,,soybean 46%,Thai Corp Inter.VN,in stock,CPC-15,VN-direct,High,revealed,
PL-14,Saigon Co.op,Dau hu trung dac biet Co.op Select 240 g,SKU,egg tofu,240,14500,60417,,not shown,,egg 30%; soybean 12.5%,Thai Corp Inter.VN,in stock,CPC-15,VN-direct,High,revealed,Not chay (contains egg).
PL-15,Lotte Mart,Cha gio chay Choice L 400 g,SKU,frozen chay spring roll,400,46900,117250,,not found,,unknown,not recorded,on shelf 6 Sep 2026 (Nha Trang),FORM-01,VN-direct,Low,revealed,From the package's retail audit (SKU-007).
PL-16,Lotte Mart,Cha gio chay Choice L 500 g,SKU,frozen chay spring roll,500,53900,107800,,not found,,unknown,not recorded,on shelf 6 Sep 2026 (Nha Trang),FORM-01,VN-direct,Low,revealed,SKU-008.
PL-17,Lotte Mart,Ha cao chay Choice L 500 g,SKU,frozen chay dumpling,500,53900,107800,,not found,,unknown,not recorded,on shelf 6 Sep 2026 (Nha Trang),FORM-01,VN-direct,Medium,revealed,SKU-009.
PL-18,WinCommerce (WinMart),"House brands and chay assortment at WM Times City, Hanoi (online)",programme,all,,,,,,,,,active,CPC-19; AIB-12,VN-direct,Low,revealed,"Target of 25 to 50 'Mega House Brands' (AIB-12). Online: 27 'chay' results, none house brand; house brands seen: WinMart Good (dried fruit), WMHome (household). One store checked."
PL-19,WinCommerce (WinMart),Suon non lua mach chay An Nhien 150 g (branded comparator),SKU,dry chay analogue,150,74800,498667,64,"label (FORM-01, same product)",77917,wheat and soy protein,An Nhien (Pham Gia Phat),listed,CPC-19; FORM-01,VN-direct,Medium,revealed,"Brand, not private label: shows the shelf price a private-label dry analogue would face."
PL-20,AEON Vietnam,Topvalu private brand,programme,all,,,,,,,,,active,AIB-32; CPC-20,VN-direct,Low,revealed,"Topvalu 'managed according to strict Japanese standards'; no Topvalu chay, tofu or plant-based item seen in online search (truncated output)."
PL-21,Bach Hoa Xanh,Private label and chay assortment,programme,all,,,,,,,,,unknown,none,VN-direct,Low,revealed,Category and search pages returned no content to direct requests or the fetch tool. Gap.
PL-22,Central Retail (GO!),Private label and chay assortment,programme,all,,,,,,,,,unknown,none,VN-direct,Low,revealed,Not checked (online shop not located without search). Gap.
PL-23,MM Mega Market (B2B cash and carry),Chay and tofu assortment (names only),programme,chay and tofu,,,,,,,,,listed,CPC-14,VN-direct,Low,revealed,"About 39 chay prepared foods from named makers and 31 tofu URLs, some under a 'We Are Fresh' label (owner not verified). Prices not retrieved."
