record_id,channel_or_supplier,channel_type,product,brand_or_maker,origin,format,pack_size_g,listed_price_vnd,vnd_per_kg,availability_2026_09_25,units_sold_counter,protein_g_per_100g,protein_basis,vnd_per_100g_protein,vnd_per_20g_protein,source_ids,evidence_label,confidence,demand_evidence_type,notes
B2B-11,Kamereo,HoReCa B2B platform,"Suon mieng chay Panko, carton of 10 x 1 kg","Panko (Sumimoto, per the listing)",Vietnam,"dry, ambient",10000,1186920,118692,in stock,7,53.3 to 66.7,borrowed (see B2B-10),17795 to 22269,3559 to 4454,CPC-12; FORM-01,VN-direct,Low,revealed,Carton price 12% below the single pack per kg.
B2B-12,Kamereo,HoReCa B2B platform,"Dau hu trang (loose white tofu, per piece)",not stated,Vietnam,"chilled, 1-day shelf life",,5940,,in stock,78058,8,listing's generic nutrition table,,,CPC-12,VN-direct,Medium,revealed,"Piece weight not stated, so no per-kg price. Highest sold counter of any plant item found."
B2B-13,Kamereo,HoReCa B2B platform,Dau hu momen Ichiban 330 g,Ichiban,Vietnam,chilled,330,14040,42545,out of stock (orderable),121,8.92,"label (FORM-01 P129, same SKU)",47697,9539,CPC-12; FORM-01,VN-direct,Medium,revealed,
B2B-14,Kamereo,HoReCa B2B platform,Dau hu trang Fuji San 220 g,brand field: Ichiban,Vietnam,chilled,220,8640,39273,in stock,119,10.9,FCT 3025 tofu (DIE-12); label not visible,36030,7206,CPC-12; DIE-12,VN-direct,Low,revealed,"With the listing's generic 8 g: 49,091 per 100 g protein."
B2B-15,Kamereo,HoReCa B2B platform,Dau hu trang Beany 300 g,Beany,Vietnam,chilled,300,12000,40000,out of stock; not orderable,43,10.9,FCT 3025 tofu (DIE-12),36697,7339,CPC-12; DIE-12,VN-direct,Low,revealed,
B2B-16,Kamereo,HoReCa B2B platform,Dau hu lua cay Vi Nguyen 220 g,Vi Nguyen,Vietnam,chilled,220,9180,41727,out of stock; not orderable,66,10.9,FCT 3025 tofu (DIE-12),38282,7656,CPC-12; DIE-12,VN-direct,Low,revealed,Vi Nguyen also makes Co.op Select tofu (PL-10).
B2B-17,Kamereo,HoReCa B2B platform,"Dau hu ky tuoi (fresh tofu skin, per kg)",not stated,Vietnam,chilled,1000,,,out of stock; no price,1,,,,,CPC-12,VN-direct,Medium,revealed,Only tofu-skin item; no dry textured soy or gluten on the platform (CPC-13).
B2B-18,Kamereo,HoReCa B2B platform,"Thit heo xay dong lanh CP 1 kg (frozen minced pork, comparator)",C.P. Vietnam,Vietnam,frozen,1000,114450,114450,in stock,24769,16.5 (19.0 if lean),"FCT 7018 medium-fat pork (DIE-12), as in DPP-002",69364 (60237 if 19 g),13873,CPC-12; DIE-12,VN-direct,Medium,revealed,Meat Zero minced costs 1.5 to 2.1 times this per kg.
B2B-19,Kamereo,HoReCa B2B platform,Thit heo xay dong lanh JAPFA 1 kg (comparator),JAPFA,Vietnam,frozen,1000,121800,121800,in stock,1790,16.5,FCT 7018 (DIE-12),73818,14764,CPC-12; DIE-12,VN-direct,Medium,revealed,
B2B-20,Kamereo,HoReCa B2B platform,"Nac dam heo dong lanh CP 1 kg (frozen pork shoulder, comparator)",C.P. Vietnam,Vietnam,frozen,1000,145950,145950,in stock,5210,,,,,CPC-12,VN-direct,Medium,revealed,"Comparator for Meat Zero roast (VND 175,000 to 209,001 per kg)."
B2B-21,Kamereo,HoReCa B2B platform,"Uc ga phi le khong da tuoi CP 1 kg (fresh chicken breast, comparator)",C.P. Vietnam,Vietnam,chilled,1000,97650,97650,in stock,70297,20.3,"FCT 7013 chicken (DIE-12), conservative for breast, as in DPP-004",48103,9621,CPC-12; DIE-12,VN-direct,Medium,revealed,"Frozen version VND 99,750 per kg."
B2B-22,Kamereo,HoReCa B2B platform,"Trung ga CP 61 g, box of 10 (comparator)",C.P. Vietnam,Vietnam,ambient,610,34125,,in stock,284699,14.8,"FCT 9001 hen egg (DIE-12), edible share 0.86, as in DPP-006",43952,8790,CPC-12; DIE-12,VN-direct,Medium,revealed,
B2B-23,MM Mega Market,B2B cash and carry (HoReCa and traders),Chay prepared foods and tofu (names only),"An Nhien, Au Lac, Pham Gia Phat, Cau Tre, Cholimex, Tri Hue and others",Vietnam,"frozen, dry, chilled",,,,listed,,,,,,CPC-14,VN-direct,Low,revealed,"About 39 chay prepared-food and 31 tofu URLs out of 13,591; no Meat Zero or Western analogue; three 'vegan' buns and one 'vegan chili sausage' (brand not verified). Prices not retrievable."
B2B-24,ACC (Asia Ingredients Group) with Angel Yeast,ingredient distributor,Yeast protein (Saccharomyces cerevisiae),Angel Yeast,China,powder ingredient,,,,marketed to makers since May 2025; no catalogue SKU,,55 to 90,company claim,,,AIS-38; CPC-21; CPC-22,VN-direct,Medium,revealed,"PDCAAS 1.0 and non-GMO (company claims); applications include plant-based dairy, meat alternatives, bakery, beverages. No price published."
B2B-25,Brenntag Vietnam,ingredient distributor,Proteins; plant-based segment,various,various,ingredients,,,,site lists segment only,,,,,,CPC-23; BUY-35,VN-direct,Low,revealed,No Vietnamese product list or price. Named as a soy protein isolate importer in BUY-08.
B2B-26,VMC Group; TDGIMEX,ingredient distributors,Soy protein isolate (20 kg); vital wheat gluten (25 kg),Chinese makers,China,ingredients,20000 to 25000,,,price on request,,,,,,FORM-11; BUY-36; BUY-37,VN-direct,Medium,revealed,From the package; not re-checked. No public B2B price.
B2B-27,Growthwell Foods,"regional plant-based maker (Singapore, Johor)",Plant-based meat and seafood; ingredient supply and food services,"HAPPIEE!, EPIC'C, Ta Ching",Singapore; Malaysia,frozen and ingredients,,,,no Vietnam presence stated,,,,,,CPC-24; AIS-33,VN-adjacent,Medium,revealed,Clean negative for Vietnam.
B2B-28,INNOHAS,regional OEM (Korea),"OEM and ODM plant-based meat, dumplings",INNOHAS,Korea,frozen,,,,no Vietnam launch found,,,,,,VCO-31; AIS-16,VN-adjacent,Medium,revealed,2024 plan for Vietnamese products and local production (AIS-16); 2026 site names only Korean facilities and no Vietnam.
