record_id,company,company_type,vietnam_presence,commitment_type,commitment,metric,target,deadline,scope,covers_vietnam,progress_reported,apb100_tier_2026,source_ids,evidence_label,confidence,demand_evidence_type,notes
CMT-11,Compass Group; Aramark,contract caterers,Not found,not checked,Vietnamese operation not found; not checked in depth,n/a,n/a,n/a,n/a,unknown,n/a,not assessed,none,general,Low,revealed,Part VI names no multinational caterer; the incumbents actor check found Dussmann and Japanese joint ventures (AIB-35).
CMT-12,Charoen Pokphand Foods (C.P. Vietnam),food manufacturer and integrator,"Yes: Vietnam 18% of CPF revenue in 2025 (THB 101.3 billion), of which food THB 8.2 billion","alternative-protein brand, no target",Meat Zero 'alternative protein products designed for flexitarian consumers',none,none,none,group,n/a,Meat Zero SKUs listed on Kamereo in Vietnam but out of stock and not orderable on 25 September 2026 (see data_b2b_competitor_prices.csv),Tier 3,AIB-19; AFN-18; AIS-25; CPC-12,VN-direct,High,revealed,"No quantified alternative-protein sales, sourcing or diversification target in the 56-1 One Report 2025. C.P. Vietnam is feed and farm heavy: food is about 8% of its Vietnamese revenue (our calculation from AIB-19)."
CMT-13,CJ CheilJedang (CJ Foods Vietnam),food manufacturer,Yes: CJ Cau Tre and bibigo made in Vietnam,plant-based sales,PlanTable plant-based sales,sales value,KRW 200 billion,2025,"named markets US, UK, Germany, Japan, China, Singapore, other Southeast Asia",no (Vietnam not named),not found,Tier 3,AIB-17; AFN-18,VN-adjacent,Medium,stated,bibigo Healthy Mandu Chay on Vietnamese shelves claims 100% plant protein (LE-25).
CMT-14,Vinamilk,"food manufacturer (dairy, plant milks)",Yes (Vietnamese),protein diversification,No timebound protein-diversification target,plant-based share of product range,none,none,company,n/a,Plant-based 1.30% of product range (up 0.05 points since FY2022); alternative-proteins score 45 of 100; FAIRR rank 34 of 60 (2024),Tier 3,AFN-21; AFN-18; AIB-01,VN-direct,High,revealed,"The only Vietnamese company in Tier 3; the tier reflects all ten themes, not protein diversification alone."
CMT-15,"Masan Group (Masan MEATLife, WinCommerce)",food manufacturer and retailer,Yes (Vietnamese),none,"No plant, chay or protein-diversification target in 2026 AGM material; diversification is into processed meat",none,none,none,group,n/a,none,Tier 4,AIB-12; AIB-11; AFN-18,VN-direct,High,revealed,
CMT-16,Vinh Hoan; Minh Phu; Nam Viet,seafood processors,Yes (Vietnamese),none found,No alternative-protein target found,none,none,none,company,n/a,none,Vinh Hoan Tier 5; Minh Phu Tier 6; Nam Viet Tier 6,AFN-18,VN-direct,Medium,revealed,"ARE publishes tiers, not company theme scores, so their protein-diversification scores are not public."
CMT-17,"AEON (AEON Vietnam, Topvalu)",retailer,"Yes: 9 malls, 30 planned by fiscal 2030",none found in Vietnam,Topvalu Vietnam page has no plant-based or welfare statement; no Topvalu chay or tofu seen online,none,none,none,Vietnam,n/a,none,Tier 3 (AEON Co.),AIB-32; AIB-33; CPC-20; AFN-18,VN-direct,Low,revealed,Group-level commitments not read (pages did not return text).
CMT-18,Lotte Shopping (Lotte Mart Vietnam),retailer,Yes: 17 stores,none found,Private-label chay spring rolls and dumplings (Choice L) on shelf; no commitment found,none,none,none,Vietnam,n/a,none,Tier 3,AIB-34; FORM-01; AFN-18,VN-direct,Low,revealed,Not checked in depth.
CMT-19,E-MART; Seven and i (7-Eleven); GS Retail (GS25); Jollibee Foods,retailers and restaurant operator,Yes: Emart store audited in Ho Chi Minh City; 7-Eleven and GS25 chains; 213 Jollibee outlets (March 2025),not checked,Group commitments not checked in this line,n/a,n/a,n/a,n/a,unknown,n/a,E-MART Tier 3; Seven and i Tier 3; GS Retail Tier 4; Jollibee Tier 4,AFN-18; FORM-01; CHN-07; CHN-06,VN-adjacent,Low,revealed,APB tiers are across ten themes.
CMT-20,"Central Retail (GO!, Tops, Lan Chi)",retailer,Yes: 43 GO! hypermarkets and others,none found,No commitment found; not in the APB 100 list,none,none,none,Vietnam,n/a,none,not listed,AIB-31; AFN-18,VN-direct,Low,revealed,Central Plaza Hotel (Centara) is Tier 3; its Vietnamese presence was not verified.
CMT-21,Saigon Co.op; Bach Hoa Xanh (MWG),retailers,Yes (Vietnamese),none found,"No plant-based, protein or welfare commitment in the AGM and press material read",none,none,none,Vietnam,n/a,none,not listed,AIB-26; AIB-27; AIB-28; AIB-29,VN-direct,Medium,revealed,
CMT-22,Nestle Vietnam,food manufacturer,Yes,regenerative sourcing and emissions (no plant-based),50% of key ingredients (incl. soybeans and meat) from regenerative farming; emissions down 50%,share of key ingredients; emissions,50%; 50%,2030,Vietnam,yes,not found,not listed (Nestle Malaysia and Nestle India Tier 4),AIB-22; AFN-18,VN-direct,Medium,stated,No plant-based or protein-diversification target.
CMT-23,Unilever,food manufacturer,Yes: Knorr products on Vietnamese shelves,exit from plant-based meat,Sold The Vegetarian Butcher to Vivera (20 March 2025),n/a,n/a,n/a,global,n/a,n/a,not listed (Hindustan Unilever Tier 4),CPC-09; CPC-19,general,High,revealed,A large incumbent judged chilled and frozen plant-based meat 'less scalable' in its foods portfolio.
CMT-24,Ajinomoto Vietnam,food manufacturer and school-menu partner,Yes,not found,"No plant-based or protein target found; runs the School Meal Project menu software (120 menus, more than 360 dishes)",n/a,n/a,n/a,n/a,n/a,n/a,not listed,AIB-24,VN-direct,Low,revealed,Not checked in depth for group targets.
CMT-25,Pizza 4P's,restaurant chain (Vietnam-founded),Yes: 33 outlets (March 2025),none found,"Sustainability pages cover waste, composting and local sourcing; no plant-based, protein or cage-free target",none,none,none,Vietnam and other markets,n/a,none,not listed,CPC-11; CHN-06,VN-direct,Medium,revealed,
CMT-26,Asia Protein Buyers 100 (aggregate of 100 listed Asian buyers),investor benchmark,Covers 5 Vietnamese companies,benchmark of commitments,Protein diversification average 7.4%; 48 of 100 offer plant-protein products; 2 of 100 publish alternative-protein sourcing targets and report volumes; none reports via the GFI and FAIRR framework,indicator scores,n/a,n/a,12 Asian markets,yes (5 companies),Tiers 1 and 2 empty; 26 companies in Tier 3,n/a,AFN-18,VN-adjacent,High,revealed,Company-level theme scores are not published in the report or on ARE's pages.
CMT-27,Lever Foundation (engagement NGO),NGO,No Vietnam programme,procurement-ratio commitments,"Country social accounts for Malaysia, Philippines, Thailand, Indonesia, Hong Kong and Taiwan, Korea; hotel work in China; July 2026 expansion of plant-based policy work to India and Thailand",n/a,n/a,n/a,Asia excluding Vietnam,no,175 or more Asian sourcing commitments (Lever claim),n/a,CPC-10; AFN-38; AFN-39,VN-adjacent,Medium,stated,The organisation that turns hotel and caterer commitments into procurement ratios in Asia does not work in Vietnam.
