where,current,proposed,evidence_source_ids,strength,type
target_product_profiles.csv TPP-03 price_target,"Cost to the processor per kg below the lean meat it replaces (lean pork about VND 132,000 per kg retail)","Add the kitchen-delivered benchmark: frozen minced pork VND 114,450 to 121,800 per kg and frozen pork shoulder VND 145,950 per kg on Kamereo (September 2026). Note that C.P. is both a first buyer and the owner of Meat Zero.",CPC-12; AIS-25,moderate,updates
"target_product_profiles.csv TPP-04 price_target, first_buyers, avoid; ch25.3 canteen arithmetic","20 g of protein well under the VND 7,500 to 14,000 dish budget; at supply-study ex-factory cost VND 740 to 2,140; first buyers contract caterers and factory kitchens","Add the kitchen options already on sale per 20 g protein (Kamereo, our calculation): dry soy-gluten pieces about VND 4,000 to 5,100 (borrowed protein range), tofu VND 7,200 to 9,500, eggs VND 8,800, chicken breast VND 9,600, minced pork VND 13,900. A new ingredient must beat dry soy-gluten pieces on cost per gram of protein or on function. First buyers: caterers through chay-piece makers and HoReCa distributors. Avoid: imported branded analogues through B2B distributors (Meat Zero precedent).",CPC-12; FORM-01; DIE-12; AIS-25,moderate,updates
target_product_profiles.csv TPP-05 demand_evidence,Revealed: Vinamilk uses pea protein in a soy-free high-protein milk,"Add: no commitment pull behind it (Vinamilk has no timebound protein-diversification target; plant-based is 1.30% of its range, FAIRR 2024). Add yeast protein (Angel Yeast via ACC) as a non-soy competitor marketed for plant-based dairy.",AFN-21; CPC-21,weak,adds
target_product_profiles.csv TPP-06 price_target and cheapest_first_test,"Against egg white and dairy proteins, not soy; trials with one bakery and one seasoning maker","Add a direct competitor: Angel Yeast's yeast protein, marketed to Vietnamese bakery, beverage, dairy and plant-based makers by ACC since May 2025 (55 to 90% protein, PDCAAS 1.0, company claims; price not public). First test: benchmark samples against yeast protein as well as egg white.",AIS-38; CPC-21; CPC-22,moderate,adds
launches_exits.csv LE-09 (CP Meat Zero),Channel none found; status 'No evidence retrieved',"Replace with the row in data_launches_exits_updates.csv: 8 SKUs imported from Thailand listed on Kamereo, VND 175,000 to 378,000 per kg, 386 units on the sold counter, none orderable on 25 September 2026.",AIS-25; CPC-12; CPC-13,moderate,corrects
launches_exits.csv LE-14 (INNOHAS) and new rows LE-27 to LE-30,"LE-14: no Vietnam launch evidence (2026-09, VinaCapital investment only)","Update LE-14 to a checked absence on the company site (2026-09-25). Add LE-27 Angel Yeast yeast protein via ACC (2025), LE-28 Co.op Select chay private-label line (GN Foods), LE-29 Lotte Mart Choice L chay, LE-30 Panko dry chay pieces sold to kitchens.",VCO-31; CPC-21; CPC-15; FORM-01; CPC-12,moderate,adds
ch29.5 'What not to do',Do not launch premium imported-style analogues into gourmet channels expecting mass uptake.,"Add: do not enter foodservice with an imported branded analogue through B2B distributors; CP Meat Zero minced was listed on Kamereo at 1.5 to 2.1 times CP's own minced pork per kg, and no Meat Zero SKU is orderable.",AIS-25; CPC-12,moderate,strengthens
ch25.7 and ch29 'International organisations and funders'; brief-international demand section,Fund channel trials and measurement; no view on corporate commitments,"Add: corporate commitments are a weak lever in Vietnam today (only Accor's dish target binds Vietnamese units; Lever and FAIRR engagement do not cover Vietnam; Asian cage-free delivery lags). If you fund commitments work, fund implementation measurement at Accor's Vietnamese hotels (dish share and protein source) and a disclosure ask to Vinamilk, not a new pledge campaign.",AFN-40; AFN-18; AFN-20; AFN-21; CPC-10; CPC-04; CPC-05; CPC-07,moderate,adds
ch25.7 and ch26.8 'Manufacturers'; brief-manufacturers demand section,Incumbent chay makers hold the frozen sections; private label mentioned only for export,"Add: retailer private label is open to chay through co-packers (GN Foods makes the Co.op Select chay line; Thai Corp Inter.VN and Vi Nguyen make its tofu). A co-packer can take a protein upgrade to the retailer without a consumer brand. HoReCa distributors already sell tofu and dry soy-gluten pieces to kitchens in volume, and the imported analogue that tried this route is no longer orderable.",CPC-15; CPC-12; AIS-25,moderate,adds
brands.csv BR-003 and companies.csv CO-027 (Co.op Select co-packer),GN Foods named for the noodle-gyoza meal only; other SKUs not disclosed; CO-027 'GN Foods named in prior lead; unverified',GN Foods is named by Co.op Online as the maker of all five Co.op Select frozen chay dishes; Thai Corp Inter.VN and Vi Nguyen make Co.op Select tofu.,CPC-15,strong,corrects
"open_questions.csv OQ-192, OQ-213, OQ-215, OQ-218",OQ-192 open for CP Meat Zero; OQ-213 no listing terms; OQ-215 caterer use of chay unknown; OQ-218 hotel demand untested,"OQ-192: partly closed for CP Meat Zero in B2B (listed, not orderable). OQ-213: add Co.op's supplier portal steps (terms still unknown). OQ-215: add that dry soy-gluten pieces are marketed to chay eateries and school kitchens and tofu sells in volume through Kamereo (stated and revealed, not caterer data). OQ-218: add Accor's dish target as the hotel-side reason to ask.",AIS-25; CPC-12; CPC-17; CPC-18; AFN-40,moderate,updates
