ID,Date,City,Channel Type,Store/Vendor Name,Product Name,Brand,Origin,Category,Format/Subtype,Package Size (g/ml),Price (VND),Price per 100g (VND),Conv. Equivalent Price/100g (VND),Price Premium %,Shelf/Menu Placement,Key Ingredients,Energy (kcal /100g-100ml),Protein (g /100g-100ml),Fat (g /100g-100ml),Carbs (g /100g-100ml),Sodium (mg /100g-100ml),Notes / Marketing Claims
P011,2026-09-06,Nha Trang,Modern Retail,Lotte Mart Nha Trang,Chả Giò Rế Chay (net-wrapped vegetarian spring rolls),Vissan — confirmed via OSINT,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Net-wrapped spring rolls,500,40900,8180,13180,-0.37936267071320184,Dedicated alt-protein section,"Bánh tráng (gạo, nước, bột năng, muối), củ sắn, khoai môn, cà rốt, đậu xanh, tàu hũ ky, nấm mèo, nấm đông cô, protein đậu nành, hành, đường, muối i-ốt, tiêu, chất điều vị (621) — Vissan's standard chả giò chay recipe; the rế (net-wrapped) variant likely shares this core filling with a different wrapper.",,"≥3.5 (regulatory minimum stated on a price-comparison site, not lab-confirmed)",,,,"Brand confirmed: Vissan sells exactly this product nationally; market price references ~31,350-60,500đ. Conv. equivalent = Chả Giò Rế Thịt Vissan 500g, 65,900đ, from Lotte Mart's own online store."
P012,2026-09-06,Nha Trang,Modern Retail,Lotte Mart Nha Trang,Hà Cảo Chay Củ Sen (lotus-root vegetarian dumpling),brand not legible,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Dumplings,500,27900,5580,,,Dedicated alt-protein section,Not found,,,,,,"Tagged ""MỚI"" (New). No brand or conventional-equivalent match found via search."
P013,2026-09-06,Nha Trang,Modern Retail,Lotte Mart Nha Trang,Healthy Mandu Chay (vegetarian dumplings),bibigo (CJ Cầu Tre),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Dumplings,,52900,,,,Dedicated alt-protein section,"Da bánh 29.2% (bột mì, nước, muối, bột năng), củ sắn, nấm đùi gà, cà rốt, nấm đông cô, đạm đậu nành, hạt sen, nấm kim châm, hành tây, bột chiên xù, nấm mèo, khoai môn, mè, dầu hào chay vị nấm hương, đường, nước tương, ngò rí, hành boa rô, dầu cọ, hành tím, chiết xuất nấm men, dầu mè, dầu nành, hành lá, tỏi, tiêu, muối, giấm gạo lên men, bột ớt, tinh bột bắp, ớt (mushroom variant, 300g pack — your photographed SKU's exact size/flavor not confirmed).",,,,,,"OSINT resolves origin: bibigo mandu sold in VN is made locally by CJ Cầu Tre (Kizuna Tây Ninh plant). Marketing claims ""100% Protein từ thực vật"" (100% plant protein) and ""0% Cholesterol"" — no numeric nutrition table found though. Still a taxonomy boundary case — large branded line, closer to 'Plant-based (modern/branded)' in positioning, but shelved as Do Chay."
P014,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,Hà Cảo Chay (vegetarian dumplings),Cầu Tre,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Dumplings,500,41500,8300,,,Dedicated alt-protein section,"Da bột bánh (nước, bột mì, bột gạo, tinh bột khoai mì) 54%, củ sắn, đậu xanh, khoai môn, nấm mèo, miến sợi, cà rốt, đường cát, nấm đông cô, boa rô, dầu cọ, tinh bột bắp, chất điều vị, hạt mè, muối, tiêu (Cầu Tre's ""há cảo chay thập cẩm"" line — closest published match, exact shelf SKU not fully confirmed).",,,,,,VERIFY price: read off a shared price-tag row for several adjacent SKUs. No numeric nutrition table found.
P015,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,Healthy Mandu Chay (vegetarian dumplings),bibigo (CJ Cầu Tre),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Dumplings,,,,,,Dedicated alt-protein section,Same product line as the Lotte Mart Healthy Mandu Chay row — see that row for the full ingredients list.,,,,,,"Price not clearly legible in this photo — same SKU logged at Lotte Mart Nha Trang for ~52,900đ, plausibly similar here; left blank rather than guess. Size unclear too."
P016,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,Bánh Bao Nhân Chay (vegetarian filled steamed buns),Coop Select (Saigon Co-op private label),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Steamed buns,240,41500,17291.666666666664,,,Dedicated alt-protein section,Not found,,,,,,"VERIFY price: shared price-tag row with adjacent SKUs, pack size read as 240g off the bag. No published ingredients/nutrition found for this Coop Select SKU."
P017,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,Hà Cảo Chay (vegetarian dumplings),Coop Select (Saigon Co-op private label),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Dumplings,275,32800,11927.272727272726,,,Dedicated alt-protein section,Not found,,,,,,VERIFY price: pack size read as 275g off the bag. No published ingredients/nutrition found.
P018,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,Mì Sủi Cảo Chay / Vegetarian Gyoza with Noodles,Coop Select (Saigon Co-op private label),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Noodle + dumpling ready meal,500,61000,12200,,,Dedicated alt-protein section,"Mì (38%): bột mì, nước, trứng gà, muối, phẩm màu tổng hợp (INS 160a(i)). Vỏ sủi cảo (25%): bột mì, nước, tinh bột khoai mì, muối. Nhân (37%): nấm đùi gà (11%), bắp cải, đậu Hà Lan, củ sắn, măng, đậu hũ, đạm đậu nành, cà rốt, đậu nành, mè đen/mè trắng, đậu Edamame, đậu phộng, muối, tỏi, gừng, nước tương, tinh bột khoai mì, chất điều vị (INS 621), chất ổn định (INS 1442).",146,4.2,5.1,20.8,581,"HIGH CONFIDENCE — you photographed the back label directly, so ingredients and nutrition are both taken straight from the pack (per 100g: 146 kcal, 4.2g protein, 5.1g fat, 20.8g carbs [3.2g sugars], 581mg sodium). Made by Công ty CP Thực phẩm GN for Saigon Co-op, Tây Ninh province. Mfg 21.05.2026, best before 21.11.2027. Price is the one figure still worth double-checking (read off a shared tag row, not the item itself)."
P019,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,Chả Giò Bánh Tráng Chay (rice-paper vegetarian spring rolls),Cầu Tre,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Spring rolls,500,41000,8200,,,Dedicated alt-protein section,"Bánh tráng, củ sắn, khoai môn, đậu xanh, bún tàu, nấm mèo, đường, muối, chất điều vị, tiêu (Cầu Tre's standard chả giò chay recipe).",,,,,,VERIFY price: shared tag row. No numeric nutrition table found.
P020,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,Chả Giò Bánh Rế Chay Đặc Biệt (special net-wrapped vegetarian spring rolls),Cầu Tre,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Net-wrapped spring rolls,600,53000,8833.333333333332,,,Dedicated alt-protein section,"Bánh tráng rế, củ sắn, khoai môn, đậu xanh, nấm mèo, tàu hũ ky, nấm đông cô, bún tàu, tiêu, chất điều vị (E621).",,,,,,VERIFY price: premium/larger variant vs. the standard Cầu Tre line — 600g here vs. 500g elsewhere. No numeric nutrition table found.
P021,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,Chả Giò Chay (vegetarian spring rolls),Vissan,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Spring rolls,500,44900,8980,,,Dedicated alt-protein section,"Bánh tráng (gạo, nước, bột năng, muối), củ sắn, khoai môn, cà rốt, đậu xanh, tàu hũ ky, nấm mèo, nấm đông cô, protein đậu nành, hành, đường, muối i-ốt, tiêu, chất điều vị (621).",,"≥3.5 (regulatory minimum stated on a price-comparison site, not lab-confirmed)",,,,"VERIFY price: consistent with the ~44,900-75,900đ market range found via OSINT."
P022,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,Chả Tôm Chay (vegetarian shrimp cake),Thoại An,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Seafood-analog cake,400,41800,10450,,,Dedicated alt-protein section,Not found,,,,,,"New brand, not seen at Lotte Mart — Thoại An appears to specialize in vegetarian seafood analogs, but has little public footprint I could find; no ingredients/nutrition located."
P023,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,Đậu Hũ Hải Sản Chay (vegetarian seafood tofu),Thoại An,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Tofu / seafood-analog,500,71500,14300,,,Dedicated alt-protein section,Not found,,,,,,Notably higher price tier than most other SKUs in this basket. Same brand-footprint caveat as the row above.
P024,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,Bò Nấu Đậu Chay (canned vegetarian beef & bean stew),Vissan,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Canned meat analog,170,17900,10529.411764705883,,,Ambient,"Bò lát chay (55%), đậu trắng (17%), nước, dầu đậu nành, hành, gừng, bột cà chua, đường, muối i-ốt, tiêu, chất ổn định (1422), chất điều vị (621).",,,,,,"HIGH CONFIDENCE on price — clear, unambiguous tag. Ingredients confirmed via Vissan's own site. No numeric nutrition table published for this SKU specifically (a conventional Vissan pork analog, ""sườn nấu đậu,"" runs 121 kcal/100g, for rough scale only — not the same product)."
P025,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,"Thịt Nguội Chay Đậu Nành, Vị Hun Khói / Vị Nguyên Bản (canned soy luncheon meat, smoky / original)",Ông Chà Và,Imported,Plant-based (modern/branded),Canned meat analog,200,70000,35000,,,Ambient,"Smoky flavor — main (91.5%): đạm nành, nước, dầu thực vật, muối; other (8.5%): bột bắp, chiết xuất nấm men, chất ổn định (407), men đỏ, hương khói tự nhiên.",,,,,,"OSINT-confirmed: brand is Ông Chà Và, origin China. Packaging explicitly says ""Plant Based"" in English — the closest thing to modern-branded plant-based found in Nha Trang so far, and it's a Chinese import via canned goods. No numeric nutrition table found in my searches."
P026,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,Thịt Bò / Thịt Nguội Chay (canned soy-based vegetarian meat),NOSA,Imported,Plant-based (modern/branded),Canned meat analog,185,57000,30810.810810810814,,,Ambient,"Nước, đậu nành (17%), dầu thực vật, đạm đậu nành (2.5%), tinh bột bắp biến tính, đường, muối, bột nấm men, hương thịt giống tự nhiên, men đỏ, hương khói tự nhiên.",,,,,,"OSINT-confirmed: NOSA brand, origin China. Same category and positioning as the Ông Chà Và cans above. No numeric nutrition table found."
P027,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,Mì Chay (instant vegetarian noodle cup),Vifon,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Instant noodles,,8700,,,,Ambient,Not found,,,,,,"One representative SKU from a large ambient/dry chay-noodle aisle — 10+ brands observed. Not itemized SKU-by-SKU, and no ingredients/nutrition looked up for this specific cup flavor."
P028,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,"Sữa Hạt, Yến Mạch (Oat milk)",Vinamilk,Vietnam (local),Plant-based (modern/branded),Plant milk,,27000,,,,Health/organic section,Not found,,,,,,"TAXONOMY FLAG: doesn't fit cleanly into the current category list — this is a dairy alternative, not a meat one. Flavor read off box color/position rather than confirmed text. No nutrition table found for Vinamilk's oat variant specifically (their soy and ""cao đạm""/high-protein lines are documented, this flavor isn't)."
P029,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,Sữa Đậu Nành (Soy milk),Vinamilk,Vietnam (local),Plant-based (modern/branded),Plant milk,,29000,,,,Health/organic section,Not found,,,,,,Price and flavor-to-carton pairing approximate. Couldn't confirm nutrition for Vinamilk's own soy-milk line specifically as distinct from the related Fami/Vinasoy brand (logged separately below).
P030,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,"Sữa Hạt, likely 9 Loại Hạt or Đậu Nành Hạt Óc Chó (9-seed or soy-walnut blend)",Vinamilk,Vietnam (local),Plant-based (modern/branded),Plant milk,,27000,,,,Health/organic section,Not found,,,,,,"LOW CONFIDENCE on flavor: inferred from an orange carton, not confirmed text. Skipping nutrition rather than compounding a flavor guess with a nutrition guess."
P031,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,"Sữa Hạt, flavor unconfirmed (pink carton)",Vinamilk,Vietnam (local),Plant-based (modern/branded),Plant milk,,29000,,,,Health/organic section,Not found,,,,,,LOW CONFIDENCE: flavor genuinely unclear from the photo — flagging its existence rather than guessing further.
P032,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,Fami Nguyên Chất (Original soy milk),Fami (Vinasoy),Vietnam (local),Plant-based (modern/branded),Plant milk,,25300,,,,Health/organic section,Not found,54,1.9,1.5,9,,"Flavor inferred from a green carton, not confirmed text. Nutrition figures are Fami's published brand-wide averages (protein 1.9g, fat ~1-1.9g, energy ~54kcal, sugar ~9g per 100ml) — reasonably reliable if this carton is genuinely the Nguyên Chất variant, less so if it's a different Fami flavor."
P033,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,"Fami, flavor uncertain — possibly Vị Đậu Đỏ Nếp Cẩm or Green Soy",Fami (Vinasoy),Vietnam (local),Plant-based (modern/branded),Plant milk,,25300,,,,Health/organic section,Not found,,,,,,"LOW CONFIDENCE on flavor: read off a yellow carton, not confirmed text — skipping nutrition to avoid compounding the flavor guess."
P034,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,Fami Canxi (calcium-fortified soy milk),Fami (Vinasoy),Vietnam (local),Plant-based (modern/branded),Plant milk,,26000,,,,Health/organic section,Confirmed as a real Fami product line via OSINT.,58,,,10,28,"Energy and carbs are Fami Canxi's published figures (57.7 kcal, 9.5g carbs per 100ml, regular — not the low-sugar variant); sodium ~28mg/100ml. Protein specifically for the Canxi variant wasn't separately published, likely similar to Nguyên Chất's 1.9g/100ml. Price/carton pairing on this shelf still approximate."
P035,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,Sữa Gạo Lứt (brown-rice milk),Nutifood,Vietnam (local),Plant-based (modern/branded),Plant milk,,24800,,,,Health/organic section,Not found,,,,,,"Part of a promo-tagged Nutifood cluster (""3 hộp bằng giá"" discount signage nearby). No ingredients/nutrition looked up."
P036,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,Sữa Ngô (corn milk),Nutifood,Vietnam (local),Plant-based (modern/branded),Plant milk,,24800,,,,Health/organic section,Not found,,,,,,Same Nutifood cluster as the row above.
P037,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,"TH true NUT — Hạt Óc Chó / Hạt Mắc Ca / Hạnh Nhân (walnut / macadamia / almond, 3 flavors on shelf)",TH,Vietnam (local),Plant-based (modern/branded),Plant milk,,58900,,,,Health/organic section,"Walnut variant: dịch hạt óc chó (60%), dịch quả chà là, dịch yến mạch, sữa bò tươi, chất ổn định (E418, 471, 410).",43,1,2.4,4.3,,"PRICE CORRECTION from my first pass: I'd read a ""137"" tag near these cartons as 137,000đ. OSINT shows TH true NUT actually retails around 52,300-64,900đ depending on format — using 58,900đ (1L reference) as a placeholder. ""137"" is far more likely the name of a separate premium brand, ""137 Degrees"" (confirmed real via OSINT) — see the row below. Nutrition figures shown (42.8 kcal, 1g protein, 2.4g fat, 4.3g carbs per 100ml) are for the walnut flavor specifically; macadamia/almond weren't individually looked up, and the three flavors weren't individually price-tagged in the photo, so this one row stands in for all three."
P038,2026-09-06,Nha Trang,Modern Retail,Co.opmart Nha Trang,"137 Degrees (premium nut milk — likely the brand behind the ""137"" tag I misread as a price)",137 Degrees,Vietnam (local),Plant-based (modern/branded),Plant milk,,,,,,Health/organic section,Not found,,,,,,"Flagging this brand's likely presence rather than guessing a price: ""137 Degrees"" is a real, separate premium nut-milk brand — almond, walnut, macadamia variants. If genuinely on this shelf, worth its own confirmed price and ingredients on a return visit."
P039,2026-09-06,Nha Trang,Modern Retail,GO! Nha Trang,Bánh Mandu Chay Nấm (Healthy Mandu Chay — mushroom vegetarian dumplings),bibigo (CJ Cầu Tre),Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Dumplings,300,43000,14333.333333333334,,,Frozen,"Wrapper 29.2% (wheat flour, water, salt, tapioca); yam bean, king oyster mushroom, carrot, shiitake, soy protein, lotus seed, enoki, onion, breadcrumbs, wood-ear mushroom, taro, sesame, mushroom-flavoured vegan oyster sauce, sugar, soy sauce, herbs, vegetable oils, yeast extract, garlic, pepper, salt, fermented rice vinegar, chili and corn starch",,,,,322,"On promotion: 53,500đ struck through -> 43,000đ (red price-cut tag), matches the 300g pack called out on the tag itself. Same product line logged at Lotte Mart Nha Trang (Healthy Mandu Chay, 52,900đ, no promo) — GO!'s promo price undercuts it by ~19%. Price/tag read with reasonably high confidence. Ingredients/nutrition supplemented from exact-product OSINT; accessed 2026-09-22: https://aeoneshop.com/product/14817/cj-foods-banh-mandu-healthy-nhan-nam-300g-300g."
P040,2026-09-06,Nha Trang,Modern Retail,GO! Nha Trang,"Chả Giò Rế Chay ""Giòn Ngon"" (net-wrapped vegetarian spring rolls)",Cầu Tre,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Net-wrapped spring rolls,,45000,,,,Frozen,Not found,,,,,,"VERIFY price — read off a shelf tag row shared with several adjacent SKUs, digits not fully certain. Compare: same product line at Lotte Mart Nha Trang (Cầu Tre, ""reasonably confident"" brand read) priced 51,900đ."
P041,2026-09-06,Nha Trang,Modern Retail,GO! Nha Trang,"Chả Giò Chay ""Giòn Ngon"", smaller pack (vegetarian spring rolls)",Cầu Tre,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Spring rolls,,39000,,,,Frozen,Not found,,,,,,"VERIFY price — same shelf-tag caveat as the net-wrapped SKU above; likely a smaller pack size of the same product line, size not legible on the pack itself."
P042,2026-09-06,Nha Trang,Modern Retail,GO! Nha Trang,Chả Giò Đa Xốp Chay (crispy multi-layer-wrapper vegetarian spring rolls),Cầu Tre,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Crispy spring rolls,,56000,,,,Frozen,"Pastry wrapper 31% (wheat flour, rice flour, palm oil, salt, emulsifier E322i), yam bean, taro, soy protein, mung bean, carrot, wood-ear mushroom, glass noodles, sugar, palm oil, leek, dextrose, salt, pepper and flavour enhancers E631/E627",,,,,,VERIFY price. New format/subtype vs. the other Cầu Tre spring-roll SKUs already logged for Lotte Mart / Co.opmart — worth a return-visit confirm. Ingredients/nutrition supplemented from exact-product OSINT; accessed 2026-09-22: https://mualienluon.com/products/cha-gio-da-xop-chay-cau-tre-400g/607055a9aae8fe164feeb901.
P043,2026-09-06,Nha Trang,Modern Retail,GO! Nha Trang,Chả Giò Bánh Rế Chay Đặc Biệt (special net-wrapped vegetarian spring rolls),Cầu Tre,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Net-wrapped spring rolls,,44800,,,,Frozen,"Net rice wrapper 31% (refined rice flour, water, tapioca starch, palm oil, sugar, wheat flour, salt, emulsifier E322i); yam bean, sweet potato, mung bean, taro, wood-ear mushroom, sugar, flavour enhancer E621, palm oil, mushroom vegan oyster sauce, pepper and salt",172,3.36,2.07,33.6,,"Shelf tag showed a ""-25,000đ"" discount sticker against this 44,800đ price — original price and whether it matches the standard Chả Giò Rế Chay SKU above is unconfirmed, verify on a return visit. Ingredients/nutrition supplemented from exact-product OSINT; accessed 2026-09-22: https://cjfoods.com.vn/product/cha-gio-banh-re-chay-dac-biet/."
P044,2026-09-06,Nha Trang,Modern Retail,GO! Nha Trang,Hà Cảo Chay (vegetarian dumplings),Cầu Tre,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Dumplings,,,,,,Frozen,"Wrapper 52% (water, potato starch, wheat starch, thickeners E1414/E1420, palm oil, trehalose, salt); yam bean, mung bean, taro, wood-ear mushroom, glass noodles, carrot, sugar, shiitake, palm oil, leek, corn starch, flavour enhancer E621, sesame, salt and pepper",189,1.68,,,,"Spotted on shelf (Cầu Tre packaging) but price tag not legible in photo — left blank rather than guessed. Same product line priced 41,500đ at Co.opmart Nha Trang. Ingredients/nutrition supplemented from exact-product OSINT; accessed 2026-09-22: https://cjfoods.com.vn/product/ha-cao-chay/."
P045,2026-09-06,Nha Trang,Modern Retail,GO! Nha Trang,Chả Giò Rế Chay (net-wrapped vegetarian spring rolls),Vissan,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Net-wrapped spring rolls,,52000,,,,Frozen,"Rice wrapper (rice, water, tapioca starch, salt), yam bean, taro, carrot, mung bean, tofu skin, wood-ear mushroom, shiitake, soy protein, onion, sugar, iodized salt, pepper and flavour enhancer E621",,,,,,"VERIFY price — reads notably higher than the same Vissan SKU at Lotte Mart Nha Trang (40,900đ, OSINT-confirmed brand there). Worth a return-visit re-read before treating this as a genuine cross-store price gap. Ingredients/nutrition supplemented from exact-product OSINT; accessed 2026-09-22: https://vissanmart.com/cha-gio-chay-500g.html."
P046,2026-09-06,Nha Trang,Modern Retail,GO! Nha Trang,"Chả Giò Chay (vegetarian spring rolls, standard pack)",Vissan,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Spring rolls,,60000,,,,Frozen,"Rice wrapper (rice, water, tapioca starch, salt), yam bean, taro, carrot, mung bean, tofu skin, wood-ear mushroom, shiitake, soy protein, onion, sugar, iodized salt, pepper and flavour enhancer E621",,,,,,"VERIFY price — reads notably higher than the same Vissan SKU at Co.opmart Nha Trang (44,900đ). Same caveat as the net-wrapped Vissan row above. Ingredients/nutrition supplemented from exact-product OSINT; accessed 2026-09-22: https://vissanmart.com/cha-gio-chay-500g.html."
P047,2026-09-06,Nha Trang,Modern Retail,GO! Nha Trang,Chả Quế Chay (vegetarian cinnamon-scent sausage roll),brand tag not legible,Vietnam (local),"Traditional / Do Chay (mock-meat, tofu)",Sausage/cured-meat analog,,50500,,,,Frozen,Not found,,,,,,"Brand tag not legible in photo, pack size unconfirmed. Compare P.G.P-brand Chả Quế Chay at Lotte Mart Nha Trang, 75,900đ/500g — if this GO! SKU is a comparable size it reads notably cheaper, but size isn't confirmed so treat as illustrative only."
