record_id,study,country,fieldwork_year,item_type,item,question_wording,value,unit,rank_in_country,base_n,base_description,comparison_value,comparison_label,vn_minus_comparison_pp,source_ids,evidence_label,confidence,demand_evidence_type,notes
BAR-32,"Rakuten Insight, Plant-based food alternatives 2025",Vietnam,2025,driver,Concerns regarding animal welfare in food production,Reason(s) for choosing plant-based alternatives,33,% of respondents,4,1942,Vietnam panel sample (base for each question not stated),30,12-market average 2025,3,CON-07,VN-direct,Medium,stated,"Category is all plant-based alternatives, mainly plant milk"
BAR-33,"Rakuten Insight, Plant-based food alternatives 2025",Vietnam,2025,driver,Plant-based products taste better,Reason(s) for choosing plant-based alternatives,31,% of respondents,5,1942,Vietnam panel sample (base for each question not stated),,,,CON-07,VN-direct,Medium,stated,"Category is all plant-based alternatives, mainly plant milk"
BAR-34,"Rakuten Insight, Plant-based food alternatives 2025",Vietnam,2025,driver,Concerns on environmental impact of livestock farming,Reason(s) for choosing plant-based alternatives,30,% of respondents,6,1942,Vietnam panel sample (base for each question not stated),,,,CON-07,VN-direct,Medium,stated,"Category is all plant-based alternatives, mainly plant milk"
BAR-35,"Rakuten Insight, Plant-based food alternatives 2025",Vietnam,2025,driver,"Food allergies, intolerance or dietary restrictions",Reason(s) for choosing plant-based alternatives,15,% of respondents,7,1942,Vietnam panel sample (base for each question not stated),,,,CON-07,VN-direct,Medium,stated,"Category is all plant-based alternatives, mainly plant milk"
BAR-36,"Rakuten Insight, Plant-based food alternatives 2025",Vietnam,2025,barrier,It is difficult to find where I live,Reason(s) for not eating plant-based alternatives,33,% of respondents,1,1942,Vietnam panel sample (base for each question not stated),31,12-market average 2025,2,CON-07,VN-direct,Medium,stated,"Category is all plant-based alternatives, mainly plant milk"
BAR-37,"Rakuten Insight, Plant-based food alternatives 2025",Vietnam,2025,barrier,Do not see the need for plant-based alternatives,Reason(s) for not eating plant-based alternatives,22,% of respondents,2,1942,Vietnam panel sample (base for each question not stated),29,12-market average 2025,-7,CON-07,VN-direct,Medium,stated,"Category is all plant-based alternatives, mainly plant milk"
BAR-38,"Rakuten Insight, Plant-based food alternatives 2025",Vietnam,2025,barrier,It costs more than the original,Reason(s) for not eating plant-based alternatives,21,% of respondents,3,1942,Vietnam panel sample (base for each question not stated),34,12-market average 2025,-13,CON-07,VN-direct,Medium,stated,"Category is all plant-based alternatives, mainly plant milk. Cost barrier in SEA peers: Singapore 51%, Malaysia 42%, Thailand 37%, Philippines 33%, Indonesia 31%"
BAR-39,"Rakuten Insight, Plant-based food alternatives 2025",Vietnam,2025,barrier,Plant-based alternatives do not taste as good as the original,Reason(s) for not eating plant-based alternatives,18,% of respondents,5,1942,Vietnam panel sample (base for each question not stated),27,12-market average 2025,-9,CON-07,VN-direct,Medium,stated,"Category is all plant-based alternatives, mainly plant milk"
BAR-40,"Rakuten Insight, Plant-based food alternatives 2025",Vietnam,2025,barrier,Not sure about the ingredients compared to the original,Reason(s) for not eating plant-based alternatives,15,% of respondents,6,1942,Vietnam panel sample (base for each question not stated),23,12-market average 2025,-8,CON-07,VN-direct,Medium,stated,"Category is all plant-based alternatives, mainly plant milk"
BAR-41,"Rakuten Insight, Plant-based food alternatives 2025",Vietnam,2025,barrier,Belief that plant-based alternatives are not as healthy or nutritious,Reason(s) for not eating plant-based alternatives,3,% of respondents,7,1942,Vietnam panel sample (base for each question not stated),7,12-market average 2025,-4,CON-07,VN-direct,Medium,stated,"Category is all plant-based alternatives, mainly plant milk"
BAR-42,"Rakuten Insight, Plant-based food alternatives: future or present?",Vietnam,2021,driver,Belief that plant-based products are healthier,Reason(s) for choosing plant-based alternatives,61,% of respondents,1,4018,Vietnam panel sample,,,,CON-06,VN-direct,Medium,stated,Same wording as 2025 wave; lets 2021 to 2025 change be read
BAR-43,"Rakuten Insight, Plant-based food alternatives: future or present?",Vietnam,2021,driver,Concerns regarding animal welfare in food production,Reason(s) for choosing plant-based alternatives,40,% of respondents,2,4018,Vietnam panel sample,,,,CON-06,VN-direct,Medium,stated,Same wording as 2025 wave; lets 2021 to 2025 change be read
BAR-44,"Rakuten Insight, Plant-based food alternatives: future or present?",Vietnam,2021,driver,Follow a vegetarian or vegan diet,Reason(s) for choosing plant-based alternatives,38,% of respondents,3,4018,Vietnam panel sample,,,,CON-06,VN-direct,Medium,stated,Same wording as 2025 wave; lets 2021 to 2025 change be read
BAR-45,"Rakuten Insight, Plant-based food alternatives: future or present?",Vietnam,2021,driver,I wanted to try a food trend,Reason(s) for choosing plant-based alternatives,36,% of respondents,4,4018,Vietnam panel sample,,,,CON-06,VN-direct,Medium,stated,Same wording as 2025 wave; lets 2021 to 2025 change be read
BAR-46,"Rakuten Insight, Plant-based food alternatives: future or present?",Vietnam,2021,driver,Concerns on environmental impact of livestock farming,Reason(s) for choosing plant-based alternatives,32,% of respondents,5,4018,Vietnam panel sample,,,,CON-06,VN-direct,Medium,stated,Same wording as 2025 wave; lets 2021 to 2025 change be read
BAR-47,"Rakuten Insight, Plant-based food alternatives: future or present?",Vietnam,2021,driver,Plant-based products taste better,Reason(s) for choosing plant-based alternatives,29,% of respondents,6,4018,Vietnam panel sample,,,,CON-06,VN-direct,Medium,stated,Same wording as 2025 wave; lets 2021 to 2025 change be read
BAR-48,"Rakuten Insight, Plant-based food alternatives: future or present?",Vietnam,2021,driver,"Food allergies, intolerance or dietary restrictions",Reason(s) for choosing plant-based alternatives,20,% of respondents,7,4018,Vietnam panel sample,,,,CON-06,VN-direct,Medium,stated,Same wording as 2025 wave; lets 2021 to 2025 change be read
BAR-49,"Rakuten Insight, Plant-based food alternatives: future or present?",Vietnam,2021,barrier,It is difficult to find where I live,Reason(s) for not eating plant-based alternatives,39,% of respondents,1,4018,Vietnam panel sample,,,,CON-06,VN-direct,Medium,stated,Same wording as 2025 wave; lets 2021 to 2025 change be read
BAR-50,"Rakuten Insight, Plant-based food alternatives: future or present?",Vietnam,2021,barrier,Plant-based alternatives do not taste as good as the original,Reason(s) for not eating plant-based alternatives,29,% of respondents,2,4018,Vietnam panel sample,,,,CON-06,VN-direct,Medium,stated,Same wording as 2025 wave; lets 2021 to 2025 change be read
BAR-51,"Rakuten Insight, Plant-based food alternatives: future or present?",Vietnam,2021,barrier,It costs more than the original,Reason(s) for not eating plant-based alternatives,24,% of respondents,3,4018,Vietnam panel sample,,,,CON-06,VN-direct,Medium,stated,Same wording as 2025 wave; lets 2021 to 2025 change be read
BAR-52,"Rakuten Insight, Plant-based food alternatives: future or present?",Vietnam,2021,barrier,Not sure about the ingredients compared to the original,Reason(s) for not eating plant-based alternatives,24,% of respondents,3,4018,Vietnam panel sample,,,,CON-06,VN-direct,Medium,stated,Same wording as 2025 wave; lets 2021 to 2025 change be read
BAR-53,"Rakuten Insight, Plant-based food alternatives: future or present?",Vietnam,2021,barrier,Do not see the need for plant-based alternatives,Reason(s) for not eating plant-based alternatives,18,% of respondents,5,4018,Vietnam panel sample,,,,CON-06,VN-direct,Medium,stated,Same wording as 2025 wave; lets 2021 to 2025 change be read
BAR-54,"Rakuten Insight, Plant-based food alternatives: future or present?",Vietnam,2021,barrier,Belief that plant-based alternatives are not as healthy or nutritious,Reason(s) for not eating plant-based alternatives,8,% of respondents,7,4018,Vietnam panel sample,,,,CON-06,VN-direct,Medium,stated,Same wording as 2025 wave; lets 2021 to 2025 change be read
BAR-55,Delley et al. 2024 (BFH and VNUA),Vietnam (urban),2022,driver (food choice importance),Is good for my health,How important is it to you that the food you eat on a typical day...,5.4,mean on 1 to 6 scale,1,590,Omnivores and flexitarians in the Vietnamese sample,4.98,Switzerland mean,0.42,CON-08,VN-direct,Medium,stated,"Difference is in scale points, not percentage points"
BAR-56,Delley et al. 2024 (BFH and VNUA),Vietnam (urban),2022,driver (food choice importance),Has a very high level of food safety,How important is it to you that the food you eat on a typical day...,5.35,mean on 1 to 6 scale,2,590,Omnivores and flexitarians in the Vietnamese sample,4.59,Switzerland mean,0.76,CON-08,VN-direct,Medium,stated,"Difference is in scale points, not percentage points"
BAR-57,Delley et al. 2024 (BFH and VNUA),Vietnam (urban),2022,driver (food choice importance),Is nutritious,How important is it to you that the food you eat on a typical day...,5.23,mean on 1 to 6 scale,3,590,Omnivores and flexitarians in the Vietnamese sample,4.69,Switzerland mean,0.54,CON-08,VN-direct,Medium,stated,"Difference is in scale points, not percentage points"
BAR-58,Delley et al. 2024 (BFH and VNUA),Vietnam (urban),2022,driver (food choice importance),Is affordable,How important is it to you that the food you eat on a typical day...,4.96,mean on 1 to 6 scale,4,590,Omnivores and flexitarians in the Vietnamese sample,3.54,Switzerland mean,1.42,CON-08,VN-direct,Medium,stated,"Difference is in scale points, not percentage points"
BAR-59,Delley et al. 2024 (BFH and VNUA),Vietnam (urban),2022,driver (food choice importance),Is in line with my culture,How important is it to you that the food you eat on a typical day...,4.39,mean on 1 to 6 scale,5,590,Omnivores and flexitarians in the Vietnamese sample,3.4,Switzerland mean,0.99,CON-08,VN-direct,Medium,stated,"Difference is in scale points, not percentage points"
BAR-60,"Good Growth, Faunalytics, MFA social listening 2025",Six SEA countries (Vietnam 73 posts),about 2024,barrier (social media mentions),"Health concerns (nutrition, protein, energy doubts)",Not applicable (coded X posts),22.8,% of barrier mentions,1,584,"Coded posts, six countries",,,,CON-05,VN-adjacent,Low,revealed,Vietnam too few barrier mentions to rank (5.5% of all barrier mentions)
BAR-61,"Good Growth, Faunalytics, MFA social listening 2025",Six SEA countries (Vietnam 73 posts),about 2024,barrier (social media mentions),Cost,Not applicable (coded X posts),16.2,% of barrier mentions,2,584,"Coded posts, six countries",,,,CON-05,VN-adjacent,Low,revealed,Vietnam too few barrier mentions to rank (5.5% of all barrier mentions)
BAR-62,"Good Growth, Faunalytics, MFA social listening 2025",Six SEA countries (Vietnam 73 posts),about 2024,barrier (social media mentions),Cultural norms and religion,Not applicable (coded X posts),12.0,% of barrier mentions,3,584,"Coded posts, six countries",,,,CON-05,VN-adjacent,Low,revealed,Vietnam too few barrier mentions to rank (5.5% of all barrier mentions)
BAR-63,"Good Growth, Faunalytics, MFA social listening 2025",Six SEA countries (Vietnam 73 posts),about 2024,barrier (social media mentions),Negative perceptions of vegans and advocates,Not applicable (coded X posts),9.6,% of barrier mentions,4,584,"Coded posts, six countries",,,,CON-05,VN-adjacent,Low,revealed,Vietnam too few barrier mentions to rank (5.5% of all barrier mentions)
BAR-64,"Good Growth, Faunalytics, MFA social listening 2025",Six SEA countries (Vietnam 73 posts),about 2024,barrier (social media mentions),Over-processing,Not applicable (coded X posts),8.4,% of barrier mentions,5,584,"Coded posts, six countries",,,,CON-05,VN-adjacent,Low,revealed,Vietnam too few barrier mentions to rank (5.5% of all barrier mentions)
BAR-65,"Good Growth, Faunalytics, MFA social listening 2025",Six SEA countries; Vietnam rank order identical,about 2024,driver (social media mentions),Health benefits,Not applicable (coded X posts),43,% of motivation mentions,1,584,"Coded posts, six countries",,,,CON-05,VN-adjacent,Low,revealed,"Vietnam ranks: health 1, animal protection 2, environment 3"
BAR-66,"Good Growth, Faunalytics, MFA social listening 2025",Six SEA countries; Vietnam rank order identical,about 2024,driver (social media mentions),Animal protection,Not applicable (coded X posts),17,% of motivation mentions,2,584,"Coded posts, six countries",,,,CON-05,VN-adjacent,Low,revealed,"Vietnam ranks: health 1, animal protection 2, environment 3"
BAR-67,"Good Growth, Faunalytics, MFA social listening 2025",Six SEA countries; Vietnam rank order identical,about 2024,driver (social media mentions),Environmental sustainability,Not applicable (coded X posts),12,% of motivation mentions,3,584,"Coded posts, six countries",,,,CON-05,VN-adjacent,Low,revealed,"Vietnam ranks: health 1, animal protection 2, environment 3"
BAR-68,"Ly and Ly 2025, Hanoi students",Vietnam (Hanoi students),2024,driver (regression),Health consciousness,Extended TPB scales,0.474,standardised beta on intention,1,246,"University students, Hanoi",,,,CON-13,VN-direct,Low,stated,Small convenience sample; environment negative
BAR-69,"Ly and Ly 2025, Hanoi students",Vietnam (Hanoi students),2024,driver (regression),Social norms,Extended TPB scales,0.35,standardised beta on intention,2,246,"University students, Hanoi",,,,CON-13,VN-direct,Low,stated,Small convenience sample; environment negative
BAR-70,"Ly and Ly 2025, Hanoi students",Vietnam (Hanoi students),2024,driver (regression),Animal welfare concern,Extended TPB scales,0.118,standardised beta on intention,3,246,"University students, Hanoi",,,,CON-13,VN-direct,Low,stated,Small convenience sample; environment negative
BAR-71,"Ly and Ly 2025, Hanoi students",Vietnam (Hanoi students),2024,driver (regression),Environmental concern,Extended TPB scales,-0.092,standardised beta on intention,4,246,"University students, Hanoi",,,,CON-13,VN-direct,Low,stated,Small convenience sample; environment negative
BAR-72,"Ly and Ly 2025, Hanoi students",Vietnam (Hanoi students),2024,driver (regression),Religious beliefs,Extended TPB scales,not significant,standardised beta on intention,,246,"University students, Hanoi",,,,CON-13,VN-direct,Low,stated,Small convenience sample; environment negative
BAR-73,"Decision Lab, healthy eating","Vietnam (major cities, Gen Y and Gen Z)",about 2021 to 2022,barrier (healthy eating in general),Lack of time to cook and prepare healthy food,Not retrieved,45,% of respondents,1,828,Gen Y and Gen Z urban online,,,,CON-18,VN-direct,Low,stated,Adjacent: not about plant-based products
BAR-74,"Decision Lab, healthy eating","Vietnam (major cities, Gen Y and Gen Z)",about 2021 to 2022,barrier (healthy eating in general),Healthy food is expensive,Not retrieved,41,% of respondents,2,828,Gen Y and Gen Z urban online,,,,CON-18,VN-direct,Low,stated,Adjacent: not about plant-based products
BAR-75,"Ha, Shakur and Pham 2019, Hanoi",Vietnam (Hanoi),about 2017,driver (food safety worry),"Strong worry about food safety (drug residues in meat, heavy metals, GMO)",Not retrieved,95,% of respondents,,not retrieved,Hanoi consumers,,,,CON-39; CON-05,VN-direct,Low,stated,Secondary figure via CON-05
BAR-76,"Chia et al. 2024, Singapore",Singapore,about 2021 to 2022,driver (WTP),Concern about drug residues in meat raises willingness to pay for alternative proteins,Not retrieved,significant positive,direction only,,1224,Singapore Multi-Ethnic Cohort adults,,,,CON-21,VN-adjacent,Medium,stated,Transfer assumption: residue fear is at least as strong in Vietnam
BAR-77,Nguyen M.Q. et al. 2024 (RD-32),"Vietnam (Hanoi and Ho Chi Minh City, 18 to 25)",about 2023 to 2024,barrier,"Flavour, safety and price were the most prominent considerations for a by-product protein bar",Not retrieved,unranked,qualitative,,179,Aware young adults in scope,,,,RD-32,VN-direct,Low,stated,
