actor_id,actor,audience,type,country_or_region,stated_interests,key_quote,vietnam_or_sea_focus,demand_relevance,source_ids,evidence_label,confidence,notes
AIS-A11,Thai Union,investors,corporate venture and seafood incumbent,Thailand; global,"Strategy 2030 (Nov 2024) grows pet care, frozen, culinary and ingredients; alternative proteins sit in the third pillar, exploring new frontiers.",new technologies and ideas like new aquaculture ecosystems or alternative proteins,Southeast Asia; no Vietnam alternative-protein activity found,Medium: a regional strategic that has moved alternative protein out of its growth pillars narrows the trade-sale exit Part I assumes.,AIS-23,VN-adjacent,Medium,Status of its 2019 venture fund in 2024 to 2026 not found.
AIS-A12,Charoen Pokphand Foods (Meat Zero),investors,corporate incumbent with alternative-protein brand and partnerships,Thailand; Vietnam operations (C.P. Vietnam),"Launched Meat Zero and a cultured-meat partnership with Future Meat for Asian markets (2021 to 2022). In Vietnam, seven Meat Zero chay SKUs (minced, roast pork, bologna; 90 g to 1 kg) are listed on Kamereo, a B2B supplier to restaurants, cafes and hotels: 1 kg minced at VND 244,000, 200 g roast at VND 35,000.","We are catching up with healthy food trend and nutrition foods in accordance with consumer needs (CPF, 2022)",Vietnam (imported chay SKUs on a B2B platform),"High: a regional incumbent sells analogues into Vietnam labelled chay through a HoReCa channel, competing with TPP-02 and TPP-04 and with any domestic textured-protein customer.",AIS-24; AIS-25; AIS-26,VN-direct,Low,"Kamereo pages show metadata only: listing date, stock and protein content not visible. Part VI launches_exits.csv LE-09 records Meat Zero as not found."
AIS-A13,CJ CheilJedang,investors,corporate incumbent and strategic investor,"South Korea; Vietnam (CJ Foods Vietnam, CJ Cau Tre)","Co-invested in Shiok Meats (2021, package); sells bibigo chay dumplings in Vietnam (package LE-25); April 2026 partnership with Bach Hoa Xanh (2,700+ stores) to make bibigo a national brand; Vietnam sales about sevenfold since 2016 (company figure). No plant-based mention in 2026.",will serve as an important stepping stone for Bibigo to become a 'national brand' in Vietnam,Vietnam,"Medium: buyer, co-packer or competitor for chay and plant-protein products; now concentrating on K-food volume through modern trade.",AIS-27,VN-direct,Medium,Overlaps with the incumbents group; included here as a corporate investor.
AIS-A14,Next Gen Foods (TiNDLE Foods),startups,plant-based chicken scale-up,Singapore HQ and R&D; sells in US and Europe,Raised a USD 100 million Series A (2022). In July 2025 its CEO said products were still 50% dearer than meat; in November 2025 it announced private label only from 2026 and the divestment of its US business and focused on Europe to cut marketing cost and improve unit economics.,"The fundamental issue is that there is no real underlying consumer demand to shift away from meat (co-founder Andre Menezes, 2025)",Singapore base; no Vietnam; not selling in Southeast Asia in 2025,"High: a Singapore-founded scale-up abandoned the consumer-brand model for private label, the same logic Part VI reaches for Vietnam.",AIS-28; AIS-29,general,Medium,
AIS-A15,Green Rebel Foods,startups,plant-based meat startup,Indonesia (domiciled Singapore); Southeast Asia,"Makes plant-based meat for regional dishes (rendang, satay) and grows through foodservice partners (Starbucks, IKEA, Domino's); raised USD 12.5 million (PPTI, Feb 2026) or USD 10.5 million (DealStreetAsia, Jan 2026) from existing backers; AgFunder is an investor.",Foodservice partnerships have played a central role in the company's expansion,"Indonesia, Singapore; no Vietnam operations reported","High: the one Southeast Asian plant-meat startup that raised in 2026 did so on foodservice volume and local cuisines, the model Part VI recommends.",AIS-30; AIS-31; AIS-32,VN-adjacent,Medium,Two amounts recorded; not averaged.
AIS-A16,Growthwell Foods,startups,plant-based food maker with traditional vegetarian roots,"Singapore; Johor, Malaysia","Plant-based nutrition for Asian palates, 'accessible and affordable'; manufacturing in Johor since 1989 (Growth Well Industry) plus Singapore; own brands include traditional vegetarian lines; supplies chefs and F&B makers; sells in Singapore, Malaysia, Australia, Indonesia with planned Southeast Asian expansion.",plant-based nutrition for Asian palates,Southeast Asia; Vietnam not named,High: a regional analogue of a Vietnamese chay maker turned alternative-protein supplier; a competitor or partner for Vietnamese chay and textured-protein buyers.,AIS-33,VN-adjacent,Medium,2026 shareholder changes reported behind a paywall; not used.
AIS-A17,INNOHAS,startups,plant-based meat OEM and brand,South Korea,Makes OEM and private-label products for food companies and retailers plus its own brand; claims 90% revenue growth in 2023 and profitability since 2021 (company claims); planned Vietnam and Southeast Asia products with local production after the VinaCapital investment (2024).,(none demand-specific found),Vietnam planned (2024); no launch found by 2026,Medium: shows the OEM model investors backed for Vietnam; the missing launch is itself a demand signal worth explaining.,AIS-16,VN-direct,Low,Package ECO-65 and VCO-31 cover the same deal.
AIS-A18,Avant Meats and Umami Bioworks (cultivated seafood; Vinh Hoan-linked),startups,cultivated seafood startups,Hong Kong; Singapore,"Avant's Singapore unit declared voluntary winding-up in January 2026; the Hong Kong parent remains registered and sells Zellulin skincare peptides from fish cells. Umami Bioworks (merged with Shiok Meats in 2024) sells cultivated seafood as pet food (EU registration; Singapore launch, 2025) and signed a skincare and supplements partnership with Nippon Barrier Free (Japan) at the end of 2025. Vow, a comparator, moved to co-manufacturing in 2026.","As the cultivated meat industry has evolved, so have we (Avant, Jan 2026)","Singapore, Hong Kong, Japan; Vinh Hoan holds or held stakes; Minh Phu signed an MOU with Shiok (package)","Medium: first revenues come from skincare and pet food, not seafood buyers; the Vietnamese exporters' options look stale.",AIS-34; AIS-35; AIS-36; AIS-37,VN-adjacent,Medium,Vinh Hoan's current holdings not verified (Part VI OQ-206).
AIS-A19,"Angel Yeast, with its Vietnamese distributor ACC (Asia Ingredients Group)",manufacturers,Chinese yeast-protein maker and Vietnamese ingredient distributor,China; Vietnam,"ACC and Angel Yeast held a seminar in May 2025 introducing yeast protein to Vietnamese food and nutrition makers for bakery, beverages, dairy and plant-based foods, with sampling and planned Innovation Days at customer sites.",Yeast Protein as a breakthrough ingredient that supports product innovation and sustainable growth for the domestic food industry,Vietnam (direct B2B marketing),"High: a novel fermentation protein from a Chinese incumbent is already being pushed into the Vietnamese buyers Part VI names for TPP-06; no buyer, price or volume disclosed.",AIS-38,VN-direct,Medium,"Supplier, not a startup; included as the ingredient competitor Part VI does not name."
AIS-A20,"Vietnamese founder cohort: Emmay (Nam Tuoi Cuoi), VMEAT, Kashew, Ong Tempeh",startups,domestic alternative-protein and plant-food startups,Vietnam,"Emmay: mushroom and mycelium foods (pate, banh mi filling, floss), 30+ products, 1.5 to 2 t a month, exports about 10% of revenue (UK, Australia, India, Netherlands); in 2022, 80% of revenue came from wholesale distribution and supermarkets. VMEAT (2021): 70% of revenue from F&B (its founders also run a chay noodle chain), over 90% of raw materials imported, VND 4 billion for 49% from two Shark Tank investors. Kashew: wholesale to restaurants, hotels, cafes and caterers. Ong Tempeh: founded 2023, Hanoi branch September 2025, sells to Sheraton, iVegan and restaurants and online.","What we lacked were advisers ... in target import countries ... as well as the capital needed to execute our plans (Emmay founder, 2025)",Vietnam; small exports,"High: revealed founder channel choices (foodservice and wholesale first, exports small, imported inputs) that Part VI does not use; these are the domestic deal pipeline investors would see.",AIS-39; AIS-40; AIS-41; AIS-42; AIS-43,VN-direct,Low,Company-reported figures. ThinkZone hosted Emmay's 2021 pitch (package CAP-15); outcome unknown. VMEAT shows no activity after 2022 (package).
