question_id,actor_ids,audience,question,decision_it_informs,part_vi_coverage,where_in_part_vi,evidence_strength,better_answer_changes_decision,decision_value,notes
AIS-Q11,AIS-A04; AIS-A16; AIS-A19,investors,"Is any Vietnamese food maker trialling yeast, fungal or mycelium protein as a functional ingredient, and at what price relative to egg and dairy proteins?","Whether T9 and TPP-06 are investable, and whether Chinese suppliers will occupy the slot first",partly,ch26.2 (price rungs); ch26.6 (clean negative on buyers); ch24.3,weak,yes,High,Supplier push exists (AIS-38); buyer pilots unknown.
AIS-Q12,AIS-A02; AIS-A03; AIS-A04; AIS-A05; AIS-A07,investors,"Can a Vietnam-first alternative-protein company reach venture-scale revenue from domestic demand alone, or must it sell regionally or export from the start?",Fund fit and domicile (Vietnam company or Singapore holding),partly,ch28.3 (about USD 57 million ingredient pool in 2035 for all makers; exports 2.5 kt of protein); ch27,moderate,yes,High,The whole 2035 benchmark pool is about USD 57 million a year; one line earns about USD 9 million of revenue (our calculation). Better Bite avoids locally focused brands (AIS-13).
AIS-Q13,AIS-A06; AIS-A07; AIS-A10,investors,"What revenue, growth, margins and funding do Vietnam's existing alternative-protein startups show, and does any meet a seed or Series A bar?",Whether a Vietnamese deal pipeline exists at all,not answered,Not in Part VI; Part I ch04 and Appendix E list startups,weak,maybe,Medium,
AIS-Q14,AIS-A05; AIS-A08; AIS-A09; AIS-A10,investors,"Is there an anchor feed buyer, like Vinh Hoan for Entobel, for a non-insect microbial feed ingredient, at a price and trial result that supports a DFI co-investment?",DFI ticket and structure for T2 and T3,partly,ch27.5 (export feed standards pull); ch29.3 T2 and T3 rows; feed demand mainly in Part I Appendix H,weak,yes,High,Part VI's demand work is food-led; ch28 puts feed outside its scope.
AIS-Q15,AIS-A09; AIS-A10,investors,"How much meat protein, and how much CO2e, does each target product profile displace per tonne sold in Vietnam?",Whether a venture passes DFI or climate-VC impact screens (ADB Ventures: 80% strong climate impact),answered,ch28.2 displacement factors by route; ch28.4; ch28.6,weak,yes,High,"Part VI answers the meat part: import substitution (R1, most benchmark demand) displaces no meat; hybrids 0.9; canteens 0.8. It gives no emissions per tonne, and brief-investors does not draw the implication that T1 may fail impact screens."
AIS-Q16,AIS-A09; AIS-A10,investors,"Is there an institutional nutrition buyer (school meals in stunting provinces, public programmes) that would anchor a low-cost plant or blended protein product?",Design of a blended-finance or DFI programme,partly,"ch25.3 (schools price-capped, animal-protein target); ch21.2 (child stunting); OQ-160; OQ-219",moderate,maybe,Medium,
AIS-Q17,AIS-A14; AIS-A15; AIS-A20,startups,"How seasonal are B2B orders from chay makers and chay foodservice around the lunar calendar, and how much stock and working capital must a supplier carry?",Cash planning and launch timing,partly,"ch22.2 (retail uplift 2 to 3 times in specialist channels, 15 to 40% in mainstream retail in lunar month 7)",weak,maybe,Medium,No B2B order data. Monthly trade data could also help split food from feed (feed has no lunar cycle).
AIS-Q18,AIS-A01; AIS-A02; AIS-A03; AIS-A04,investors,"Which alternative-protein categories show revealed, repeat demand in Southeast Asia (plant milk, blends, yeast protein, textured protein) rather than stated interest?",Regional thesis and portfolio allocation,partly,ch23.5 to 23.7; ch24.2 to 24.4; Appendix AG,moderate,maybe,Medium,Part VI is strong on plant milk and on analogue plateaus abroad; thin on B2B ingredient repeat.
AIS-Q19,AIS-A11; AIS-A12; AIS-A13,investors,"Do incumbents with Vietnamese operations (C.P. Vietnam, CJ Foods Vietnam, Thai Union partners) plan plant or hybrid lines in Vietnam, and would they buy from startups or make in-house?",Corporate partnership and co-investment,partly,ch26.3 (no plant product from Masan or C.P. found); ch26.6; launches_exits.csv (bibigo chay; Meat Zero not found),weak,yes,Medium,
AIS-Q20,AIS-A14; AIS-A16; AIS-A20,startups,"Would EU and UK private-label buyers source plant-based foods from Vietnamese startups or co-packers at private-label prices, given that Emmay already exports about 10% of revenue?","Export-first strategy (TPP-08, TPP-09)",partly,ch27.2; ch27.6; TPP-08; DMV-11,weak,yes,Medium,"TiNDLE's move to private label in Europe (AIS-28) confirms private label is where European volume is, and that it is price-driven."
AIS-Q21,AIS-A01; AIS-A02; AIS-A04; AIS-A06; AIS-A20,startups,"What demand proof (contracted revenue, repeat orders, letters of intent, pilot volumes) do regional seed and Series A investors require in 2025 to 2026, and which Vietnamese ventures meet it?","Which investors a founder approaches, and when",out of scope,Not in Part VI; Part I ch07 lists investors without thresholds,none,yes,Medium,
AIS-Q22,AIS-A15; AIS-A16; AIS-A20,startups,"Do Vietnamese buyers accept domestic mushroom or mycelium ingredients in familiar dishes at the same price as imported textured soy, and do they reorder?",Product choice for fungal startups,partly,ch24.3 (clean label requirement); OQ-173,weak,yes,Medium,A deeper version of a wave-6 question.
AIS-Q23,AIS-A04; AIS-A20,startups,"Which certificates (non-GMO, halal, food-safety systems) do buyers require before a first order, and what do they cost a small supplier?",Pre-revenue budget,partly,ch26.4 (requirements listed; costs absent),moderate,maybe,Low,
AIS-Q24,AIS-A07; AIS-A17,investors,"What happened to INNOHAS's planned Vietnamese products and local production, and did the investor's local network produce a buyer?",Whether OEM partnerships work as a Vietnam entry route,partly,ch23.5 (no launch found),weak,maybe,Low,
AIS-Q25,AIS-A03; AIS-A04; AIS-A08; AIS-A20,investors,"What duty do Chinese and ASEAN textured protein, soy isolate and gluten actually pay into Vietnam under ACFTA and ATIGA, as opposed to the 3 to 10% MFN rates?",Whether a domestic line has any tariff protection; T1 margin,partly,ch26.2 (MFN rates only); Part I Appendix G and tariffs.csv (ATIGA and ACFTA 'not verified'),moderate,yes,High,"If preferential rates are zero, the protection Part VI cites does not exist for the main competitor."
