actor_id,actor,audience,type,country_or_region,stated_interests,key_quote,vietnam_or_sea_focus,demand_relevance,source_ids,evidence_label,confidence,notes
APR-A11,FAO Viet Nam,international,UN specialised agency,Viet Nam; Asia-Pacific,"Country Programming Framework support for green, low-emission, climate-resilient agrifood systems; technical support to the NAP-FST and the FST Partnership; food safety (FSTWG).",FAO Representative Vinod Ahuja: the next five years 'will be decisive for the country's food system transformation'.,Viet Nam,"Medium. FAO would care about protein diversification only through the NAP-FST lens (food balance sheets, healthy diets, emissions). Needs a measurable indicator and data, not product evidence.",APR-25; APR-30; APR-02,VN-direct,Medium,FAO CPF 2022 to 2026 document not read in this session.
APR-A12,UNICEF Viet Nam,international,UN fund,Viet Nam,"Country Programme 2027 to 2031: child and adolescent nutrition; stunting (18% in 2023, 32% among ethnic minorities); overweight; school food and complementary food standards; marketing restrictions on unhealthy foods.","CPD para 18: 'Preventive nutrition interventions will be prioritized through strengthened school food and complementary food standards, and marketing restrictions'.",Viet Nam,"High for public meals. UNICEF will help write the school food standards that decide whether processed plant or blended proteins count as healthy. It would need micronutrient, sodium and processing-level data and cost-effectiveness against eggs and milk.",APR-27; APR-44,VN-direct,High,No UNICEF document mentions plant or alternative protein.
APR-A13,WHO Viet Nam,international,UN specialised agency,Viet Nam; Western Pacific,"NCD risk factors: sugary drinks, salt, tobacco, alcohol; health taxes (supported the 2025 excise on sugary drinks).",WHO Representative Angela Pratt: taxes deliver a 'win-win' of lower consumption of harmful products and new revenue.,Viet Nam,"Low to Medium. WHO's diet agenda in Viet Nam is fiscal and nutrient-based (sugar, salt). It would ask whether plant analogues and chay products add salt or sugar, and whether plant drinks fall under the sugary-drink excise.",APR-21; APR-20; APR-19,VN-direct,Medium,No WHO Viet Nam document on protein sources found.
APR-A14,World Bank,international,multilateral development bank,Viet Nam; East Asia,"Agrifood net zero (Recipe for a Livable Planet): middle-income countries to cut livestock and rice emissions; in Viet Nam, low-methane rice and carbon credits (1 million hectare programme); historic focus on stunting among ethnic minorities.",Recipe: 'High-income countries can also shift subsidies away from high-emitting food sources'.,Viet Nam; East Asia,Low. Current Viet Nam agrifood climate work is rice. Diet shift is framed for rich countries. A demand-side protein case would need a cost per tonne CO2e that beats rice and livestock measures.,APR-28; APR-29; APR-44,general,Medium,Recipe full report not read; press release only.
APR-A15,Asian Development Bank (ADB),international,multilateral development bank,Asia-Pacific; Viet Nam,"Food security and agrifood transformation: USD 40 billion 2022 to 2030; nutrition a quarter of new commitments (metadata); 'integrating nutrition and healthy diets' (Viet Nam Country Director, Jan 2026).",ADB Viet Nam: transition requires 'integrating nutrition and healthy diets' alongside value chains and resilience.,Viet Nam,Medium. ADB can lend to nutrition-tagged value chains. It would need an investable chain (for example domestic soy or mung bean to tofu and textured protein for public meals) with offtake evidence.,APR-25; APR-31,VN-adjacent,Medium,No ADB alternative-protein document found.
APR-A16,European Union (Delegation to Viet Nam; DG INTPA; EVFTA),international,regional organisation and trade partner,Viet Nam,"Global Gateway (EUR 560 million for transport and clean energy, Mar 2026); green transition incl. ecological agriculture in the Mekong Delta; EVFTA trade preferences (covered in Part VI ch27).",Global Gateway package for 'sustainable transport and clean energy'.,Viet Nam,"Low. No EU food or nutrition programme in Viet Nam found. Its demand relevance runs through EVFTA buyers (Part VI ch27), not development finance.",APR-32; APR-33,VN-direct,Medium,SWITCH-Asia food-consumption work found only as a 2022 regional webinar; not used.
APR-A17,USDA Foreign Agricultural Service,international,foreign government agency,Viet Nam,"Market access for US beef, dairy, whey proteins, soybeans and tree nuts; market intelligence (GAIN reports).",Tree nut imports grew with 'rising demand for plant-based milk among younger consumers'.,Viet Nam,"Low to Medium. USDA's interest is exports of animal and plant protein inputs. It tracks plant-milk demand because it lifts US almond sales. Would need volume trends, not policy.",APR-34,VN-direct,Medium,Package already uses GAIN reports for supply data.
APR-A18,ACIAR (Australia),international,foreign government research funder,Viet Nam; Southeast Asia,"Nutrition-sensitive agriculture, food safety and One Health; smallholder livestock (beef, goats, chicken); ethnic minority livelihoods.","Priority to 'enhance human health and nutrition through research on integrated farming systems, nutrition-sensitive agriculture, food safety and One Health'.",Viet Nam,Low to Medium. Would fund legume or smallholder protein research only with a nutrition or livelihood outcome and a market; public meals in upland schools are a possible buyer.,APR-35,VN-direct,Medium,"Plan year read is 2023 to 24; package says 23 ACIAR projects in Viet Nam, none on alternative protein."
APR-A19,GAIN and the Global Diet Quality Project,international,foundation and data initiative,Global; Viet Nam data only,"Diet quality measurement (DQQ, with Gallup and Harvard); workforce nutrition; fortification; demand for underconsumed foods.",Viet Nam DQQ: pulses eaten by 40% of adults and processed meats by 18% on the previous day (Dec 2021 to Jan 2022).,No Viet Nam country programme found; Viet Nam covered by the DQQ,"Medium. The DQQ is a cheap, repeatable diet-tracking tool that could add a chay-day or plant-protein module. GAIN's workforce nutrition work matches the canteen channel but lists no Viet Nam activity.",APR-36; APR-37,VN-direct,Medium,DQQ sample size and 2023 to 2024 rounds for Viet Nam not checked.
APR-A20,School Meals Coalition and WFP,international,intergovernmental coalition and UN agency,Global; Southeast Asia,"Every child a healthy school meal by 2030; regional summit (Siem Reap, Nov 2024). WFP: school meals and fortification globally.","SEA summit aim: 'every child in Southeast Asia and beyond receives a healthy and nutritious school meal, every day, by 2030'.",Viet Nam not a member; no current WFP Viet Nam country page found,Low for now. No route for international school-meal finance or technical support to Viet Nam found. Would matter only if Viet Nam joins.,APR-38; APR-39; APR-40,VN-adjacent,Low,Negative findings from web pages; could be confirmed by a call.
