question_id,actor_ids,audience,question,decision_it_informs,part_vi_coverage,where_in_part_vi,evidence_strength,better_answer_changes_decision,decision_value,notes
APR-Q12,APR-A04; APR-A01,policy,"Will the post-2030 livestock strategy raise or cap the 58 to 62 kg carcass meat per person target (already reached on FAO 2023 supply of 60.5 kg), and how will it square with MOH advice to moderate red meat?",Framing of policy coherence; whether a protein-diversification line fits the next livestock strategy,not answered,ch21.1 compares intake with MOH guidance but not with MAE targets,moderate,maybe,Medium,
APR-Q13,APR-A06; APR-A05,policy,"Are plant milks eligible for school-milk programmes and tenders, given the dairy strategy's push for 'school meals with fresh milk' and domestic-production conditions?",Whether plant-milk protein (T10) has a public channel,partly,ch25.3 (Hanoi school milk tender; Decision 1340),weak,maybe,Medium,
APR-Q14,APR-A06,policy,"What criteria would MOIT use to treat a product as a 'healthy food' for trade promotion under the Nutrition Strategy, and would a higher-protein chay or plant food qualify?",Access to trade-promotion support for domestic protein foods,not answered,Not in Part VI,none,maybe,Low,
APR-Q15,APR-A07,policy,"Is there a named adopter (caterer, school programme or processor) for a publicly funded nutrition-and-food S&T project on plant or blended protein?",MOST funding of application research,partly,ch26 buyer map; ch29.4 DMV-08 (buyer panel),moderate,maybe,Low,
APR-Q16,APR-A08; APR-A12; APR-A18,policy,"In border and upland provinces, what do school kitchens spend on protein per pupil under Decree 339 (VND 450,000 a month plus 8 kg rice), and would a fortified plant or blended protein raise protein and zinc per VND compared with eggs and pork?",Whether a stunting-focused product or programme is worth designing,partly,ch21.2 states the upland protein gap; OQ-160 open,none,yes,High,
APR-Q17,APR-A08; APR-A09; APR-A11,policy,"Do the provincial FST plans in Dong Thap and Son La include protein diversification, legume value chains or public-meal procurement as priority actions?",Entry point for pilots with provincial working groups,not answered,Not in Part VI,none,maybe,Medium,
APR-Q18,APR-A09; APR-A15,research,"Can domestic soy and mung bean supply tofu, textured protein and legume dishes for public meals below the landed cost of imported equivalents, and at what volumes?",ADB or VAAS value-chain investment; TPP-01 sourcing,partly,ch29.2 TPP-01 and TPP-05; Part I crop data,moderate,maybe,Medium,
APR-Q19,APR-A09; APR-A10,research,"Which food-environment levers (public procurement standards, labelling, marketing limits) most change protein choices in Vietnamese canteens and schools?",Which policy ask to prioritise,partly,ch29.4 'set rules'; ch23; app-ag global benchmarks; Food-EPI not cited,moderate,maybe,Medium,Global evidence moderate (app-ag); no Vietnamese tested evidence.
APR-Q20,APR-A10; APR-A11,research,"What protein-source mix would a Vietnamese sustainable healthy reference diet imply (plant share of protein, red meat ceiling), and has BDN or NIN modelled it?",Whether a quantitative protein target is feasible in the next nutrition strategy (after 2030),not answered,Not in Part VI,none,maybe,Medium,
APR-Q21,APR-A10; APR-A08,research,"Did pork food-safety scares (ASF 2019, the 2026 school case) shift institutional buyers to tofu or eggs, measured in purchase records?",Whether food safety is a lever for plant protein in institutions,partly,ch21.5 (households switched to chicken); ch25.3 (school case),moderate,maybe,Medium,Household evidence moderate; institutional evidence none.
APR-Q22,APR-A01; APR-A08; APR-A10,policy,"What do factory canteens serve under MOH's shift-meal guidance (Decision 1982, Chapter V) and NIN's shift-meal guidance, and do these set protein or meat norms per meal?",Canteen product profile TPP-04; whether to seek inclusion in NIN shift-meal guidance,partly,ch25.3 canteen budgets; OQ-215,weak,yes,High,Food-EPI (APR-26) says workplace meal guidelines are not legally binding.
APR-Q23,APR-A12; APR-A01,international,"Would UNICEF-supported school food standards classify textured plant proteins, chay mock meats or blended meat products as processed foods to limit?",Whether blends can enter schools at all; reformulation on sodium and additives,not answered,Not in Part VI; ch23 notes consumers want fewer additives,none,yes,High,Decision 3958 already lists processed meats and sausages among foods to limit.
APR-Q24,APR-A12; APR-A14; APR-A15,international,"For ethnic minority children, is a fortified plant or blended protein food more cost-effective per unit of protein and zinc than eggs or milk delivered through schools?",Whether development funders include plant protein in stunting programmes,partly,ch21.2 separates the two protein problems; no cost-effectiveness analysis,none,yes,High,
APR-Q25,APR-A13; APR-A01,international,"What is the sodium and sugar content of Vietnamese chay foods, plant analogues and plant drinks against salt targets and the excise threshold?",WHO and MOH endorsement risk; reformulation,not answered,"ch22 and DMV-07 cover protein, additives and meat DNA, not sodium",none,maybe,Medium,
APR-Q26,APR-A14,international,Is demand-side protein diversification cheaper per tonne CO2e than the rice and livestock measures the World Bank finances in Viet Nam?,Inclusion in climate operations,out of scope,Part V carbon_cost_per_protein.csv; brief-international climate caution,weak,no,Low,
APR-Q27,APR-A15; APR-A09,international,"Is there an investable, nutrition-tagged protein value chain (domestic legumes to tofu and textured protein for public meals) with committed public buyers?",ADB nutrition-tagged lending,partly,"ch25, ch26, TPP-01, TPP-04",moderate,maybe,Medium,
APR-Q28,APR-A16,international,Would EU buyers source Vietnamese plant-based foods under EVFTA if they are made from imported soy protein or gluten (rules of origin)?,EU trade-promotion support,partly,ch27; TPP-08; OQ-244,weak,maybe,Low,Covered by the export stream.
APR-Q29,APR-A17,international,"Is Vietnamese plant-milk demand growing enough to sustain tree nut and soy protein imports, and is it shifting from soy to nut and pea proteins?",US export promotion,partly,ch23 (plant milk); ch26 (Vinamilk pea protein),moderate,no,Low,
APR-Q30,APR-A18; APR-A08,international,"Would upland boarding and border schools buy locally grown legumes or legume products for lunches under Decrees 66/2025 and 339/2025, and at what prices?",Smallholder legume projects with a public buyer,not answered,Not in Part VI,none,maybe,Medium,
APR-Q31,APR-A19; APR-A02,international,"Can the DQQ or the next General Nutrition Survey add a chay-day, tofu and plant-protein module at low cost, and what do existing DQQ microdata show on pulses and processed meat by group?",Cheapest national tracking of plant-protein occasions; complements DMV-01,not answered,DQQ not used; DMV-01 proposes a chay-day question in a probability survey,none,yes,High,
APR-Q32,APR-A20,international,Would joining the School Meals Coalition bring Viet Nam technical or financial support for school menu standards?,Whether funders route school-meal support through the coalition,not answered,Not in Part VI,none,no,Low,
APR-Q33,APR-A01; APR-A02,policy,"Which protein-content and 'giàu đạm' (high-protein) claim rules apply to plant and blended foods, given the 2026 RNI's 50 g reference value?",Label rules DMV-13 to DMV-15; product claims,partly,ch21.2 (50 g reference); ch24; ch29.4,moderate,maybe,Medium,
