instrument_name,number,type,issuer,date_issued,effective_date,status,topic,relevance_to_alt_protein,key_provisions,url,source_ids,evidence_label,confidence,notes
Circular on management and use of food additives,24/2019/TT-BYT,circular,Ministry of Health,2019-08-30,2019-10-16,in force (later amendments not verified),food additives,Medium: route for new additives/enzymes from fermentation,Permitted list (Appendix 1) based on CAC/JECFA; new-use or unlisted additives need registration at VFA (Art 11(2)); proposals with safety evidence (Art 17(3)(d)); no GM-specific provision seen,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Thong-tu-24-2019-TT-BYT-quy-dinh-ve-quan-ly-va-su-dung-phu-gia-thuc-pham-360857.aspx,REG-25,VN-direct,Medium,Enzyme/processing aid pathway not visible in extract
Decree on goods labelling (as amended),43/2017/ND-CP amended by 111/2021/ND-CP,decree,Government,2017-04-14 (43/2017); 2021-12-09 (111/2021),2022-02-15 (111/2021),in force,labelling,Medium: plant-based naming and allergen/GM information,"Food labels: name, ingredients, nutrition (if any), warnings, dates, storage, use; no rule found on meat/milk terms for plant-based products",https://thuvienphapluat.vn/van-ban/Thuong-mai/Nghi-dinh-111-2021-ND-CP-sua-doi-Nghi-dinh-43-2017-ND-CP-497099.aspx,REG-26,VN-direct,Medium,Absence of naming rules based on texts read; allergen specifics not verified
Decree on quality management and development policy for Halal products and services,127/2026/ND-CP,decree,Government,2026-04-06,2026-06-01,in force,halal certification,Medium: export route to Muslim-majority markets,Voluntary certification; certifiers register with MOST; >=2 Muslim assessors; TCVN/international standards; budget support for export-oriented testing/certification; mutual recognition,https://thuvienphapluat.vn/van-ban/Thuong-mai/Nghi-dinh-127-2026-ND-CP-quan-ly-chat-luong-va-chinh-sach-phat-trien-san-pham-dich-vu-Halal-700477.aspx,REG-27,VN-direct,High,"Silent on GM, fermentation or cell-based ingredients"
Scheme to strengthen international cooperation to build the Halal industry to 2030,10/QD-TTg,decision,Prime Minister,2024 (date not verified),2024,in force (not read),halal industry,Low-Medium,Strategic scheme; content not read in this wave,https://thuvienphapluat.vn/van-ban/,REG-28,VN-direct,Low,Identified via database listing only
National standard on halal certification bodies,TCVN 13888:2023,standard,MOST (announced by Decision 2018/QD-BKHCN),2023-09-11,2023,in force,halal,Low-Medium,Requirements for halal certification bodies,https://thuvienphapluat.vn/page/tim-van-ban.aspx?keyword=Halal&sort=1,REG-28;REG-27,VN-direct,Medium,Referenced in Decree 127/2026
Law on Animal Husbandry,32/2018/QH14 (amended by 146/2025/QH15),law,National Assembly,2018-11-19,2020-01-01,in force (amended from 2026-01-01),livestock feed,"High: feed market entry, feed trials",Art 32 pre-circulation requirements; Art 33-34 information publication (compound self; supplement appraised); Art 36 MAE publishes traditional feeds and single raw materials; Art 37 feed trials for 'new substances' and certain first imports; Art 41 imports,https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Luat-Chan-nuoi-2018-353242.aspx,REG-29;REG-43,VN-direct,High,Effective date from background knowledge
Law amending 15 laws in agriculture and environment,146/2025/QH15,law,National Assembly,2025-12-11,2026-01-01,in force,"husbandry, fisheries, biodiversity, environment amendments","Medium: amended feed information rules, gene-edited definition, ABS permit article","Amends Law on Animal Husbandry, Fisheries, Biodiversity (gene-edited organism definition; Art 57 access permits), Environmental Protection, and 11 others",https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Luat-sua-doi-15-Luat-trong-linh-vuc-Nong-nghiep-Moi-truong-2025-146-2025-QH15-675259.aspx,REG-43,VN-direct,Medium,Fisheries changes not visible in extract
Decree guiding the Law on Animal Husbandry,"13/2020/ND-CP (amended by 46/2022, 32/2026)",decree,Government,2020-01-21,2020-03-05,amended,"feed factory conditions, imports, quality inspection",High,"Art 9-11 factory conditions/certificates (Art 11 = on-site assessment, NOT feed trials); Art 13 import of unpublished feed; Art 15 recognition of foreign trial procedures; Art 17-18 inspection",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Nghi-dinh-13-2020-ND-CP-huong-dan-Luat-Chan-nuoi-433295.aspx,REG-30,VN-direct,High,Corrects prior lead that Art 11 requires khao nghiem
Decree amending Decree 13/2020,46/2022/ND-CP,decree,Government,2022-07-13,2022-07-13 (not verified),in force (amended),feed,Low,Not read,https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Nghi-dinh-46-2022-ND-CP-sua-doi-Nghi-dinh-13-2020-ND-CP-465918.aspx,REG-31,VN-direct,Low,Identified only
Decree amending decrees on livestock and veterinary,32/2026/ND-CP,decree,Government,2026-01-21,2026-01-21,in force,feed procedures decentralised,High: provinces now handle key feed procedures,Provincial chair: feed factory certificates; supplement feed appraisal 15 working days; import licence for unpublished feed 10 working days; import quality inspection,https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Nghi-dinh-32-2026-ND-CP-sua-doi-cac-Nghi-dinh-linh-vuc-chan-nuoi-thu-y-690743.aspx,REG-35,VN-direct,High,"Its 5-working-day recognition figure relates to waste-treatment products (Art 31), not feed"
Circular guiding the Law on Animal Husbandry on feed,21/2019/TT-BNNPTNT (amended by 31/2022/TT-BNNPTNT),circular,MARD (now MAE),2019-11-28,2020-01-01 (not verified),in force (as amended),feed permitted raw-material list,High: decides which new proteins need no trial,"Art 6: permitted list Appendix VI, updated annually by DLPAH; App VI I.1.2 includes 'con trung' (insects) and invertebrates; I.2 aquatic plants 'rong, reu, tao, beo'; II probiotics incl. S. cerevisiae",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Thong-tu-21-2019-TT-BNNPTNT-huong-dan-Luat-Chan-nuoi-ve-thuc-an-chan-nuoi-429679.aspx,REG-32,VN-direct,High,Whether still the operative list after Circular 94/2025 not confirmed
Circular amending Circular 21/2019,31/2022/TT-BNNPTNT,circular,MARD,2022-12-30,2023-02-20,in force,feed permitted list,High: added yeast and fermentation by-products,"Adds inactive yeasts (irradiated, hydrolysed, Torula/Candida, molasses-grown, dried) and amino-acid production by-products; minerals; microorganisms",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Thong-tu-31-2022-TT-BNNPTNT-sua-doi-Thong-tu-21-2019-TT-BNNPTNT-huong-dan-Luat-Chan-nuoi-549081.aspx,REG-33,VN-direct,High,Precedent for listing fermentation-derived feed materials
Circular guiding the Law on Animal Husbandry,94/2025/TT-BNNMT,circular,MAE,2025-12-31,2026-01-01,in force,feed trials (khao nghiem),High: the procedure for new feed raw materials,"Ch. III Art 13-14: protocol approval by DLPAH (council within 15 working days, decision 5 working days); trial duration per protocol; result recognition 15+5 working days; recognised result is basis to add to permitted list",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Thong-tu-94-2025-TT-BNNMT-huong-dan-Luat-Chan-nuoi-688796.aspx,REG-34,VN-direct,High,"Replaces parts of Circulars 22/2019, 21/2024, 09/2025"
National technical regulation on feed safety,"QCVN 01-190:2020/BNNPTNT (Circular 04/2020; amended 08/2020, 05/2021)",standard,MARD,2020,2020-07-01,in force,feed contaminant limits,High: conformity basis for any feed raw material,"Max limits: As, Cd, Pb, Hg, aflatoxin B1, E. coli, Salmonella, HCN, gossypol etc.; conformity declaration for traditional single raw materials",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Van-ban-hop-nhat-12-VBHN-BNNPTNT-2023-Thong-tu-Quy-chuan-ky-thuat-thuc-an-chan-nuoi-597118.aspx,REG-36,VN-direct,High,Consolidated as 12/VBHN-BNNPTNT (2023-12-25)
Law on Fisheries,18/2017/QH14 (amended by 146/2025/QH15),law,National Assembly,2017-11-21,2019-01-01,in force,aquafeed,High,Art 31 pre-circulation requirements and MAE permitted list; Art 35 trials for items not on list; Art 36 import licence only for unlisted items for trial/research/fairs,https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Luat-Thuy-san-338490.aspx,REG-37,VN-direct,High,2025 amendments to aquafeed articles not visible
Decree guiding the Law on Fisheries,"26/2019/ND-CP (amended by 37/2024, 309/2025)",decree,Government,2019-03-08,2019-03-08 (not verified),amended,"aquafeed trials, factory conditions",High,"Art 27-28 factory conditions/certificates; Art 31 trial facility conditions; Art 32 trial dossier (forms 17.NT-19.NT), 20-day appraisal, recognition within 10 working days",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Nghi-dinh-26-2019-ND-CP-huong-dan-Luat-Thuy-san-356284.aspx,REG-38;REG-39,VN-direct,High,Decree 309/2025 only suspends minimum catch sizes
"Circular on management of aquatic breeds, aquafeed and environmental treatment products",16/2026/TT-BNNMT,circular,MAE,2026-03-09,2026-03-09,in force,aquafeed permitted list,High: decides which proteins need aquafeed trials,"Appendix II permitted list (chemicals, biologicals/microorganisms, vitamins, enzymes, raw materials); DFFI updates list (Art 19(1)(d)); replaces Circular 26/2018 and parts of 01/2022 and 10/2025",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Thong-tu-16-2026-TT-BNNMT-quan-ly-giong-thuy-san-san-pham-xu-ly-moi-truong-nuoi-trong-thuy-san-697177.aspx,REG-40,VN-direct,Medium,Raw-material section not readable; insect/SCP listing unknown
Decree on decentralisation in agriculture and environment,136/2025/ND-CP,decree,Government,2025-06-12,2025-07-01,in force,allocation of feed/aquafeed powers,High,Provincial chair: feed factory certificates (Art 10(3)); import licence unpublished feed (Art 10(7)); imported feed inspection (Art 12(1)); aquafeed trial result recognition (Art 19(2)); aquafeed import licences (Art 18(2)),https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-dinh-136-2025-ND-CP-phan-quyen-phan-cap-trong-linh-vuc-nong-nghiep-va-moi-truong-660612.aspx,REG-41,VN-direct,High,
Decree on functions and organisation of MAE,35/2025/ND-CP,decree,Government,2025-02-25,2025-03-01,in force,institutions,"Medium: who owns feed, fisheries, GMO, carbon","30 units incl. Dept of Livestock Production and Animal Health; Dept of Fisheries and Fisheries Surveillance; Dept of Quality, Processing and Market Development; Dept of Nature Conservation and Biodiversity; Dept of Climate Change",https://thuvienphapluat.vn/van-ban/Bo-may-hanh-chinh/Nghi-dinh-35-2025-ND-CP-nhiem-vu-quyen-han-co-cau-to-chuc-Bo-Nong-nghiep-va-Moi-truong-645010.aspx,REG-42,VN-direct,High,
Law on Corporate Income Tax,67/2025/QH15,law,National Assembly,2025-06-14,2025-10-01 (applies from 2025 tax period),in force,tax incentives,High for PF/high-tech plants; Medium for agri-processing,"Art 12(2) incentive sectors incl. high-tech application, high-tech (agri) enterprises, agri/aquatic processing; Art 13 10% for 15 years; Art 14 4-year exemption + 50% for 9 years; Art 4 exempt income",https://thuvienphapluat.vn/van-ban/Doanh-nghiep/Luat-Thue-thu-nhap-doanh-nghiep-2025-so-67-2025-QH15-580594.aspx,REG-45,VN-direct,Medium,Guided by Decree 320/2025/ND-CP (not read)
Law on Investment,143/2025/QH15,law,National Assembly,2025-12-11,2026-03-01,in force,investment incentives and procedures,Medium,"Art 15 incentive sectors incl. science, technology and innovation; Art 16 Investment Support Fund; Art 28 special investment procedure in high-tech and special economic zones",https://thuvienphapluat.vn/van-ban/Dau-tu/Luat-Dau-tu-2025-so-143-2025-QH15-681550.aspx,REG-57,VN-direct,Medium,Guiding decree not read
Decree on the Investment Support Fund,182/2024/ND-CP,decree,Government,2024-12-31,2024-12-31,in force,investment support,Low: thresholds far above any alt-protein project,"Art 18: high-tech projects >= VND 12,000 bn capital or >= VND 20,000 bn revenue/yr (semiconductor/AI 6,000/10,000); R&D centres >= VND 3,000 bn with 1,000 bn in 3 years; support rates Art 19-26",https://thuvienphapluat.vn/van-ban/Doanh-nghiep/Nghi-dinh-182-2024-ND-CP-quan-ly-su-dung-Quy-Ho-tro-dau-tu-638056.aspx,REG-46,VN-direct,High,Prior thresholds confirmed
Law on High Technology (amended),133/2025/QH15,law,National Assembly,2025 (date not verified),2026-07-01 (inferred),in force (not read),high-tech status,Medium,Legal basis for Decisions 21/2026 and 23/2026,https://thuvienphapluat.vn/page/tim-van-ban.aspx?keyword=133/2025/QH15,REG-47;REG-56,VN-direct,Low,Not read; effective date inferred
List of high technologies prioritised for investment and high-tech products encouraged,23/2026/QD-TTg,decision,Prime Minister,2026-05-15,2026-07-01,in force,high-tech lists,High: precision fermentation and microbial products are listed,"Items 49 synthetic biology, 51 new-generation microbial tech, 52 tissue/cell tech in agriculture, 60 recombinant protein/enzyme production; products 92 recombinant proteins/enzymes, 100 microbial strains/products for agriculture",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Quyet-dinh-23-2026-QD-TTg-Danh-muc-cong-nghe-cao-duoc-uu-tien-dau-tu-phat-trien-701169.aspx,REG-47,VN-direct,High,Replaces Decision 38/2020/QD-TTg; no explicit alt-protein item
Former list of prioritised high technologies,38/2020/QD-TTg,decision,Prime Minister,2020-12-30,2021,replaced (by 23/2026 from 2026-07-01),high-tech lists,Low,Superseded,https://thuvienphapluat.vn/page/tim-van-ban.aspx?keyword=Danh%20m%E1%BB%A5c%20c%C3%B4ng%20ngh%E1%BB%87%20cao,REG-47,VN-direct,High,
List of strategic technologies and products,21/2026/QD-TTg,decision,Prime Minister,2026-04-30,2026-07-01,in force,strategic technology,"Low-Medium: biotech listed, no food/feed protein item",Strategic tech item 4 advanced biotechnology and biomedicine; products item 14 new biologics for livestock/aquaculture; item 16 varieties from cell tech and gene editing,https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Quyet-dinh-21-2026-Q%c3%90-TTg-Danh-muc-cong-nghe-chien-luoc-704380.aspx,REG-56,VN-direct,High,Replaces Decision 1131/QD-TTg (2025-06-12)
"Law on Science, Technology and Innovation",93/2025/QH15,law,National Assembly,2025-06-27,2025-10-01,in force,"S&T, sandbox, R&D support",High: only general legal basis for a novel-food pilot,"Art 21-23 controlled testing (up to 3+3 years, liability exemptions); Art 9 risk acceptance; Art 27-28 commercialisation; Art 34 enterprise R&D support",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Luat-Khoa-hoc-Cong-nghe-va-Doi-moi-sang-tao-2025-so-93-2025-QH15-581164.aspx,REG-48,VN-direct,High,No food-specific implementing decree found
"Resolution on pilot special mechanisms for S&T, innovation and digital transformation",193/2025/QH15,resolution,National Assembly,2025-02-19,2025-02-19 (parts to 2030-12-31),in force,pilot mechanisms,Low: sandbox limited to LEO satellites,Art 4 risk acceptance; Art 9 tax deduction for R&D donations; Art 13 LEO satellite pilot; guided by Decree 88/2025,https://thuvienphapluat.vn/van-ban/Cong-nghe-thong-tin/Nghi-quyet-193-2025-QH15-thi-diem-co-che-dac-biet-tao-dot-pha-phat-trien-khoa-hoc-cong-nghe-644644.aspx,REG-49,VN-direct,High,
"Resolution on breakthroughs in S&T, innovation and digital transformation",57-NQ/TW,resolution,Party Central Committee,2024-12-22,2024-12-22,in force,S&T policy,Medium: political mandate for sandboxes and R&D spending,2030: R&D 2% of GDP (>60% from society); >=3% of budget to S&T; >40% firms innovating; pilot mechanisms for testing new technology under state supervision,https://thuvienphapluat.vn/van-ban/Cong-nghe-thong-tin/Nghi-quyet-57-NQ-TW-2024-dot-pha-phat-trien-khoa-hoc-cong-nghe-doi-moi-sang-tao-637245.aspx,REG-50,VN-direct,High,
Resolution on biotechnology development,36-NQ/TW,resolution,Party Central Committee,2023-01-30,2023-01-30,in force,biotech policy,Medium: mandate but no protein-specific target,2030: biotech industry 7% of GDP; replace >=50% of imported biotech products; top 10 in Asia; 2045: 10-15% of GDP; calls for biotech product standards,https://thuvienphapluat.vn/van-ban/Cong-nghe-thong-tin/Nghi-quyet-36-NQ-TW-2023-phat-trien-cong-nghe-sinh-hoc-phuc-vu-phat-trien-dat-nuoc-553957.aspx,REG-51,VN-direct,High,
Government action programme for Resolution 36-NQ/TW,189/NQ-CP,resolution,Government,2023-11-16,2023-11-16,in force,biotech action tasks,Medium,"Task III.1 agri-biotech sector scheme (MARD, Q4/2024); II.2 outstanding mechanisms; II.3 biotech product standards; III.10 genetic resources",https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-quyet-189-NQ-CP-2023-thuc-hien-Nghi-quyet-36-NQ-TW-ung-dung-cong-nghe-sinh-hoc-587024.aspx,REG-52,VN-direct,High,Delivery status not verified
Resolution on private economy development,68-NQ/TW,resolution,Party Central Committee,2025-05 (not verified),2025,in force (not read),private sector,Low-Medium,Not read in this wave,,none (background knowledge; not read),VN-direct,Low,Background knowledge only
Scheme for developing the biotech industry in agriculture to 2030,"429/QD-TTg (MARD plan 4489/QD-BNN-KHCN, 2024-12-18)",decision,Prime Minister; MARD,2021-03-24,2021-03-24,in force,agri-biotech,Medium,"+20% agri-biotech firms by 2025, +30% by 2030; training targets; complete legal documents on biotech product safety",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Quyet-dinh-429-QD-TTg-2021-phat-trien-cong-nghiep-sinh-hoc-nganh-nong-nghiep-den-2030-468663.aspx,REG-53,VN-direct,Medium,HCMC plan Decision 2949/QD-UBND (2026-05-19)
"Livestock Development Strategy 2021-2030, vision 2045",1520/QD-TTg,decision,Prime Minister,2020-10-06,2020-10-06,in force,livestock and feed strategy,Medium: supports domestic feed materials and biotech,"2030: feed design capacity 40-45 Mt, output 30-32 Mt; replace imported materials; use by-products; biotech for feed",https://thuvienphapluat.vn/van-ban/Linh-vuc-khac/Quyet-dinh-1520-QD-TTg-2020-phe-duyet-chien-luoc-phat-trien-chan-nuoi-giai-doan-2021-2030-454658.aspx,REG-54,VN-direct,High,
"National Action Plan on transparent, responsible and sustainable food systems transformation to 2030",300/QD-TTg,decision,Prime Minister,2023-03-28,2023-03-28,in force,food systems,Low-Medium: no alt-protein item,-10% food-system GHG vs 2020; post-harvest loss cut 0.5-1%/yr; circular economy; healthy diets,https://thuvienphapluat.vn/van-ban/The-thao-Y-te/Quyet-dinh-300-QD-TTg-2023-chuyen-doi-he-thong-luong-thuc-thuc-pham-minh-bach-560858.aspx,REG-55,VN-direct,Medium,
Decree guiding the Law on Environmental Protection (as amended),08/2022/ND-CP (amended by 05/2025/ND-CP and 48/2026/ND-CP),decree,Government,2022-01-10,2022-01-10,amended,"EIA, environmental permits",Medium: siting of fermentation/feed plants,Appendix II lists pollution-risk production types by capacity; EIA for Group I and some Group II; 48/2026 adds phased EIA and permit adjustment rules,https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-dinh-48-2026-ND-CP-sua-doi-Nghi-dinh-08-2022-ND-CP-huong-dan-Luat-Bao-ve-moi-truong-692989.aspx,REG-58,VN-direct,Medium,Capacity thresholds not readable
Decree on GHG mitigation and ozone layer protection (as amended),06/2022/ND-CP amended by 119/2025/ND-CP,decree,Government,2025-06-09 (119/2025),2025-08-01 (per extraction),in force,carbon market,Low,"Pilot carbon market to 2028; quotas for thermal power, steel, cement; offsets up to 30%; Article 6 mechanisms",https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-dinh-119-2025-ND-CP-sua-doi-Nghi-dinh-06-2022-ND-CP-giam-nhe-phat-thai-khi-nha-kinh-625021.aspx,REG-59,VN-direct,Medium,GHG inventory facility list not verified
Law on Biodiversity,20/2008/QH12 (amended by 146/2025/QH15),law,National Assembly,2008-11-13,2009-07-01,in force (amended from 2026-01-01),"biodiversity, GMO, ABS",Medium,"Gene-edited organism definition (no new genetic material); Art 57 access permits for foreign, commercial and export access",https://thuvienphapluat.vn/chinh-sach-phap-luat-moi/vn/ho-tro-phap-luat/tu-van-phap-luat/106569/luat-da-dang-sinh-hoc-moi-nhat-2026-va-tong-hop-van-ban-huong-dan,REG-43;REG-61,VN-direct,Medium,
Decree on access to genetic resources and benefit sharing,59/2017/ND-CP,decree,Government,2017-05-12,2017-07-01 (not verified),in force,ABS / Nagoya,Medium-High for firms commercialising Vietnamese strains,"Licence for commercial access (Art 7); council <=90 days, decision 15 days (Art 13); commune certifies contract (Art 11); benefit sharing >=1% annual revenue or >=2% IP transfer value (Art 22); derivatives defined (Art 3(6))",https://thuvienphapluat.vn/van-ban/Tai-nguyen-Moi-truong/Nghi-dinh-59-2017-ND-CP-quan-ly-tiep-can-nguon-gen-chia-se-loi-ich-tu-viec-su-dung-nguon-gen-325332.aspx,REG-60,VN-direct,High,Licensing now with MAE after merger
Law amending the Law on Intellectual Property,131/2025/QH15,law,National Assembly,2025-12-10,2026-04-01,in force,IP,Low-Medium,AI-created subject matter; text and data mining exception; non-physical designs; no change to biotech exclusions seen,https://thuvienphapluat.vn/van-ban/So-huu-tri-tue/Luat-So-huu-tri-tue-sua-doi-2025-so-131-2025-QH15-675267.aspx,REG-62,VN-direct,Medium,Earlier amendment Law 07/2022/QH15 not read
Singapore Food Safety and Security Act novel food requirements,FSSA 2025; FSSA (Authorisations: Administration) Regulations 2025,law,Singapore Parliament; Singapore Food Agency,2025,2025-11-28 (novel food approval enforceable),in force,novel food,High as comparator,Novel food = no >=20-year history of food use; pre-market approval; cultivated meat and precision fermentation covered; self-assessment checklists,https://www.sfa.gov.sg/food-information/novel-food,REG-63,VN-adjacent,High,Comparator for policy options
