name,field_changed,old_value,new_value,source_ids,evidence_label,confidence,notes
VISSAN,ownership,State-linked; SATRA major shareholder (not verified),"SATRA (Saigon Trading Group) 54,829,878 shares (67.8% of 80,914,300; data updated 3 Aug 2020); Masan MEATLife 20,180,026 shares (24.9%; updated 7 Dec 2021). UPCoM: VSN since 21 Oct 2016. Charter capital VND 809.05 bn after reduction on 28 May 2024",VCO-13,VN-direct,Medium,Aggregator of filings; percentages computed by VERIFY-CO. Shareholding dates are 2020-2021: check the 2025 annual report.
VISSAN,founded,1970,1974 (Vietstock history); 1989 renamed; 2016 equitised,VCO-13,VN-direct,Low,"Conflict with company homepage (1970, ECO-32). Not material."
VISSAN,scale_indicators,"2026 target 20,350 t processed food","Adds: about 100 t of livestock and poultry per day to the domestic market (Vietstock profile); market cap VND 1,092 bn (23 Sep 2026)",VCO-13; VCO-15,VN-direct,Low,Plant list and locations still not published on the company site (VCO-14).
"VAL (Vietnam Agribusiness Co., Ltd; Bunge-Wilmar JV)",plant_location / capacity,"VAL Phu My 2.6 Mt/yr (formulation wave, press)","Confirmed: legal name Cong ty TNHH Kinh doanh nong san Viet Nam; Phu My 1 Industrial Park, Phu My ward, HCMC (former Ba Ria-Vung Tau); 2.6 Mt soybeans/yr and nearly 2 Mt soybean meal/yr after a USD 100 m second line (Dec 2025); target 30% of domestic soybean meal market",VCO-16,VN-direct,Medium,Press report of company figures. No food-grade or protein-isolate line mentioned. Ownership split not stated.
Vinasoy (QNS),capacity 2025,390 m L/yr in 3 plants (2022),"No 2025 figure found (Vinasoy site, QNS pages on cafef and Vietstock returned no data)",VCO-17,VN-direct,Low,Unverified. Vietstock history confirms Bac Ninh plant (2012) and second Bac Ninh plant plus soy research centre (2013).
Entobel,partnerships,Skretting 'partnered with Entobel' (unverified),"Skretting Vietnam and Entobel announced a strategic partnership on 26 Nov 2025; commercial production of Skretting shrimp feed containing Entobel H-Meal started in November 2025, described as the first commercial insect-meal shrimp feed in Vietnam. H-Meal footprint about 1 kg CO2 per kg (claimed)",VCO-28,VN-direct,Medium,Company release. No inclusion rate or volume disclosed.
Entobel,status / certifications,Active; >200 staff (2026),"Certified B Corp (announced 5 Feb 2025). No 2025-2026 output, feedstock or Indonesia update on company news page; Mekong Capital page still says 'preparing' Indonesia expansion, no site or date",VCO-18; VCO-19,VN-direct,Medium,"Output remains undisclosed. Treat 11,000 t/yr as design capacity only."
Entobel,funding (IFC),IFC USD 2.5 m (IFC-46903),"Confirmed IFC-46903 'CnC-Entobel': USD 2.5 m, instrument described as an 'Upstream Collaboration Agreement'; project cost USD 32.5 m; board 23 Feb 2023; status Active; 10,000 t BSF plant in Ba Ria-Vung Tau (now HCMC). IFC-45769 could not be found (IFC portal 404; not on EWS)",VCO-20,VN-direct,Medium,"Secondary host of IFC data. 'Upstream' suggests IFC project-development funding, not a standard equity or loan; check the IFC SII page."
Cricket One,status,Last evidence Oct 2024,Unchanged: company site did not load (timeout). No 2025-2026 evidence found,none,VN-direct,Low,Unverified. Check Dong Nai business registry or LinkedIn.
An Nhien Foods (Pham Gia Phat),founded / scale,Founded 2014; TVP meats,"Confirmed: brand founded late 2014; company Cong ty TNHH TM XNK Pham Gia Phat (tax code 0312857463), 40/2/19 Tran Thi Do, Hiep Thanh ward (former District 12), HCMC; soy TVP and barley-based chay; Halal; exports to South Korea, Europe, North America (claimed); sold in Co.op, Big C (GO!), Lotte Mart, Aeon, WinMart, Bach Hoa Xanh and e-commerce",VCO-26,VN-direct,Medium,Page also gives a 28 May 2019 date for the company (probably a re-registration). Factory location and capacity not disclosed.
Minh Phu Seafood Corp,cultivated MOU status,MOU with Shiok (Jul 2022); no progress found,"MOU signed 26 Jul 2022: joint R&D centre (site 'not yet available'), feasibility of cultivated crustacean plants in Vietnam, no timeline or amounts. UMAMI Bioworks (successor to Shiok) lists partners Asahi Kasei, Maruha Nichiro, Steakholder Foods, Cell-Agritech and Triple Bar; no Vietnamese partner",VCO-22; VCO-23,VN-direct,Medium,Absence of evidence supports 'dormant'. Confirm with Minh Phu IR.
Vinh Hoan Corp (Vinh Technology Pte Ltd),alt-protein activity 2024-2026,"Avant, Shiok stakes; Entobel offtake","No 2024-2026 investor update on Avant, Shiok/UMAMI or Entobel found on the Vinh Hoan investor page; VINH Technology still listed as a division",VCO-24,VN-direct,Low,Absence on a paginated page; stake values not disclosed.
INNOHAS,VN status,No evidence of VN launch (2024 plan),"Company website (Korean) has no mention of Vietnam, VinaCapital or a Vietnamese partner (checked 23 Sep 2026)",VCO-31,VN-direct,Low,Supports 'no Vietnam launch yet'.
Nestle Harvest Gourmet (brand),VN status,Not in wave 1,harvestgourmet.com redirects to a domain-for-sale page (23 Sep 2026). No evidence of Vietnam sale found,VCO-25,general,Low,Suggests the brand's web presence has lapsed; not proof of discontinuation. Nestle Vietnam brand page returned 404.
GFI APAC ecosystem (Vietnam page),Vietnam entries,2 Vietnamese companies (names not rendered),"2 companies, both plant-based; founded 2019 and 2023; one dairy (cheese, other dairy), one meat/seafood and ingredients. No Vietnamese researchers, research centres, courses or student groups listed",VCO-21,VN-direct,Medium,Neither founding year matches Emmay (2017) or Kashew (2020); names still unknown. Company list URL returned 404.
Uni-President Vietnam,plant_location,Not stated,"Founded 1999 in Binh Duong. Sites: Song Than 2 Industrial Zone (HCMC, former Binh Duong; HQ), Dong Thap (former Tien Giang), Khanh Hoa (former Ninh Thuan), Da Nang (former Quang Nam). Lines: aquafeed, livestock feed, wheat flour, instant noodles, beverages",VCO-29,VN-direct,Medium,Site does not say which site makes aquafeed or give capacities. Province mapping by VERIFY-CO (2025 merger).
Skretting Vietnam,plant_location,"Not stated; about 100,000 t/yr supplied","Office: Alpha Tower, 151-153 Nguyen Dinh Chieu, Xuan Hoa ward, HCMC. Plant locations and capacity not given on site. 2026 launches: Jade+ shrimp feed (23 Apr 2026), LifeStart catfish fry feed (16 Apr 2026)",VCO-27,VN-direct,Medium,Parent: Nutreco. Nutreco Vietnam CEO Duco Onnes (Nov 2025).
Grobest Vietnam,status,2 plants in Dong Nai (trade press),"Grobest (founded Taiwan 1974, about 3,000 staff) lists Vietnam among 8 operating countries; released 2024 Sustainability Report on 30 Mar 2026; no Vietnam plant data on site",VCO-30,VN-adjacent,Low,Plant locations remain from wave-1 trade press.
C.P. Vietnam; Tongwei Vietnam; Haid (Sheng Long); Ajinomoto Vietnam; OmniFoods; Beyond Meat; Meat Zero (CPF); Unilever Vegetarian Butcher; Cricket One; LC Foods; Thanh Dung; Deep Blue Island; Emmay; Ong Tempeh; Vinamit; Vinh Hao and other spirulina,all,as wave 1,"Not re-verified: sites unavailable, DNS failures or not reached within the call budget",none,VN-direct,Low,"See verify_co.md, 'Open questions'."
