fact,part_vi_claim_affected,where,effect,source_ids,evidence_label,confidence,demand_evidence_type
"Vinamilk promotes Green Farm Cao Đạm dairy (25 g protein in two 250 ml cartons) with milk protein described as more easily absorbed than plant-origin protein, while its AR 2025 says plant milk is repositioned as a health solution, not a substitute for animal milk.",Vinamilk is the named first buyer for a local non-soy isolate (TPP-05; T10 pull raised to 4),ch26.3; ch26.7; ch29.2 TPP-05; ch29.3 T10,adds,AIB-03; AIB-01,VN-direct,Medium,stated
"Vinamilk's AR 2025 says traceability and label compliance are becoming 'mandatory rather than a competitive advantage' and gives supplier criteria as price competitiveness, quality and other standards, with geographic diversification of supply.",'All buyers: certificates of analysis and traceable origin ... raised the documentation bar',ch26.4,strengthens,AIB-01,VN-direct,High,stated
"QNS 2025: Vinasoy sold 264 million litres (up 4%), revenue up 14%; Veyo nut milks up 50%; premium Fami up 36%; e-commerce up 135%; export revenue up 126%; 2026 plan to expand new categories and invest in soybean sourcing; rising plant-nutrition marketing costs flagged as a risk.",Plant milk is the proven modern plant category; Vinasoy soy-milk growth 13% in 9M 2025,ch22.3; ch23; launches_exits.csv LE-20 and LE-21,strengthens,AIB-05; AIB-06,VN-direct,High,revealed
"Vinasoy repositioned in May 2026 on 'creating wholesome nutrition from soybeans and seeds' and runs its own soybean breeding (2,072 lines; VINASOY 05 over 2.5 t per ha).",Vinasoy listed as a plausible buyer of a rice or mung bean isolate,ch26.7; AE.3,adds,AIB-06; AIB-07,VN-direct,Medium,stated
"Vinasoy donates school soy milk: 13.8 million boxes to 906,848 pupils since 2016, and 1 million boxes to 16,700 pupils in 30 schools for 2026 to 2027.",'The school milk precedent points towards animal protein',ch25.3,adds,AIB-06; AIB-08,VN-direct,Medium,revealed
"Saigon Co.op sells more than 2,500 private-label SKUs made with more than 100 Vietnamese manufacturers, 15 to 30% below comparable products, including Co.op Select chay dumplings; WinCommerce targets 25 to 50 'Mega House Brands'.",Channel ranking for higher-protein chay and hybrids lists branded routes only; private label appears only for export (TPP-08),ch25.6; AD.6; ch29.2,adds,AIB-28; AIB-29; AIB-30; AIB-12,VN-direct,Medium,stated
"WinCommerce's 2026 AGM targets about 6,100 stores by end 2026 and 13,000 by 2030, adding at least 1,500 a year.",retail_structure.csv: 'wincommerce target stores 2030: 15000 (inferred)',AD.1; retail_structure.csv,contradicts,AIB-12; AIB-13,VN-direct,Medium,stated
"AEON plans 30 malls in Vietnam by fiscal 2030 (9 now) and revenue over JPY 300 billion, with Vietnam taking 60% of its ASEAN investment; Lotte Mart has 17 stores and targets industrial towns; Central Retail runs 43 GO! hypermarkets, 16 mini go!, 9 Tops and 23 Lan Chi.",Store counts: AEON malls 8 (2025-09); Lotte Mart 15 (2025); GO! Big C 39 (2025-03),AD.1; retail_structure.csv,updates,AIB-31; AIB-33; AIB-34,VN-direct,Medium,revealed
"Cholimex Food's 2025 revenue was about VND 4,050 billion (USD 156 million) and profit about VND 356 billion; 2026 targets about VND 4,500 billion and VND 390 billion.","Buyer map scale: 'Revenue VND 2,513 billion (2021)'",AE.3,updates,AIB-21,VN-direct,Medium,revealed
"Charoen Pokphand Foods reports Meat Zero alternative proteins for flexitarians and a soy 'PLANT-TEC' texturing process registered as a petty patent; in Vietnam it reports shelf-stable retort sausages and owns a caterer, Dzine Food Solutions.",C.P. Vietnam: 'we found no plant-based product or statement in Vietnam'; LE-09 open,AE.3; launches_exits.csv LE-09,adds,AIB-19,VN-adjacent,High,stated
"Ajinomoto Vietnam's School Meal Project (with MOET and the National Institute of Nutrition) supplies menu software with 120 menus and more than 360 lunch dishes and covered 4,262 schools in 62 provinces by Nov 2022.",Ajinomoto treated as a seasoning and flavour buyer only; nobody named as setting school menus,AE.3; AE.4; ch25.3,adds,AIB-24,VN-direct,Medium,revealed
"Acecook's July 2025 strategy moves into ready-to-eat foods and snacks and adds real meat and vegetables and micronutrients, with no protein claim.","'Instant noodles: volume, not yet protein'",ch26.3,strengthens,AIB-18,VN-direct,Medium,stated
"USDA's attaché reports Vietnam imported USD 3.9 billion of tree nuts in 2025 (up 40%), partly for plant milk among younger consumers.",Plant milk is the modern plant category that sells,ch23; ch26.3,adds,AIB-40,VN-direct,Medium,stated
