question_id,actor_ids,audience,question,decision_it_informs,part_vi_coverage,where_in_part_vi,evidence_strength,better_answer_changes_decision,decision_value,notes
AIB-Q12,AIB-A06; AIB-A16,manufacturers,"Does the rural minimart expansion (WinCommerce 70% rural openings; Bach Hoa Xanh 3,612 stores) carry frozen chay and freezer space into rural areas?",Whether frozen chay reaches rural buyers or only dry formats do,partly,ch25.1,weak,maybe,Medium,
AIB-Q13,AIB-A07; AIB-A12; AIB-A08; AIB-A11,manufacturers,"What are chay-line volumes by maker, and what did 2026 Vu Lan launches (Vissan há cảo chay and hoành thánh chay) sell?",Size of the B2B textured-protein opportunity (TPP-01),partly,ch22.3; OQ-170; OQ-181,weak,maybe,Medium,OQ-181 can close: no chay target at Vissan 2026 AGM (AIB-14; AIB-15).
AIB-Q14,AIB-A08; AIB-A12; AIB-A07,manufacturers,"Do animal-health import rules in Japan, Korea, the US, the EU and Australia make chay versions the easier exportable format for Vietnamese frozen dumplings and spring rolls?",Whether export pull gives incumbents a revealed reason to scale chay lines,not answered,ch27.3 covers tariffs and labels only,none,maybe,Medium,CJ's parent cited animal-disease limits on meat exports as a plant-based rationale (AIB-17).
AIB-Q15,AIB-A09; AIB-A05,manufacturers,Will noodle and convenience-food makers add protein to ready-to-eat lines as they diversify (Acecook's 2025 strategy; Masan Consumer)?,Whether noodles become a protein ingredient market,partly,ch26.3; OQ-237,moderate,no,Low,AIB-18 shows diversification without protein claims.
AIB-Q16,AIB-A10,manufacturers,"Will C.P. Vietnam localise Meat Zero or PLANT-TEC soy texturing, or use its Vietnamese caterer (Dzine) and shops to test blends?",Whether a vertically integrated multinational becomes a hybrid maker in Vietnam,partly,launches_exits.csv LE-09; ch26.3,weak,maybe,Medium,AIB-19.
AIB-Q17,AIB-A11,manufacturers,"Would chay SMEs switch to a domestic textured protein at Chinese landed parity, and what minimum order, qualification time and certificates would they require?",Go or no-go for T1 first sales,partly,ch26.7; TPP-01; OQ-231; OQ-232; OQ-233; OQ-242,weak,yes,High,Part VI's best-covered question; still inferred.
AIB-Q18,AIB-A11; AIB-A17,manufacturers,Does a numeric protein claim (giàu đạm) move chay sales at the same shelf price?,Whether to reformulate chay to 10 to 12 g per 100 g (TPP-02),partly,app-ai AI.1; ch22.7; OQ-185; DMV-06,none,yes,High,No tested evidence exists.
AIB-Q19,AIB-A13; AIB-A14,manufacturers,Do multinationals' climate and regenerative-sourcing commitments create any procurement preference for local or lower-carbon protein ingredients in Vietnam?,Whether ESG is a demand driver for incumbents,not answered,,weak,maybe,Low,AIB-22 shows sourcing targets on existing commodities only.
AIB-Q20,AIB-A14; AIB-A20,manufacturers,"Who writes school menus in practice (school, caterer, education department, menu software such as Ajinomoto's School Meal Project), and can a higher-protein plant dish be added to the menu banks?",Where to intervene to get plant or blended protein onto school plates,not answered,ch25.3,none,yes,High,"AIB-24 (4,262 schools by Nov 2022); AIB-39."
AIB-Q21,AIB-A15,manufacturers,Is there bakery or snack demand for an egg-replacing or protein-claim ingredient?,Whether to design TPP-06 for bakery,partly,ch26.7 rank 7,weak,no,Low,AIB-25 shows no protein messaging.
AIB-Q22,AIB-A18,manufacturers,"Do foreign-owned retailers' private brands (AEON Topvalu, Tops) and ready-meal kitchens (Lotte Yorihada near industrial zones) want premium plant or higher-protein chay items?",Premium retail as a showcase or niche channel,partly,AD.6,weak,no,Low,
AIB-Q23,AIB-A19,manufacturers,"Do multinational caterers apply group plant-based menu targets in Vietnamese contracts, and is Sodexo operating in Vietnam in 2026?",Whether a caterer with a plant-forward mandate exists as a first canteen partner,not answered,,none,maybe,Medium,AIB-38 (US page); presence unverified.
AIB-Q24,AIB-A20,manufacturers,"What protein grams and cost per protein dish do caterers use in each price tier, and how often do they already serve tofu, chay days or textured soy?",Price and protein target for TPP-04; whether canteen plant days already exist,not answered,ch25.3 inference; TPP-04; OQ-215 open,none,yes,High,"Haseca tiers VND 18,000 to 45,000 (AIB-36)."
AIB-Q25,AIB-A20; AIB-A19,manufacturers,"What do FDI factory clients (RBA, ISO 22000, brand supplier codes, Scope 3 targets) require in catering contracts, and would any ask for plant-forward or lower-carbon protein dishes?",Whether canteens are a price-only channel or have a non-price driver,not answered,,none,yes,High,"Different kind of question: the client, not the caterer or the worker."
AIB-Q26,AIB-A20; AIB-A14,manufacturers,"Under Decision 3958/QĐ-BYT and Dispatch 64, can a plant-protein or blended dish qualify on school plant-protein days, at what cost per portion and with what documents?",Whether 'do not start in schools' still holds; how to count school displacement,partly,ch25 summary; ch25.3; ch29.5; DMV-17; ch28 R4,weak,yes,High,Part VI relies on Decision 1340/2016; current guidance is AIB-39; HCMC disclosure rule AIB-42.
AIB-Q27,AIB-A20,manufacturers,"What do public hospitals and the army pay per meal or per day, and what protein substitutions do their specifications allow (tofu 120 g for 60 g of meat)? Would textured soy or a blend be accepted?",Whether hospitals and the army are early institutional buyers,not answered,ch25.3 and AD.4 report no data; OQ-220,none,maybe,Medium,AIB-44; AIB-45 now give specifications and one price anchor.
AIB-Q28,AIB-A01; AIB-A05; AIB-A07; AIB-A11; AIB-A17,manufacturers,"After the 2025 to 2026 food-safety crises, what must a new protein supplier show, and how long does qualification take?",Time to first revenue; what a startup must budget for certification,partly,ch26.4; OQ-233; DMV-08,weak,yes,Medium,"Vinamilk calls traceability 'mandatory, not a competitive advantage' (AIB-01)."
AIB-Q29,AIB-A01 to AIB-A20,manufacturers,"Has any incumbent set a quantified plant-based, protein-diversification, animal-welfare or meat-emissions target that would pull alternative protein?",Whether any demand-side commitment exists to anchor plays,partly,"ch26.6 (clean negative on novel-protein pilots, not on targets)",moderate,no,Medium,This paper finds none in 2025 AR and 2026 AGM material read.
AIB-Q30,AIB-A01; AIB-A05; AIB-A07; AIB-A10,manufacturers,"Should frontier actors pitch incumbents on protein portfolio, supply security and cost rather than meat replacement, given that incumbents diversify into beef, branded pork and high-protein dairy?",Framing of every pitch to incumbents; which play language to use,not answered,ch29.5 (what not to say) is consumer-facing,weak,maybe,Medium,AIB-01; AIB-04; AIB-12; AIB-15.
