actor_id,actor,audience,type,country_or_region,stated_interests,key_quote,vietnam_or_sea_focus,demand_relevance,source_ids,evidence_label,confidence,notes
AIB-A11,"Industrial chay SMEs (An Nhien, Au Lac, Thoai An, LC Foods, SG Food and others)",manufacturers,Owner-managed chay and frozen food makers,Vietnam; some exports,"Price, safety, convenience; import textured soy, soy concentrate and gluten; certificates for exports","SG Food lists ISO 9001, HACCP, BRC and FSSC 22000 and supplies Co.opmart, AEON and WinMart (company page)",Vietnam,High: most switchable buyers of textured protein (Part VI); no strategy documents published,AIB-20,VN-direct,Low,No chay line on SG Food's own page; chay SKUs documented in the supply study retail audit.
AIB-A12,Cholimex Food,manufacturers,"Sauces, seasonings and frozen foods incl. chay seasoning kits",Vietnam; small exports incl. Middle East,Growth in revenue and profit; frozen spring rolls and dim sum; parent keeps its stake,"""con gà đẻ trứng vàng"" (the parent's description of Cholimex Food, Apr 2026)",Vietnam,Medium: frozen chay and export spring rolls could use domestic textured protein,AIB-21,VN-direct,Medium,"2025 revenue about VND 4,050 billion (USD 156 million); 2026 target about VND 4,500 billion."
AIB-A13,Nestlé Vietnam,manufacturers,Multinational food and beverage maker,Vietnam; global parent,"Net zero 2050; 50% of key ingredients (incl. soybeans, meat) from regenerative farms by 2030; MILO school sport programmes; global protein and fibre density for GLP-1 users","""50% sản lượng các nguyên liệu chủ chốt sẽ được thu mua từ những nông hộ áp dụng các thực hành nông nghiệp tái sinh"" (sustainability page)",Vietnam,Low: no stated alternative-protein interest in Vietnam,AIB-22; AIB-23,VN-direct,Medium,Global plant-based portfolio not marketed in Vietnam in sources read.
AIB-A14,Ajinomoto Vietnam,manufacturers,"Seasonings, frozen food, medical food; School Meal Project with MOET and NIN",Vietnam,"School Meal Project menu software: 120 menus, 360+ dishes; 62 provinces and 4,262 schools by Nov 2022; seasonings incl. chay mushroom seasoning","""120 thực đơn sẵn có với trên 360 món ăn không lặp lại cho bữa trưa"" (company page)",Vietnam,Medium to High: may shape what protein dishes schools serve; also flavour buyer,AIB-24,VN-direct,Medium,Part VI treats it only as a seasoning buyer.
AIB-A15,Mondelez Kinh Do,manufacturers,"Biscuits, cakes and snacks",Vietnam,"Snacking moments, nostalgia, 'real ingredients', social-media discovery","""99% coi snack là nguồn dinh dưỡng tiện lợi"" (State of Snacking 2024, cited Jul 2025)",Vietnam,Low: no protein or plant-protein interest found,AIB-25,VN-direct,Medium,Clean negative.
AIB-A16,Mobile World (MWG): Bach Hoa Xanh,manufacturers,"Grocery minimart chain, 3,612 stores Aug 2026",Vietnam,Double-digit growth; IPO 2028; USD 10 billion revenue by 2030; fresh 40% of SKUs; more branded meat and seafood,"""mục tiêu IPO vào năm 2028 và chạm mốc doanh thu 10 tỷ USD vào năm 2030"" (AGM 2026, press)",Vietnam,Medium: largest minimart reach; no supplier criteria or plant statement published,AIB-26; AIB-27,VN-direct,Medium,Supplier requirements not public.
AIB-A17,"Saigon Co.op (Co.opmart, Co.op Food, Co.opXtra)",manufacturers,Cooperative retailer with large private-label programme,Vietnam (south-focused),"More than 2,500 private-label SKUs with 100+ domestic manufacturers; three tiers; private label 15 to 30% cheaper; retailer sets standards and chooses manufacturers; sells chay private-label dumplings","""nhà bán lẻ trực tiếp tham gia từ khâu chọn nhà sản xuất, xây dựng tiêu chuẩn đến phân phối"" (Sep 2026)",Vietnam,High: private-label route for higher-protein chay or blends via co-packers; not examined in Part VI,AIB-28; AIB-29; AIB-30,VN-direct,Medium,Co.op Select chay co-packer documented in supply study app-e (GN Foods).
AIB-A18,"Foreign-owned hyper and supermarkets: Central Retail (GO!, Tops, Lan Chi), AEON Vietnam, Lotte Mart",manufacturers,"Thai, Japanese and Korean-owned retailers","Vietnam; parents Thailand, Japan, Korea","Store expansion (AEON 30 malls by FY2030; Central 10 to 12 GO! and 23 to 25 mini go!; Lotte 17 stores, industrial towns, ready-meal kitchens); private brands (Topvalu) to Japanese standards","Topvalu products ""managed according to strict Japanese standards"" (AEON Vietnam)",Vietnam,Low to Medium: premium and import-led shelf; Lotte targets factory workers,AIB-31; AIB-32; AIB-33; AIB-34,VN-direct,Medium,No plant-based statements found for Vietnam.
AIB-A19,"Multinational contract caterers (Sodexo, Dussmann, Japanese joint ventures)",manufacturers,Contract caterers,Global; Vietnam presence partly unverified,Sodexo US: plant-based menu target; Dussmann and Tan Long and Nikkotrust JV active in Vietnamese industrial catering,"""33% of our planned menu offerings plant-based"" (Sodexo US page)",Vietnam presence: Dussmann and Japanese JV reported; Sodexo unconfirmed,Medium: could carry group plant-forward menus into FDI factories if present and asked by clients,AIB-38; AIB-35,general,Low,vn.sodexo.com redirected to the Singapore site on 2026-09-25.
AIB-A20,"Vietnamese contract caterers and institutional kitchens (Haseca, Viet Nam EOC, Hoang Kim, Vinastory, Global Catering; school and hospital kitchens)",manufacturers,Contract caterers; public institutions buying meals,Vietnam,"Scale (Haseca 200,000+ meals a day); tiered prices VND 18,000 to 45,000; ISO 22000 and RBA; school rules (Decision 3958, Dispatch 64, HCMC disclosure); hospital tenders with protein gram norms; union shift-meal floors","""Hoặc Đậu hũ (Thay thế hoàn toàn cho đạm động vật): tối thiểu 120g"" (hospital patient-meal tender, 2025)",Vietnam,High: largest price-set protein channel; rules now published for schools and some hospitals,AIB-35; AIB-36; AIB-37; AIB-39; AIB-41; AIB-42; AIB-43; AIB-44; AIB-45,VN-direct,Medium,"Military ration allowance VND 72,000 a day included here as an institutional price anchor."
