name,vn_name,category,hq_province_current,plant_location,founded,ownership_country,stage,products,key_protein_inputs,scale_indicators,funding_known,website,status,source_ids,evidence_label,confidence,notes
Next Meats,Next Meats,plant-based meat,n/a (Japan),Imported,2020,Japan,startup,"Plant-based yakiniku, gyudon, karubi",Soy protein,"Sold by Classic Food Deli (Classic Fine Foods VN) at VND 52,000 per 80 g (2022)",n/a,,unknown in 2026 (checked 2026-09-23),ECO-15,VN-direct,Low,Single blog source.
CK Foods (Taiwan),CK Foods,plant-based meat,n/a (Taiwan),Imported,unknown,Taiwan,SME,150+ Buddhist-style vegetarian products,"Soy, gluten (typical; not verified)","AEON Citimart, K-Market, Mekong Gourmet, Nam An (2022)",n/a,,unknown in 2026 (checked 2026-09-23),ECO-15,VN-direct,Low,Illustrates Taiwanese 'su' vegetarian imports competing with VN do chay.
Verdino Green Foods,Verdino,plant-based meat,n/a (Romania),Imported,unknown,Romania,SME,"Sausage, burger, chicken, mince",Not stated,"AEON Citimart, K-Market, Mekong Gourmet, Nam An (2022)",n/a,,unknown in 2026 (checked 2026-09-23),ECO-15; ECO-19,VN-direct,Low,Probably the Romanian brand imported by Bewina (my inference from Bewina listed as 'Romania' products).
Ong Cha Va (canned 'Plant Based' soy luncheon meat),Ong Cha Va,plant-based meat,n/a (China),Made in China; imported,unknown,China,unknown,"Canned soy luncheon meat, smoky/original, 200 g at about VND 70,000","Soy protein (dam nanh) main ingredient group 91.5% with water, oil, salt",On Co.opmart Nha Trang shelf 6 Sep 2026,n/a,,on shelf 2026-09-06,ECO-40,VN-direct,Medium,"Field observation; origin from OSINT in field notes. About 3.3x the price per 100 g of Vissan canned chay beef (VND 35,000 vs VND 10,529 per 100 g)."
NOSA (canned soy vegetarian meat),NOSA,plant-based meat,n/a (China),Made in China; imported,unknown,China,unknown,"Canned soy vegetarian beef/luncheon, 185 g at VND 57,000","Water, soybeans 17%, soy protein 2.5%, oil, modified starch",On Co.opmart Nha Trang shelf 6 Sep 2026,n/a,,on shelf 2026-09-06,ECO-40,VN-direct,Medium,Field observation. Very low declared soy protein content (2.5%).
Impossible Foods,Impossible Foods,plant-based meat,n/a (USA),n/a,2011,USA,multinational,Impossible Burger,"Soy protein, leghemoglobin (precision fermentation)",No evidence of VN launch found,n/a,,no VN presence found (checked 2026-09-23),ECO-15,VN-direct,Low,"Absence of evidence only; Asian launches found were HK, Singapore, Macau (not re-verified this wave)."
Zhenmeat,Zhenmeat,plant-based meat,n/a (China),n/a,2019,China,startup,Plant-based meat,Soy/pea (typical),No VN evidence found,n/a,,unverified for VN (checked 2026-09-23),,general,Low,Named in brief; could not verify any VN presence (web search budget exhausted).
Unconventional (brand named in brief),Unconventional,plant-based meat,unknown,n/a,unknown,unknown,unknown,unknown,unknown,No VN evidence found,n/a,,unverified for VN (checked 2026-09-23),,general,Low,Could not identify brand owner or VN presence.
INNOHAS,INNOHAS,plant-based meat,n/a (South Korea),Korea; VN production/distribution planned,unknown,South Korea,startup,Plant-based meat alternatives,Not stated,Plans products tailored to VN/SE Asia with local production and distribution (2024 statement),"Investment by VinaCapital Ventures, amount undisclosed (Jul 2024)",,no evidence of VN launch yet (checked 2026-09-23),ECO-65,VN-direct,Low,Only VN-VC alt-protein deal found.
SaladStop! Vietnam,SaladStop!,other,Ho Chi Minh City,Restaurants,unknown (Singapore 2013),Singapore,corporate,Plant-based patties in salad chain,Chickpea and other plant protein,HCMC outlets (2022),n/a,,unknown (checked 2026-09-23),ECO-15,VN-direct,Low,Foodservice channel only.
Bewina,Bewina,distributor,Ho Chi Minh City,"n/a (importer, Le Quang Dinh / District 7 per sources)",unknown,Vietnam,SME,"Imported plant-based kielbasa, bratwurst, mince",n/a,No data,None found,,unknown (checked 2026-09-23),ECO-17; ECO-19,VN-direct,Low,Sources conflict: founder Ho Thanh Nhien importing Taiwan/US brands (NCDT 2022) vs 'Romania' products (DNT 2022).
BiaCraft,BiaCraft,distributor,Ho Chi Minh City,3 HCMC venues (2019),unknown,Vietnam,SME,Craft beer bar chain; first to serve Beyond Burger in VN (Aug 2019),n/a,3 venues,n/a,,unknown (checked 2026-09-23),ECO-16,VN-direct,Medium,HoReCa entry point for imported plant-based meat.
Annam Gourmet,Annam Gourmet,distributor,Ho Chi Minh City,Retail stores,unknown,Vietnam,corporate,"Gourmet importer-retailer carrying Beyond, Omni, Heura, Dairy-Free Down Under (2022)",n/a,Multiple stores,n/a,,active retailer; alt-protein range 2026 unverified (checked 2026-09-23),ECO-15,VN-direct,Low,
Nam An Market,Nam An Market,distributor,Ho Chi Minh City,Retail stores,unknown,Vietnam,corporate,"Gourmet retailer carrying Beyond, Omni, Heura, CK Foods, Verdino; sells tempeh",n/a,Multiple stores,n/a,namanmarket.com,active retailer (checked 2026-09-23),ECO-15,VN-direct,Low,
Classic Fine Foods Vietnam (Classic Food Deli),Classic Fine Foods,distributor,Ho Chi Minh City,n/a,unknown,UK/Singapore group (Metro heritage; not verified),multinational,Foodservice importer; sold Next Meats (2022),n/a,n/a,n/a,,unknown for alt protein (checked 2026-09-23),ECO-15,VN-direct,Low,
Starbucks Vietnam,Starbucks Viet Nam,distributor,Ho Chi Minh City,Cafes,2013 in VN,USA brand (local licensee),multinational,"Ran OmniFoods plant-based meatball sandwich and luncheon bake, summer 2023",n/a,Limited-time menu,n/a,,promotion ended 2023 (assumed) (checked 2026-09-23),ECO-20,VN-direct,Medium,HoReCa trial channel.
Saigon Co.op (Coop Select private label),Saigon Co.op / Co.opmart,distributor,Ho Chi Minh City,Co-manufactured (GN Foods named in prior lead; unverified),1989,Vietnam,corporate,"Private-label chay dumplings, buns, gyoza noodle meal","Mushroom, jicama, tofu, soy protein (gyoza meal)",Nationwide Co.opmart chain; one chay SKU labelled 4.2 g protein/100 g (prior lead),n/a,,on shelf 2026-09-06,ECO-40,VN-direct,Medium,Retailer private labels show chay is mainstream mass retail.
Lotte Mart Vietnam (Choice L private label),Lotte Mart,distributor,Ho Chi Minh City,Co-manufactured (maker not identified),2008 in VN,South Korea,multinational,"Private-label cha gio chay, ha cao chay",Not published,Nationwide hypermarkets; dedicated frozen 'Thuc pham chay' section in Nha Trang,n/a,,on shelf 2026-09-06,ECO-40,VN-direct,Medium,
"Au Lac Vegan Food Trade and Manufacture Co., Ltd",Cong ty TNHH SX KD Thuc pham chay Au Lac,traditional chay industrial,Ho Chi Minh City,"HCMC (32 Ta17A St, Thoi An ward, former District 12)",c.1990s ('30+ years'),Vietnam,SME,"Seven categories: spices, instant, sterilised, canned, frozen, dry, beverages","Not published (soy protein, gluten, tofu skin typical; unverified)","Exports to USA, Canada, Australia, Germany, UK (claimed)",None,aulac-vegan.com,active (checked 2026-09-23),ECO-25; ECO-26,VN-direct,Medium,"Certifications claimed: Halal, ISO 9001/22000, FSSC 22000, HACCP. No capacity data."
"An Nhien Foods (Pham Gia Phat Trading Import-Export Co., Ltd)",Thuc pham chay An Nhien / Cong ty TNHH TM XNK Pham Gia Phat,traditional chay industrial,Ho Chi Minh City,"HCMC (40/2/19 Tran Thi Do, Hiep Thanh, former District 12)",2014,Vietnam,SME,"TVP-based vegetarian pork/beef/chicken, ribs, ready meals, pickles, frozen meals","Soy (TVP), barley-based 'ribs', plant ingredients","Distributed in Saigon Co.op, Big C/GO!, Lotte, Aeon, Vinmart/WinMart, Shopee, Lazada, Tiki; exports to Korea, Europe, North America (claimed)",None found,annhienfood.com.vn,active (checked 2026-09-23),ECO-28; ECO-38,VN-direct,Medium,Field SKU brand 'P.G.P' (Lotte Nha Trang) may be Pham Gia Phat; unconfirmed.
"Thoai An Trading Co., Ltd",Cong ty TNHH Thuong mai Thoai An,traditional chay industrial,Ho Chi Minh City,"HCMC (Lot 21-23 Road 8, Tan Tao Industrial Park)",2005,Vietnam,SME,"Yuba (tau hu ky) rolls, ring patties, chilli sausage, tofu-skin sausage, chay shrimp cake, chay seafood tofu","Tofu skin (tau hu ky), soy","Nationwide distribution claimed; on Co.opmart shelf (VND 41,800/400 g shrimp cake; VND 71,500/500 g seafood tofu)",None,thoaian.vn,active (checked 2026-09-23),ECO-27; ECO-40,VN-direct,Medium,HACCP. Specialises in chay seafood analogues.
Sai Gon Food JSC (SG Food),Cong ty CP Sai Gon Food,traditional chay industrial,Ho Chi Minh City,"HCMC (Vinh Loc Industrial Park, Lots C24-24B/II, C25/II)",c.2003 ('20+ years'),Vietnam,corporate,"Chay fried rice, chay Thai hotpot kit, frozen ready meals; supplies 7-Eleven VN fresh food (per field notes)","Chay hotpot: mock fish balls, mock beef slices, chay cha lua, fried tofu (50% of kit)","About 2,000 staff (field notes OSINT, unverified); exports to Japan",None found,sgfoods.com.vn,active (checked 2026-09-23),ECO-25; ECO-29; ECO-40,VN-direct,Medium,Japanese technology transfer claimed. Chay is a line within a general frozen-food maker.
VISSAN (Vietnam Livestock Technology JSC),Cong ty CP Viet Nam Ky nghe Suc san (VISSAN),traditional chay industrial,Ho Chi Minh City,HCMC (420 No Trang Long HQ; plants not listed),1970,Vietnam,corporate,"8 chay SKUs: ha cao chay, hoanh thanh chay (both launched 27 Aug 2026), cha gio chay, cha gio re chay, canned heo ham chay, ca-ri ga chay, ragu bo chay, bo nau dau chay","Cha gio chay: jicama, taro, carrot, mung bean, tau hu ky, mushrooms, soy protein; canned bo nau dau chay: 55% chay beef slices, white beans","Whole-company 2026 target 20,350 t processed food (all lines); chay volumes not disclosed",n/a,vissan.com.vn; vissanmart.com,active (checked 2026-09-23),ECO-30; ECO-31; ECO-32; ECO-40,VN-direct,High,Meat processor with a growing chay line; chay versions 17-38% cheaper than meat equivalents (field audit). Ownership (state/Vinamilk-linked) not confirmed this wave.
CJ Foods Vietnam (CJ Cau Tre; bibigo),Cong ty CP Thuc pham CJ Cau Tre / CJ Foods Viet Nam,traditional chay industrial,Ho Chi Minh City,Plants in HCMC (former Ba Ria-Vung Tau) and Tay Ninh (former Long An); Hiep Phuoc branch HCMC,CJ in VN 1999; Cau Tre brand 40+ years,South Korea (CJ CheilJedang),multinational,"Cha gio chay, ha cao chay, bibigo Healthy Mandu chay","Ha cao chay: wrapper 54% (wheat, rice, tapioca), jicama, mung bean, taro, mushrooms, glass noodle (no concentrated protein listed); Mandu chay: king oyster and shiitake mushroom, soy protein",Nationwide retail; volumes not disclosed,n/a,cjfoods.com.vn (not fetched),active (checked 2026-09-23),ECO-33; ECO-34; ECO-40,VN-direct,Medium,"Korean-owned since 2006 acquisition of Cau Tre (date from field notes, unverified). Kizuna plant location from prior lead, unverified."
GN Foods JSC,Cong ty CP GN Foods,traditional chay industrial,Tay Ninh (former Long An),"Long Hau Extended IP, Can Giuoc commune, Tay Ninh (former Long An)",2009,Vietnam,corporate,"Frozen Vietnamese foods (pancakes, noodles, rolls); prior lead says it makes Coop Select chay SKUs",Not published,"Factory 20,415 m2, processing plant 35,107 m2, 2,000 employees (company)",None found,gnfoods.com.vn,active (checked 2026-09-23),ECO-35,VN-direct,Medium,"Chay production for Coop Select is a prior lead, not confirmed. Certifications BRCGS, ISO 22000, HACCP, Halal, BAP."
"Agrex Saigon Foodstuffs JSC (Top V, AS Food)",Cong ty CP Thuc pham Agrex Saigon,traditional chay industrial,Ho Chi Minh City,"HCMC (10 Ben Nghe St, Tan Thuan Dong, former District 7)",unknown,Vietnam,corporate,"Export dumplings and dim sum incl. 'sui cao nam chay' (vegetarian shiitake dumpling, AG0106); Top V domestic brand (wontons, dumplings, seafood)",Shiitake mushroom,Export-oriented; volumes not disclosed,n/a,agrexsaigon.com.vn,active (checked 2026-09-23),ECO-36,VN-direct,Medium,Brief lead 'Top.V chay/plant-based line' not confirmed: only one chay export SKU found.
Cholimex Food JSC,Cong ty CP Thuc pham Cholimex,traditional chay industrial,Ho Chi Minh City,"HCMC (Vinh Loc IP, Lots C40-43/I, C51-55/II)",2006 (registration),Vietnam (foreign shareholder not verified),corporate,"Sauces and seasonings incl. vegetarian seasoning kits; frozen spring rolls, dumplings, meatballs",n/a (condiments),n/a,n/a,cholimexfood.com.vn,active (checked 2026-09-23),ECO-37,VN-direct,Medium,"Chay role is condiments/seasoning, not protein."
Vifon (chay instant noodles),Vifon,traditional chay industrial,Ho Chi Minh City,not verified,1963,Vietnam,corporate,Mi chay instant noodle cups,Wheat noodles (negligible protein role),One of 10+ chay noodle brands on Co.opmart shelf,n/a,,on shelf 2026-09-06,ECO-40,VN-direct,Low,Included for completeness of the chay shelf; not a protein supplier.
P.G.P (unidentified chay brand),P.G.P,traditional chay industrial,unknown,unknown,unknown,Vietnam (presumed),unknown,"Cha que chay, cha ca chay, 500 g at VND 75,900",Not found,On Lotte Mart Nha Trang shelf,n/a,,on shelf 2026-09-06,ECO-40,VN-direct,Low,Possibly Pham Gia Phat (An Nhien Foods); unconfirmed.
Vegan 24H,Vegan 24H,traditional chay industrial,Ha Noi,Ha Noi,unknown,Vietnam,SME,"Mock chicken, fish, pork, sausage, dried chay foods, seaweed",Not stated,Directory listing only,n/a,,unknown (checked 2026-09-23),ECO-38,VN-direct,Low,Directory entry; no independent verification.
Happy Farm,Happy Farm,traditional chay industrial,Ho Chi Minh City,HCMC,unknown,Vietnam,SME,"Mock meats, tofu products, mushrooms, vegetables (VietGAP)","Soy (tofu), mushrooms",Directory listing only,n/a,,unknown (checked 2026-09-23),ECO-38,VN-direct,Low,Directory entry only.
Vuong Ngoc Vegan,Vuong Ngoc Vegan,traditional chay industrial,Tay Ninh,Tay Ninh,unknown,Vietnam,SME,Vegetarian food (not detailed),Not stated,Directory listing only,n/a,,unknown (checked 2026-09-23),ECO-38,VN-direct,Low,"Directory entry only. Tay Ninh has a large Cao Dai vegetarian community (context, not evidence of scale)."
Dong Phuong Thuan,Dong Phuong Thuan,distributor,Ho Chi Minh City,n/a,unknown,Vietnam,SME,"Trader of mock meat slices (poultry, beef), fish balls, ribs",n/a,Directory listing only,n/a,,unknown (checked 2026-09-23),ECO-38,VN-direct,Low,Likely importer/wholesaler of TVP-based chay items; unverified.
"Xuan Hong Food Processing Import-Export Co., Ltd (lead check)",Cong ty TNHH Che bien XNK Xuan Hong,ingredient supplier,Tay Ninh,"Thanh Tan commune, Tay Ninh (former Tay Ninh)",unknown,Vietnam,SME,Cassava starch (not chay food),Cassava,100 t/day finished starch (2020); fined for bypassing wastewater treatment (800 m3/day discharge),n/a,,active as of 2020; later unknown (checked 2026-09-23),ECO-39,VN-direct,Medium,Prior lead listed 'Xuan Hong' as an industrial do chay maker; the Xuan Hong found is a cassava starch processor. Lead likely wrong or a different firm.
Song Huong Foods (lead),Song Huong Foods,traditional chay industrial,unknown (Hai Phong or Hue; unverified),unknown,unknown,Vietnam,corporate,Canned foods; chay line unverified,unknown,unknown,n/a,songhuongfoods.com.vn (did not resolve),unverified (checked 2026-09-23),,VN-direct,Low,Named in brief; could not verify a chay line.
LC Foods (lead),LC Foods,traditional chay industrial,unknown,unknown,unknown,Vietnam,unknown,unknown,unknown,unknown,n/a,,unverified (checked 2026-09-23),,VN-direct,Low,Named in brief; not found.
Hue One Food (lead),Hue One Food,traditional chay industrial,Hue (assumed),unknown,unknown,Vietnam,unknown,unknown,unknown,unknown,n/a,,unverified (checked 2026-09-23),,VN-direct,Low,Named in brief; not found.
Tan Nhat Huong (lead),Tan Nhat Huong,traditional chay industrial,Ho Chi Minh City,unknown,unknown,Vietnam,SME,Bakery brand ('Dutch recipe'); chay products unverified,unknown,unknown,n/a,tannhathuong.com,active bakery; chay role unverified (checked 2026-09-23),,VN-direct,Low,Found only as a bakery; chay protein role not established.
"Vinasoy (Vietnam Soymilk Company; part of Quang Ngai Sugar JSC, QNS)",Cong ty Sua dau nanh Viet Nam Vinasoy,plant-based dairy,Quang Ngai,"Quang Ngai (Quang Ngai, incl. former Kon Tum); Tien Son IP, Bac Ninh (Bac Ninh, incl. former Bac Giang); VSIP 2A, HCMC (former Binh Duong)",1997 (not verified this wave),Vietnam,corporate,"Fami, Vinasoy, Veyo (soy yogurt; not verified) soy milks","Soybeans, mostly imported (VN imported 2.2 Mt soybeans in 2024, all uses)","2024 soy milk revenue > VND 4,100 bn (about VND 28 bn/day); about 80% soy milk market share (2024); 82.7% (Dec 2014); Bac Ninh phases 1+2 = 180 m L/yr (2015); gross margin >39% (2024); Fami 1.9 g protein/100 ml","Owned by QNS (listed); QNS 2024 revenue > VND 10.3 trillion, net profit about VND 2.37 trillion",vinasoy.com,active (checked 2026-09-23),ECO-41; ECO-42; ECO-40,VN-direct,High,"Largest non-animal protein food business in VN by revenue. Share figures are company/press-reported, not audited market data."
Vinamilk (plant-based milks),"Vinamilk - sua hat, sua dau nanh",plant-based dairy,Ho Chi Minh City,Multiple dairy plants (not itemised),1976,Vietnam,corporate,"9-nut milk, high-protein nut milk (9 g protein per 240 ml), oat milk, soy-walnut, soy-red bean, soy milk with fresh milk","Soy, nuts, oats; several SKUs are hybrids containing fresh cow milk",Nut milk reported 'double-digit growth' in Q1 2026 (no figure),Listed (HOSE: VNM),vinamilk.com.vn,active (checked 2026-09-23),ECO-43; ECO-44; ECO-40,VN-direct,Medium,Hybrid dairy-plant products blur the 'alt protein' boundary.
TH Group (TH true NUT),TH true NUT,plant-based dairy,Nghe An / Ha Noi,Nghe An (TH dairy complex; NUT line plant not confirmed),2018 (launch 17 Mar 2018),Vietnam,corporate,"Walnut, macadamia, almond, oat nut milks with dates","Imported macadamia (Australia), walnut and oat (USA), dates; contains fresh cow milk","About 250 TH true mart stores at launch (2018); retail VND 52,300-64,900 per litre (2026)",Private,thgroupglobal.com,active (checked 2026-09-23),ECO-45; ECO-40,VN-direct,Medium,"Walnut variant: 60% walnut extract plus fresh cow milk; protein 1 g/100 ml. A hybrid, not fully plant-based."
Nutifood (plant milks),Nutifood,plant-based dairy,Ho Chi Minh City,not verified,1989 (not verified),Vietnam,corporate,"Brown rice milk, corn milk","Rice, corn (low protein)","On Co.opmart shelf at VND 24,800",Private,,on shelf 2026-09-06,ECO-40,VN-direct,Low,Field observation only.
Kashew Cheese,Kashew Cheese,plant-based dairy,Ho Chi Minh City,"HCMC (fermentation lab; deli cafes incl. 14 Tran Ngoc Dien, Thao Dien)",2020,Vietnam,startup,"Fermented cashew cheeses, kream cheese, ricotta, mozzarella, yogurt, milk",Vietnamese cashew kernels,Multiple HCMC deli cafes; national delivery; HoReCa supply,None disclosed,kashewcheese.com,active (checked 2026-09-23),ECO-49; ECO-50; ECO-15,VN-direct,Medium,Founders Dau Thi Le Na and Tobias Briffa. Uses a VN export crop (cashew) domestically.
"137 Degrees (Simple Foods Co., Ltd)",137 Degrees,plant-based dairy,n/a (Thailand),"Thailand (500,000 L/day nut-milk plant planned c.2019-2020)",unknown,Thailand,SME,"Almond, walnut, pistachio, macadamia milks",Nuts,"Exports to 30 countries (c.2019); on VN shelves (field audit, presence flagged not priced)",n/a,137degrees.net,on VN shelf likely (2026-09-06 field note),ECO-46; ECO-40,VN-adjacent,Medium,"Brief asked whether Thai or Vietnamese: it is Thai (Simple Foods, Bangkok)."
Oatside,Oatside,plant-based dairy,n/a (Singapore),"Bandung, Indonesia",2021,Singapore,startup (scale-up),Oat milk incl. Barista Blend,Oats,Launched in HCMC Nov-Dec 2022 via coffee events; supermarket presence by 2026; VN 'Chief Milk Officer' campaign backlash 30 Mar-4 Apr 2026,n/a,,active in VN (checked 2026-09-23),ECO-47; ECO-48,VN-direct,Medium,Importer/distributor not named in sources.
Dairy-Free Down Under,Dairy-Free Down Under,plant-based dairy,n/a (Australia),Imported,unknown,Australia,SME,"Dairy-free cheeses, sour cream",Cashew and others,"Annam Gourmet, Nam An, The Food Shop (2022); VN since 2018 (blog)",n/a,,unknown in 2026 (checked 2026-09-23),ECO-15,VN-direct,Low,
Deep Blue Island (lead),Deep Blue Island,plant-based dairy,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,n/a,,unverified (checked 2026-09-23),,general,Low,Named in brief; not found.
Hat Viet (lead),Hat Viet,plant-based dairy,unknown,unknown,unknown,Vietnam,unknown,unknown,unknown,unknown,n/a,,unverified (checked 2026-09-23),,VN-direct,Low,Named in brief; not found.
"Ong Tempeh Vietnam Trading Services Co., Ltd",Cong ty TNHH TM DV Ong Tempeh Viet Nam,fermentation biomass,Ho Chi Minh City,"HCMC (Phu Thuan, former District 7); Ha Noi branch (Thanh Xuan)",c.2021 (inferred),Vietnam,SME,"Fresh tempeh (soy, chickpea, cashew), tempeh chips, marinated tempeh, starter cultures (men tempeh), DIY kits","Soybeans, chickpeas, lentils, cashew; Rhizopus starter",Small; national delivery,None,ongtempeh.com,active (checked 2026-09-23),ECO-51,VN-direct,Medium,Only commercial tempeh maker verified. Sells Rhizopus starter: a small domestic fungal-fermentation know-how base.
Vinaorganic (tempeh technology transfer; lead),Vinaorganic,fermentation biomass,unknown,unknown,unknown,Vietnam,SME,Offers tempeh technology transfer,Soy,unknown,n/a,vinaorganic.com,unverified (checked 2026-09-23),,VN-direct,Low,Search-listing only; not read.
CK Vietnam Group / V-Group Vietnam (imported 'Mycoprotein' SCP),Tap doan CK Viet Nam,feed SCP/yeast,unknown (VN),Imported from China,unknown,Vietnam (distributor); Chinese manufacturer unnamed,SME,"'Mycoprotein' single-cell protein for livestock, poultry, fish and shrimp feed","Bacterial biomass from glutamic acid (MSG) fermentation; CP >=70%, digestible protein >85%, ash <=7%",40 kg bags or 1 t jumbo bags; volumes not disclosed,n/a,ckvietnam.com.vn,active listing (checked 2026-09-23),ECO-69,VN-direct,Medium,"Chinese amino-acid fermentation SCP is already sold in VN feed: the import counterfactual for any VN SCP play. Name 'mycoprotein' is a misnomer (bacterial, not fungal)."
Tan Huu Qui (feed ingredient trader; lead),Tan Huu Qui,feed SCP/yeast,unknown,n/a,unknown,Vietnam,SME,Lists 'Dam don bao' (SCP) as alternative to animal protein in feed,SCP (source not read),unknown,n/a,tanhuuqui.com,unverified; site returned error (checked 2026-09-23),,VN-direct,Low,Search-listing only.
Angel Yeast Vietnam,Angel Yeast Viet Nam,feed SCP/yeast,Ha Noi,Imported from China,n/a (Angel Yeast 1986),China,multinational,"Yeast, yeast extract, yeast-based feed products",Saccharomyces yeast,Facebook presence in Hanoi; VN volumes unknown,n/a,facebook.com/angelyeastvietnam,unverified detail (checked 2026-09-23),,VN-direct,Low,Search-listing only; no VN feed data read.
