event_id,date,date_precision,outlet_or_actor,item_type,topic,location,what_was_found,quantity,plant_or_filler_named,frame,official_action,source_ids,evidence_label,confidence,demand_evidence_type,notes
TRU-E22,2020-09-06,day,Dan Tri,press story,chay safety and origin,Ho Chi Minh City,"Head of the city Food Safety Management Board warns of additives, flavourings and botulism risk in chay mock meat",,none,health risk,none,TRU-15,VN-direct,Medium,revealed,No mention of meat in chay
TRU-E23,2020-09-07,day,Bao Chinh phu,enforcement,chay safety and origin,Hanoi,"Chay inspection wave after the Minh Chay botulism case: 93 facilities inspected, 14 fined; hygiene and origin papers; no meat content reported",93 facilities; 14 fined VND 55 million,none,health risk,inspections and fines,LBL-23,VN-direct,Medium,revealed,From W8-L1
TRU-E24,2021-04-22,day,Dan Tri; Kenh14,enforcement,meat in chay,"An Giang (Tan Hoa commune, former Phu Tan district)","Chay rolls seized from a maker without product self-declaration, on suspicion (nghi vấn) that many were mixed with meat and fish; samples taken for testing",more than 3 t,none,fraud (suspected),seizure; laboratory samples,TRU-18; TRU-31,VN-direct,Medium,revealed,"Only official meat-in-chay case found, 2015 to 2026; no published result found"
TRU-E25,2022-01-26,day,Dan Tri,enforcement,chay safety and origin,An Giang,Chay rolls with borax held by the provincial inter-agency team,"6,573 kg",none,health risk,held; sent to the provincial agriculture department,TRU-16,VN-direct,Medium,revealed,No meat test mentioned
TRU-E26,2022-06-07,day,Thuong hieu va Cong luan,enforcement,chay safety and origin,Dong Thap,Unlabelled Chinese textured soy sold as chay spare ribs,500 kg,textured soy,"health risk (origin, labelling)",seizure,CHY-60,VN-direct,Low,revealed,From the package
TRU-E27,2022-08-19,day,Bao Nam Dinh,press story,chay safety and origin,Ninh Binh (former Nam Dinh),Caution about the chay market in lunar month 7,,none,health risk,not seen,TRU-31,VN-direct,Low,revealed,Snippet only
TRU-E28,2022-08-23,day,Dan Tri,press story,chay and religion,national,Debate on chay giả mặn; experts tolerate imitation,,none,acceptable,none,CHY-55,VN-direct,Medium,stated,From the package
TRU-E29,2023-05-20,day,Tuoi Tre,enforcement,processed meat safety,Ho Chi Minh City (Thu Duc),Chả lụa behind a botulinum cluster came from an illegal facility,,none,health risk,investigation,TRU-31,VN-direct,Low,revealed,Snippet only
TRU-E30,2023-08-09,day,Dan Tri (sponsored; Vinasoy with NIN),press story,soy as a health food,national,Workshop recommends 25 g of soy a day within a healthy diet,,soy,positive (health),none,TRU-23,VN-direct,Medium,revealed,Sponsored content
TRU-E31,2024-06-05,day,VietNamNet,enforcement,processed meat safety,Hanoi,"Dirty sausages that did not spoil after 7 days in the sun, sold near a school gate",more than 10 t,none,health risk,seizure; network traced,TRU-31,VN-direct,Low,revealed,Snippet only
TRU-E32,2024-07-10,day,Dan Tri,press story,plant-based meat in media,global,Uses thịt giả for plant-based meat; stroke-risk study relayed; inconclusive,,plant protein,health risk (inconclusive),none,TRU-13,VN-direct,Medium,revealed,
TRU-E33,2024-11-24,day,VnExpress,advice column,processed meat safety,national,Borax in giò chả and bún; advice to make giò at home or buy labelled products from reputable makers,,none,health risk,none,TRU-05,VN-direct,Medium,revealed,No starch or soy mention
TRU-E34,2025-02-04,day,QUATEST 3,testing capacity,meat in chay,Ho Chi Minh City,"Real-time PCR animal-DNA screen for halal food, vegetarian food and feed: 86 vertebrate species, relative LOD 0.001%",,none,capacity (neutral),commercial service from a state technical centre,TRU-24,VN-direct,Medium,revealed,Notes official and consumer concern about chay and origin fraud
TRU-E35,2025,approximate,Vinh Long provincial TV (YouTube),social media (broadcaster),chay safety and origin,not stated,Warning about chay mock meat,"60,400+ views",none,health risk,none,TRU-30,VN-direct,Low,revealed,Snippet only
TRU-E36,2025,approximate,Facebook (YAN Beauty),social media,chay safety and origin,not stated,Video: many people shocked when buying chay from eateries,"5,700+ reactions",none,fraud or health risk (content not read),none,TRU-30,VN-direct,Low,revealed,Snippet only; content not read
TRU-E37,2025-05-18,day,Thuong hieu va Cong luan; Dan Tri,enforcement,chay safety and origin,Dak Lak (former Phu Yen),Untraceable chả chay destroyed,1 t,none,health risk (origin),fine and destruction,CHY-59; TRU-22,VN-direct,Medium,revealed,From the package
TRU-E38,2025-10-09,day,Ha Noi Moi,enforcement,processed meat safety,Hanoi,Untraceable sausages in a warehouse,nearly 1.7 t,none,health risk (origin),seizure,TRU-31,VN-direct,Low,revealed,Snippet only
TRU-E39,2025-12-25,day,Dan Tri,enforcement,species substitution,Ho Chi Minh City,Pork treated with sodium metabisulfite sold as beef to about 75 restaurants; readers say no real beef sells at that price,"about 600 kg a day; VND 118,000 to 140,000 per kg",none,fraud,7 arrested for counterfeit food,TRU-12,VN-direct,Medium,revealed,Earlier case than NOV-72
TRU-E40,2026-01-08,day,Thanh Nien; VietNamNet; Dan Tri,enforcement,processed meat safety,Hai Phong,Ha Long Canned Food held ASF-infected pork for canned products including pâté,120 t (later 130 t or more),none,health risk; crime,prosecution,TRU-31; TRU-20,VN-direct,Medium,revealed,A long-standing brand
TRU-E41,2026-01-20,day,Dan Tri,enforcement and consumer reaction,processed meat safety,Hanoi (Hoan Kiem),"Yen Hien shop used borax since 2022; next day the shop was open and 5 to 7 customers bought in 20 minutes, citing habit and taste",about 300 kg seized; about 300 t sold,none,health risk; crime,police investigation,TRU-06,VN-direct,Medium,revealed,Customer quotes are stated
TRU-E42,2026-01,approximate,Facebook (YAN Foods),social media,meat in chay,not stated,Video: chay mixed with non-chay; bone found in chả chay,70+ reactions,none,fraud (religious),none,TRU-30,VN-direct,Low,revealed,Snippet only; unverified
TRU-E43,2026-02-13 to 2026-08-29,range,Dan Tri (several),enforcement,processed meat safety,"Hanoi, Ninh Binh and other provinces","At least six prosecutions of giò chả makers for borax (headlines of 15 Feb, 27 Feb, 16 Mar, 3 Jun, 26 Jun, 29 Aug 2026)",one case more than 1 t; one 147 kg,none,health risk; crime,criminal prosecution,TRU-07,VN-direct,Medium,revealed,Headlines only; count is a floor from the first result page
TRU-E44,2026-03-29,day (reported 1 Apr 2026),Dan Tri,enforcement,processed meat safety,Hanoi and nearby provinces,Pork from ASF-infected pigs sold through a food company into school meals,"about 300 t from about 3,600 pigs",none,health risk; crime,8 prosecuted,TRU-20,VN-direct,Medium,revealed,
TRU-E45,2026-05-11,day,Thanh Nien,enforcement,species substitution,Ho Chi Minh City,Fake beef made from treated pork,65 t,none,fraud; health risk,police broke the ring,NOV-72,VN-direct,High,revealed,From the package
TRU-E46,2026-08-23,day,Tien Phong,press story,chay safety and origin,Ho Chi Minh City,"Unlabelled chay in markets: additives, dyes, reused oil; experts warn of chronic toxicity; no meat mentioned",,none,health risk,none,CHY-23,VN-direct,Medium,revealed,Re-read 25 Sep 2026
TRU-E47,2026-09-23,day,Dan Tri,consumer action,school meals,Hanoi (Quang Bi commune),Parents took school-meal samples to the national food-safety testing institute to check meat composition after pork-crackling complaints,"VND 40,000 meal",none,fraud (suspected skimping),commune investigating; no official testing,TRU-21,VN-direct,Medium,revealed,
